"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.172852","X.0.0273438","X1.01025","X.24.625","X.2.8125","X.5.4375","X88","X100","X138","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.470215","X0.10498","X1.05371","X20.875","X11.5","X2.1875","X94","X113","X71"
"1",0,0,0,0,0,0,0,0,-0.179688,-0.12207,0.990234,-42.125,-6.4375,-3.75,87,100,138,0,0,0,0,0,0,0,0,-0.669922,0.145508,1.3291,38.9375,-94.375,-12,95,112,70
"2",0,0,0,0,0,0,0,0,-0.202637,-0.159668,0.986816,-32.6875,-5.1875,4.1875,86,100,138,0,0,0,0,0,0,0,0,-0.50293,0.0732422,1.396,31.3125,-156.938,-17.625,95,109,69
"3",1,3,-31,0,0,0,-1,-1,-0.166992,-0.236816,0.973145,-35.5,-8.875,4.8125,85,99,138,-1,0,2,-6,6,1,-8,2,-0.377441,0.245117,1.33936,22.6875,-228.625,-15,96,93,67
"4",-10,7,58,1,-2,-3,-2,-3,-0.171875,-0.213379,0.981934,-23.3125,-12.5,4.875,84,99,138,-2,6,32,14,-6,-3,1,-5,0.116211,0.521973,1.28125,-74.375,-254.5,23.6875,95,84,66
"5",-6,-11,13,5,0,2,-1,-5,-0.144531,-0.210938,1.00195,-18.25,-13.25,3.0625,83,98,138,0,0,-2,-2,0,-6,-1,2,0.381348,0.220703,1.08594,-142.312,-282.062,34.6875,91,67,66
"6",7,15,1,3,0,2,-1,-1,-0.123535,-0.231445,1.00586,-18.8125,-10.375,2.1875,83,97,139,0,-3,-2,-4,0,-2,-3,-3,0.521484,0.143555,0.885254,-171.5,-274.5,47.75,88,56,67
"7",2,-6,-30,1,0,2,0,-3,-0.133789,-0.263184,0.990723,-12.625,-5.5625,3,83,97,139,-2,-2,-2,-1,33,23,28,23,0.614258,0.0234375,0.545898,-168.375,-238.375,59.125,80,42,71
"8",-5,-21,1,-2,-3,-11,0,0,-0.12207,-0.259766,0.996582,-3.625,-2.5,0.6875,82,97,139,1,1,3,-4,-37,-32,-22,6,0.63916,-0.196777,0.323242,-146.125,-184.125,72.9375,69,33,79
"9",3,-2,20,1,1,-2,-2,-1,-0.126953,-0.265137,0.996582,-1.6875,-0.375,-0.5625,82,97,139,-1,-1,-7,-12,-1,-7,3,-17,0.61377,-0.254395,0.225586,-109.812,-127.062,65.3125,62,31,84
"10",1,3,-11,-5,1,-1,-2,2,-0.114258,-0.258789,0.983887,3.1875,3.9375,-0.125,82,97,139,2,3,0,-2,50,29,39,-3,0.55957,-0.385742,0.0878906,-75,-56.5625,50.5,55,32,90
"11",3,7,39,7,-1,1,0,0,-0.136719,-0.243164,0.97998,3.0625,4.8125,0.8125,82,97,139,14,0,4,9,-27,4,-15,-6,0.585449,-0.4375,0.0595703,-45.5,-26.5625,35.75,52,33,91
