"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.245605","X.0.00683594","X1.00049","X.2.75","X.2.875","X.5.25","X89","X103","X142","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.13623","X0.44873","X1.03271","X12.0625","X8.1875","X1.9375","X102","X98","X63"
"11",-15,-42,-18,-4,-6,-2,-5,-10,-0.236328,-0.0366211,0.981445,-0.875,0.8125,-1.375,88,103,142,-30,-37,-13,-11,-11,3,-1,-10,0.583008,-0.223145,0.55127,-12,-23.75,22.25,81,44,92
"12",-8,9,22,2,1,0,-1,-4,-0.233887,-0.0463867,0.990723,0,0,-1.4375,88,103,142,40,37,0,0,-2,0,19,33,0.617188,-0.210449,0.634277,-7.125,-10.5625,-0.0625,81,44,92
"13",2,1,-10,-4,2,2,0,-1,-0.23584,-0.0463867,1.00049,-0.625,-0.0625,-0.0625,88,103,142,17,-12,12,-8,-25,-72,-52,-9,0.624023,-0.226562,0.638184,-6.4375,-1.3125,5.5625,80,44,92
"14",12,-15,20,-1,-3,-1,-3,-8,-0.239258,-0.0541992,0.987793,0.375,-0.1875,1.1875,88,103,142,-69,-30,-5,-14,-25,-28,-27,2,0.70459,-0.241211,0.662109,-7.25,0.75,4.9375,80,44,92
"15",-6,5,-1,-4,-5,-6,-8,-7,-0.242676,-0.0507812,0.995117,1.4375,0.5,1.75,88,103,142,13,29,-5,-4,11,3,-9,-13,0.716309,-0.270996,0.651367,-6.375,4.9375,0.3125,80,44,92
"16",-11,-12,5,-2,0,0,-1,-4,-0.240723,-0.0449219,0.990723,0.8125,0.3125,1.875,88,103,142,34,2,-1,4,7,-71,19,7,0.71875,-0.274414,0.652344,-7.1875,5.0625,2.9375,79,45,93
"17",-1,-7,-20,-1,-4,-6,-3,-2,-0.230469,-0.0366211,0.989258,1.625,0.1875,1.375,88,103,142,9,4,-5,9,8,47,24,-25,0.71582,-0.271973,0.651367,-4.4375,7.125,2.8125,79,45,93
"18",2,7,-21,0,1,0,2,-1,-0.246582,-0.0483398,1.00244,1.25,0.25,0.3125,88,103,142,-11,-9,13,-14,3,12,17,3,0.707031,-0.26416,0.636719,1.0625,8,3.75,79,45,93
"19",2,10,4,2,-2,-1,0,5,-0.248047,-0.046875,0.994141,1.625,1.1875,0.9375,88,103,142,-63,-23,-3,-70,-20,46,-52,-38,0.702148,-0.268066,0.648438,5.375,13.9375,-2.3125,79,46,93
"20",8,-15,-5,-3,-2,-6,-12,-9,-0.236816,-0.0322266,0.987305,1.375,0.3125,0.625,88,103,142,-2,19,16,111,103,85,4,28,0.611328,-0.324707,0.658203,1.5625,24.125,-10.25,79,46,92
"21",-1,-2,-6,3,0,0,2,2,-0.244141,-0.0366211,0.989258,-1,0.125,-0.5625,88,103,142,14,17,0,74,-45,-37,-26,-20,0.769531,-0.144043,0.693359,12.875,27.8125,13.625,80,48,92
"22",-2,7,5,-5,-3,0,8,5,-0.242676,-0.0458984,0.993652,0.125,-0.1875,-0.5,88,103,142,55,3,-1,-55,-11,-27,8,25,0.710449,-0.275391,0.681641,7.125,-1.25,-7.1875,80,48,92
"23",-13,-9,-13,1,1,2,4,4,-0.245117,-0.034668,0.989258,-0.25,0.25,0.625,88,103,142,19,-4,-15,38,34,6,25,-3,0.663086,-0.237793,0.71875,5.5,1.25,-3.625,80,48,92
"24",-25,-4,3,-1,-1,1,-2,-4,-0.238281,-0.0390625,0.981934,0.3125,-0.0625,0.25,88,103,142,5,23,14,-8,-16,-87,1,23,0.671387,-0.243164,0.716309,-0.9375,4.5,1.5625,80,48,92
"25",-26,-24,-26,1,-1,-1,-2,-3,-0.246582,-0.0395508,0.996094,-0.5,-1.0625,-0.5625,88,103,142,-4,-6,15,-8,5,39,9,-28,0.671387,-0.237793,0.748047,-2.875,-3.625,0.8125,80,48,92
"26",-4,0,-27,-4,0,1,-3,-9,-0.245605,-0.0444336,0.995117,-0.5,-0.125,-0.0625,88,103,142,-17,-6,-8,4,-1,-23,12,-11,0.694824,-0.251953,0.699219,-5.1875,-14.9375,4.5,80,47,92
"27",10,15,20,1,-1,-2,0,6,-0.23877,-0.0356445,0.986816,0.5625,-0.125,0.5,88,103,142,61,32,-19,-2,2,21,22,-6,0.688965,-0.28418,0.687012,-6.3125,-9.6875,0.3125,80,47,92
"28",-5,5,17,5,1,-3,0,-1,-0.244141,-0.0302734,0.98584,-0.1875,-0.0625,-0.0625,88,103,142,19,0,13,1,-10,30,-1,-5,0.69043,-0.228516,0.672363,-3.8125,-5.9375,4.8125,79,46,93
"29",-2,7,20,1,0,2,-1,-3,-0.239746,-0.0371094,0.993652,0,-0.5,-0.1875,88,103,142,30,38,33,22,27,-40,-12,3,0.691895,-0.269531,0.679199,-4.5,-5.4375,1.25,79,46,93
"30",5,-3,-11,-5,-1,4,0,6,-0.243652,-0.0371094,0.989746,-0.625,-0.0625,-0.0625,88,103,142,-11,-10,-6,-17,-36,17,27,-50,0.695312,-0.273438,0.678223,-2.375,-4.25,0.1875,79,46,93
"31",-6,15,20,1,0,0,-1,-6,-0.245117,-0.043457,0.987305,-0.375,-0.6875,-0.0625,88,103,142,15,11,-4,-14,-23,-15,26,8,0.700684,-0.264648,0.68457,-1.75,-2.625,-0.5625,79,46,93
"32",-9,-24,-15,-5,-3,-1,-6,-11,-0.247559,-0.0541992,0.996094,-0.375,-1.1875,-0.3125,88,103,142,-6,9,2,-4,2,-29,-14,-18,0.694824,-0.27002,0.678223,-1.375,-1.375,-0.9375,79,46,93
"33",-3,-5,3,-3,0,1,-2,-3,-0.240723,-0.0498047,0.993652,1,-0.25,0.3125,88,103,142,-6,28,13,-1,-2,3,46,11,0.695801,-0.272949,0.686035,0.0625,6.75,-4.4375,79,46,93
"34",6,5,35,4,1,1,3,2,-0.240234,-0.0385742,0.982422,1,0.1875,0.3125,88,103,142,-19,-23,18,-55,-20,-11,-48,-26,0.6875,-0.281738,0.662598,4,-0.75,-6.125,79,46,93
"35",-3,0,0,2,-1,0,-2,-1,-0.24707,-0.0351562,0.989746,0.0625,-0.5625,0,88,103,142,-10,-1,-13,9,4,14,-9,-17,0.800781,-0.117676,0.63623,11.6875,28.625,5.875,80,47,92
"36",-3,-8,-17,-3,-2,-1,-3,0,-0.231934,-0.0454102,0.996094,0.0625,-0.1875,-0.375,88,103,142,56,29,-20,-71,-43,7,35,17,0.689453,-0.280273,0.749512,2.8125,-9.125,-4.25,80,47,92
"37",6,11,73,7,1,0,-3,-2,-0.243164,-0.0419922,0.987793,0.6875,-0.4375,0.5625,88,103,142,-37,-8,15,-11,-7,28,-34,-19,0.679199,-0.257324,0.729004,1.5,-4.4375,-3.625,80,47,92
"38",-5,-5,-39,-1,1,-1,1,6,-0.234375,-0.0361328,0.991699,0.1875,-0.75,0,88,103,142,-5,-23,-22,0,-17,-4,4,9,0.686523,-0.234375,0.702637,1.0625,1.1875,0.375,80,47,92
"39",-5,5,-12,1,2,-1,4,3,-0.242676,-0.0449219,0.990234,-0.625,-1.1875,0.25,88,103,142,6,6,10,-4,-8,12,37,-3,0.687988,-0.239258,0.701172,-2.0625,-2.25,0.6875,80,47,92
"40",-7,-8,9,0,-2,-1,-6,-3,-0.241211,-0.0444336,0.992188,0.125,-1.125,0.4375,88,103,142,3,-3,19,9,-4,-22,-14,-12,0.663086,-0.250977,0.67334,-1.6875,-4.5,-1.0625,80,47,92
"41",-7,0,16,0,-1,4,1,8,-0.226562,-0.0307617,0.98877,-0.6875,-1,0.375,88,103,142,14,-5,-7,5,3,18,-7,9,0.643555,-0.235352,0.661621,-0.9375,-2.125,0.1875,80,47,92
"42",-16,-14,-17,-3,-3,-4,-1,-8,-0.240723,-0.0493164,0.991699,-0.8125,-0.9375,-0.0625,88,103,142,18,6,-5,-4,4,22,15,27,0.62793,-0.23584,0.613281,-1.1875,-3.375,-1.9375,80,46,92
"43",11,5,6,-1,-2,-1,2,3,-0.230957,-0.043457,1.00586,0.25,-0.5,0.25,88,103,142,13,3,7,5,10,31,20,-22,0.572754,-0.217773,0.583496,-3.375,3.8125,-5.25,80,46,92
"44",11,10,2,-1,-1,-2,1,2,-0.243652,-0.0507812,0.988281,-0.9375,0.25,0.8125,88,103,142,0,5,1,-1,-3,-4,-18,-7,0.572754,-0.168945,0.599609,12.75,17.125,-27,81,47,91
"45",-7,16,6,4,1,-3,-2,0,-0.236328,-0.0336914,1.00146,0.625,0.125,-0.375,88,103,142,-2,-7,-3,-6,6,9,0,-5,0.620605,-0.190918,0.641113,29.625,48.5625,-56.375,83,48,89
"46",0,2,-16,-4,0,-1,-2,-1,-0.233887,-0.0449219,0.97998,-1.9375,0.0625,-0.625,88,103,142,2,2,3,2,-13,2,0,-1,0.521973,-0.0751953,0.662598,55.125,72.5,-77.4375,85,50,87
"47",3,11,-16,0,2,2,-2,2,-0.231934,-0.0385742,0.991211,0.3125,-1.8125,-0.875,88,103,142,0,1,0,-1,16,3,0,-3,0.48291,-0.0390625,0.748047,72.375,96.6875,-121.062,90,55,83
"48",-3,-5,5,-1,0,-2,1,6,-0.234375,-0.0439453,0.990234,-1.9375,-1.9375,-2.25,88,103,142,2,0,-6,7,4,2,2,2,0.453125,0.0805664,0.84375,63.25,102.438,-130.062,93,59,80
"49",-12,3,8,1,1,-1,-1,-5,-0.234375,-0.0483398,0.992188,0.4375,-2.3125,-2.875,88,103,142,0,2,5,35,-15,-1,-1,0,0.334473,0.172363,0.935059,63.875,101.188,-156.875,96,67,75
"50",-4,-1,-12,0,-1,-2,0,-3,-0.233398,-0.0537109,0.999023,-0.8125,-1.6875,-0.5,88,103,142,0,-1,2,29,-19,4,3,2,0.222656,0.376953,1.04541,43.9375,96.1875,-165.312,99,76,71
