"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.231445","X0.0712891","X1.00635","X.9.625","X.0.0625","X.1.25","X91","X103","X99","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.136719","X.0.0244141","X1.0332","X.0.875","X2.0625","X.0.125","X89","X97","X98"
"29",-2,9,9,-1,-2,-7,-10,-1,-0.22998,0.0649414,1.0249,7.875,3.1875,4.9375,91,103,99,-21,-16,-7,-58,-26,-8,-10,-48,-0.188477,0.496582,1.02881,-19.8125,-16.1875,-147.688,98,108,118
"30",-4,-5,-1,0,-2,-12,8,-2,-0.26123,0.0874023,0.978516,4.125,5.4375,3.6875,91,104,99,-38,55,34,-25,2,-8,-12,-32,0.13623,0.38623,0.945801,-21.9375,-34.8125,-96.125,96,108,114
"31",-18,-13,-4,-1,-3,5,6,-6,-0.243652,0.0610352,0.966797,5.875,2.6875,1.4375,91,104,99,57,-8,-71,23,-15,-21,-15,-21,0.324707,0.28125,0.831543,-39.125,-83.6875,-54,95,104,113
"32",0,-43,-9,-5,-5,-6,16,2,-0.253418,0.0634766,0.969238,5.875,1.5625,0.25,91,104,99,-30,-56,-55,37,12,12,9,41,0.286621,0.19043,0.727051,-9.0625,-95,20.75,95,96,112
"33",-5,-5,-10,-2,-1,-1,0,-2,-0.225586,0.109375,0.966797,-6.4375,0.6875,-4.8125,91,104,99,6,58,19,-18,-2,-13,-8,-21,0.332031,0.228516,0.767578,28.0625,-71.4375,80.1875,95,92,113
"34",-1,2,8,0,-2,6,-1,3,-0.21582,0.0566406,0.934082,-11.0625,-6,-5.4375,91,104,99,18,6,14,20,9,-5,0,8,0.146484,0.286133,0.920898,55.625,-26.1875,130.188,97,87,116
"35",14,-34,-4,-4,-3,-5,-2,2,-0.25,0.0195312,0.999023,-1.5,-8.5625,-4.625,91,103,99,-20,-63,19,-5,-4,-22,-22,50,-0.13623,0.27002,1.00146,55.5,21.1875,139.688,98,86,119
"36",-5,2,-11,-3,-1,0,2,-12,-0.233887,0.0327148,1.02002,-13,-2.375,-4.5625,91,103,98,7,-5,-6,-3,3,19,6,-33,-0.443359,0.473145,0.980957,36.125,84.5625,83.0625,99,89,123
"37",-3,4,8,-1,1,3,-7,-2,-0.267578,-0.012207,0.972656,-3.25,-3,-1.375,90,103,98,4,38,12,27,5,15,8,7,-0.490234,0.531738,0.981934,3.5,104.5,19.6875,99,93,124
"38",-3,2,13,-2,-1,12,8,-3,-0.217773,0.0297852,1.00391,-4,-3.3125,0.875,90,103,98,-59,-61,-3,3,-4,1,10,-1,-0.670898,0.412598,1.15332,32.4375,74.4375,-45.25,100,101,124
"39",-1,0,0,-1,-2,6,2,1,-0.245605,0.019043,1.0166,-8.5,-0.5625,2.3125,90,103,98,3,-67,-37,-16,-13,-5,-1,0,-0.368164,0.45166,1.11133,0.1875,16,-94.5625,100,103,123
"40",21,-2,-6,-2,-1,-8,-8,0,-0.240723,0.0512695,1.00439,2.125,2.0625,2.875,90,103,99,-3,-48,21,32,9,-5,-2,-28,-0.199707,0.498047,1.02295,3.3125,-11.6875,-115.75,99,106,119
"41",-1,2,-5,2,1,21,-13,6,-0.227051,0.0361328,0.998047,1.375,3.625,2.4375,90,103,99,43,51,21,43,-3,6,9,67,-0.0737305,0.406738,0.97998,-5.8125,-15.375,-106.125,98,106,117
"42",-4,-1,-5,-3,-1,-7,7,-5,-0.23291,0.0366211,0.98877,4.8125,4.625,3,91,103,99,-5,-14,-19,-17,-6,-6,4,25,0.0161133,0.307129,0.910156,-4.375,-28.3125,-58.5625,97,105,115
