"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.246582","X.0.00244141","X0.976074","X.0.25","X0.4375","X1.8125","X89","X103","X142","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.430664","X0.0932617","X1.01025","X.0.6875","X.9.625","X5.4375","X92","X113","X70"
"30",-8,-3,-8,0,0,-3,0,-4,-0.238281,-0.0170898,1.00195,-1.0625,-0.8125,-0.3125,89,103,142,13,6,8,30,-5,-26,-4,10,0.899414,0.373047,0.314453,-4.1875,6.75,-2.875,115,26,22
"31",-16,-5,5,2,2,11,-9,-4,-0.242188,-0.019043,1.00098,-1,-0.125,-0.0625,89,103,142,-4,-17,-13,-27,-18,46,6,14,0.873047,0.379883,0.313965,7.6875,7.375,1.4375,114,26,22
"32",2,-15,-20,-5,-2,7,6,0,-0.239746,-0.0214844,0.990723,-0.1875,0,0.0625,89,103,142,46,4,-11,-21,-44,-3,-19,-9,0.882812,0.333984,0.33252,-4.4375,5.1875,3.3125,114,26,22
"33",3,8,27,0,0,10,20,-2,-0.240234,-0.0102539,0.987793,-0.875,0.1875,0,89,103,142,15,-8,11,29,53,23,2,9,0.871582,0.367188,0.318359,2.25,2.3125,3.8125,114,26,23
"34",-6,-16,-7,-2,-1,-1,-7,-4,-0.241699,-0.0234375,0.980957,-0.5625,-0.3125,-0.125,89,103,142,2,18,6,6,-44,15,14,-3,0.856445,0.328613,0.312988,1.375,4.9375,6.5625,113,26,23
"35",4,-14,-40,-2,1,2,8,0,-0.233887,-0.0117188,0.993652,-0.6875,0.125,-0.0625,89,103,142,4,12,15,-1,28,26,5,-2,0.870605,0.33252,0.313477,-0.75,3.125,3.5,113,26,24
"36",15,-20,-8,-7,-6,-13,-14,-3,-0.237793,-0.0268555,0.987793,0.25,-0.3125,-0.25,89,103,142,24,6,-3,22,67,-12,-2,-7,0.863281,0.313965,0.325684,3.8125,6.1875,3.1875,113,26,24
"37",9,-10,-26,-4,-2,-5,-13,0,-0.237793,-0.0195312,0.993652,0.875,-0.3125,0.125,89,103,142,-8,4,5,9,5,3,4,-7,0.875977,0.316406,0.336426,-1.6875,3.625,4.125,112,27,24
"38",-8,-2,-40,3,2,3,-5,0,-0.242676,-0.0239258,0.980469,-1.25,-0.125,0.0625,89,103,142,14,21,18,61,31,-21,-4,19,0.878906,0.319824,0.328613,2.0625,6,3.75,112,27,25
"39",-3,-26,-26,0,0,-5,3,-2,-0.241699,-0.0214844,0.998047,0.125,-0.5625,0.1875,89,103,142,36,15,7,0,-3,5,11,5,0.851074,0.316895,0.344727,-0.625,4.5,1.375,112,27,25
"40",8,20,9,-1,2,8,-4,2,-0.243164,-0.0131836,0.991211,-0.375,-0.0625,0.3125,89,103,142,-12,-8,-10,-9,-19,5,-6,-15,0.875977,0.305664,0.341309,2,4.8125,3.0625,111,27,25
