"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.103027","X.0.0415039","X1.11377","X.14.5","X.2.125","X.1.4375","X94","X105","X68","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.267578","X.0.182617","X1.06885","X.14.25","X4.5","X3.625","X85","X104","X95"
"11",0,19,11,10,1,4,9,6,-0.305664,0.153809,1.00049,-10.5,-4.4375,-4.375,96,107,69,5,15,6,-7,2,-22,-5,-6,0.0766602,-0.0634766,0.84375,-5.875,-75.125,94.5,90,86,125
"12",0,-9,-4,-4,-5,-12,-6,-11,-0.301758,0.158691,0.958008,0.1875,-1.9375,3.375,95,107,69,-25,-7,-11,-25,-5,6,-9,-3,-0.125,-0.17041,0.854004,-7,-17.8125,111.5,89,83,129
"13",2,-13,-50,3,0,-2,1,0,-0.313477,0.172852,0.958496,4.1875,-1.375,2.75,95,107,69,19,2,6,11,9,5,14,6,-0.250488,0.00585938,0.912598,26.75,49,3.125,89,85,129
"14",8,13,-9,-3,0,-10,8,3,-0.341797,0.224121,0.962402,5.625,0.4375,9,96,107,69,0,-34,-18,4,-9,4,10,28,-0.603516,-0.0170898,1.01562,24.5,101.875,-26.9375,90,92,129
"15",-13,-15,-6,-4,-3,3,6,5,-0.369629,0.28125,0.941406,10.875,5.75,9.375,96,107,70,34,-5,3,-10,3,-3,-2,2,-0.650391,0.187012,1.09814,67.8125,74.375,-59.4375,92,99,128
"16",-17,-16,-18,-6,-3,1,16,-5,-0.336426,0.269531,0.959473,23.1875,8.25,6.25,97,108,70,-5,26,10,-6,5,-1,2,-20,-0.425293,0.196289,1.17773,51.5625,41.75,-96.3125,92,102,126
"17",-4,12,-2,1,-1,0,-4,0,-0.263672,0.252441,1.0127,50.375,11.875,8.1875,98,108,70,-58,-58,-46,-46,-22,0,-1,-8,-0.0957031,0.258301,1.21191,33.375,7,-139.438,93,103,122
"18",22,9,39,4,-1,-9,-12,4,-0.306641,0.254395,0.855469,16.0625,11.9375,-2.0625,99,108,70,8,-5,63,65,44,3,0,-8,0.0356445,0.290527,1.12207,35.6875,-17,-141.188,93,104,119
"19",1,2,-24,-2,0,3,2,1,-0.338867,0.283691,0.820312,6.5625,4.9375,-1.625,99,109,70,7,78,46,5,24,2,2,7,0.362793,0.150879,1.0415,-5.4375,-56.5625,-95,92,101,115
"20",-2,-7,-8,-1,0,-2,0,0,-0.339355,0.385742,0.820801,-18.0625,-7.3125,-7.6875,99,109,70,-25,-56,2,16,-2,-12,-4,-1,0.540527,0.0776367,0.972168,-20.8125,-83.25,-28.1875,92,96,114
