"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.374512","X.0.222168","X0.891602","X.14.3125","X.41.0625","X.18.125","X82","X93","X140","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.110352","X.0.0131836","X1.11328","X.9.625","X.7.4375","X.5.5625","X88","X94","X64"
"1",0,0,0,0,0,0,0,0,-0.0737305,-0.388184,1.01025,-36.3125,-91.5625,-41.875,81,89,139,0,0,0,0,0,0,0,0,-0.14209,-0.0214844,1.08594,-15.3125,-18.6875,-2.875,88,94,64
"2",-3,9,18,-14,-24,-10,-2,-3,0.260742,-0.316406,0.969238,-5.5,-87.4375,-46.625,81,82,139,0,0,0,0,0,0,0,0,-0.157715,-0.0263672,1.06299,-16.3125,-24.25,-0.875,88,93,64
"3",-33,26,-40,-40,-31,-5,-13,-9,0.363281,-0.239258,0.916016,6.5,-55.75,-37.625,81,77,138,3,3,6,1,-7,0,2,-2,-0.097168,-0.0991211,1.00537,-10.25,-40.1875,19.1875,87,91,65
"4",-6,8,39,10,8,6,16,20,0.311523,-0.21875,0.914551,8.4375,-45.5,-24.6875,81,76,138,2,7,10,8,1,-4,-1,2,-0.00537109,-0.0551758,1.01025,-13.3125,-39.9375,29.6875,87,90,66
"5",-8,7,49,-34,-21,-4,5,19,0.362793,-0.325195,0.870117,-4.3125,-38.8125,-25.8125,81,72,137,-5,-5,-10,-6,-6,-4,-8,-4,0.108887,-0.0527344,1.00488,-21.6875,-32,44.9375,86,88,67
"6",-32,-16,-16,-25,3,24,-15,-3,0.339355,-0.234863,0.786133,8.5625,-36.3125,-15.875,82,70,137,7,-2,-2,-5,-11,-12,-16,11,0.097168,-0.0385742,1.00098,-36.875,-39.875,43.25,86,86,68
"7",12,22,5,8,5,21,15,38,0.345703,-0.279785,0.831543,-15.3125,-48.375,-1.625,81,68,137,25,1,-3,-3,-9,-42,22,23,0.161133,-0.264648,0.943359,-39.4375,-29.125,37.5,84,84,69
"8",-12,13,6,3,3,9,23,30,0.569824,-0.219238,0.857422,-18.9375,-42.75,14.5625,80,65,138,-15,-1,-1,-12,-26,-44,-58,-47,0.115723,-0.291016,0.945312,-41.1875,-24.9375,12.625,83,83,70
"9",-27,-7,14,2,4,10,-3,-8,0.393555,-0.28125,0.84082,-13.1875,-21.1875,5.75,80,64,138,52,21,9,62,93,44,76,80,0.0961914,-0.466797,1.01172,-29.0625,-45.3125,-22.9375,82,81,70
"10",-10,-12,19,-3,-5,-4,-11,-25,0.339844,-0.219727,0.835449,22.8125,-11.25,11.0625,80,63,139,12,0,0,-1,14,21,89,44,0.147461,-0.376953,0.90918,12,-40.5625,-57.4375,82,79,69
"11",-10,6,-23,4,-3,-3,-12,4,0.466797,-0.23291,0.862793,-9.1875,-5.75,17,80,63,139,-32,-4,3,-5,14,9,-26,-30,0.133789,-0.286621,0.956543,57.1875,-23.5625,-66.8125,83,77,67
"12",-7,7,4,0,0,1,2,21,0.474609,-0.250488,0.860352,9.75,7.3125,33.9375,80,64,140,13,6,6,6,3,30,72,41,0.185547,-0.147949,0.881348,112.812,-21.4375,-67.4375,85,76,66
"13",13,15,5,-15,-11,-1,2,9,0.477051,-0.346191,0.866699,1.875,10.0625,37,79,65,141,-18,-14,-9,-15,-21,-29,-14,-24,0.208008,-0.166992,0.977051,76.375,-13.9375,-120.562,88,74,63
"14",-31,12,63,5,5,5,8,-16,0.479004,-0.354492,0.865234,5.875,9.75,31.8125,79,66,142,34,12,4,4,4,2,-7,7,0.189941,-0.0317383,0.989746,150.188,-26.5,-122.875,93,73,59
"15",-38,22,-17,9,0,-2,-4,-18,0.490234,-0.376953,0.861816,3.5625,5.6875,23.875,79,66,142,53,11,3,-7,2,10,22,54,0.226562,0.302246,0.884766,168.688,-39.875,-130.312,97,72,56
"16",4,2,-15,-17,-12,-6,6,13,0.495117,-0.388672,0.847656,4.3125,3.1875,13.875,79,66,143,-5,-3,-1,-3,-3,-4,5,-8,0.290039,0.57959,0.817871,99.75,-13.9375,-122.875,102,73,52
"17",9,-29,-10,-15,-9,-7,-10,-46,0.44873,-0.384766,0.848145,1.375,1.1875,6.3125,79,66,143,11,5,-2,-4,-5,-12,10,16,0.15918,0.628418,0.855469,10,-7.75,-91.5625,103,75,50
"18",7,8,-48,2,0,-2,0,14,0.412598,-0.369141,0.858398,-0.0625,-0.75,3.1875,79,66,143,2,-1,-1,12,11,16,7,2,0.222168,0.663086,0.798828,30.4375,-1.6875,-38.4375,104,77,48
"19",0,10,55,6,3,-6,-5,-13,0.381348,-0.365723,0.868164,-3.1875,0.375,-0.1875,79,66,143,18,3,4,9,5,5,30,15,0.26416,0.721191,0.813477,-14,0.4375,-23.25,105,77,48
"20",2,-9,-43,2,-2,3,0,9,0.384277,-0.348145,0.874023,-0.5625,0.9375,-2.6875,79,66,143,39,5,0,17,6,3,77,57,0.260254,0.555176,0.87793,-3.3125,3.8125,-1.9375,104,77,48
