"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.120605","X.0.28125","X0.931152","X13.3125","X.8.125","X.14.5625","X81","X95","X96","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.112305","X0.0458984","X1.07764","X2.125","X11.25","X0.375","X92","X95","X96"
"26",-5,-6,0,0,-2,-25,-6,-19,0.27002,-0.445801,0.913574,-4.4375,4.625,6.25,79,72,90,-4,-13,-6,-8,-24,-29,-12,3,0.381348,0.34668,0.91748,22.1875,27.25,-71.1875,100,66,107
"27",11,2,1,-1,0,-9,-5,5,0.308105,-0.241211,0.914062,8.6875,4.6875,13.625,79,73,90,-4,4,2,5,52,-4,3,-11,0.227051,0.635742,0.986816,29.625,-2,-36.875,101,69,105
"28",-5,-4,-4,1,2,11,1,2,0.30127,-0.411133,0.917969,-3.0625,6.4375,5.3125,79,73,90,-1,1,-4,2,-11,-3,-4,-4,0.401855,0.350098,0.943848,-1.4375,-3.375,-34.5,101,69,104
"29",11,-13,-19,-13,-6,4,0,2,0.30957,-0.343262,0.940918,4.5,2.6875,6.4375,79,73,90,10,13,2,0,-9,18,2,3,0.260254,0.361328,0.928711,-9.375,16.9375,-15.75,101,71,104
"30",2,0,-3,-10,-7,-9,-10,-6,0.324219,-0.36084,1.00439,17.6875,2.125,4.375,79,74,90,-2,10,-2,-1,-17,-15,-6,-5,0.280273,0.385254,0.91748,1,11.1875,-7.4375,101,71,104
"31",-4,1,7,3,2,5,-5,-2,0.272949,-0.262207,0.980957,22.125,11,-6.1875,80,74,90,-15,-41,-2,0,-2,-22,-1,19,0.330566,0.385742,0.925781,-10.8125,5.1875,-1.4375,101,72,104
"32",-6,-10,-6,-12,-10,-5,1,4,0.303711,-0.291016,0.955078,18,16.375,-7.125,81,74,90,-5,9,23,23,-2,-4,-3,-16,0.371582,0.384766,1.08545,-9.3125,-1.0625,10.8125,101,72,104
"33",1,27,-4,0,-1,-3,1,-3,0.192871,-0.305176,0.997559,54.4375,5.5625,0.9375,82,75,90,-8,-2,-19,-10,-15,-17,-12,-15,0.483887,0.370117,1.16016,-12,-47.375,32.8125,100,70,105
"34",-4,9,8,4,2,-2,-3,-4,0.296875,-0.278809,0.966309,29.8125,-5.5625,-15.6875,83,75,89,-1,-2,-4,-6,-7,0,-36,6,0.704102,0.315918,1.30322,-64.5625,-92.1875,41.0625,99,66,105
"35",6,4,3,1,3,0,1,0,0.299316,-0.289551,0.919434,35.6875,-14.5,-16.0625,84,74,89,5,20,-4,-2,-8,-22,1,8,0.805176,0.201172,1.15137,-149.75,-77.4375,77.5,95,59,106
