"","X.9","X.4","X11","X.5","X.2","X7","X.5.1","X.2.1","X.0.248535","X.0.0239258","X0.991699","X.2.5","X.0.9375","X.2.375","X89","X104","X143","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.0253906","X0.317383","X1.16699","X49.125","X.132","X89.5","X98","X90","X67"
"19",13,-10,-11,-5,-3,-3,9,-1,-0.25,0.00927734,0.980469,0.5,-0.0625,0.375,90,104,143,-20,-19,0,-1,-13,-31,-8,-18,0.737793,0.395996,0.52002,-20.4375,-103.25,-94.375,100,35,44
"20",-41,-28,11,2,-4,-9,-13,-6,-0.257324,0.0078125,0.988281,0.125,0,0.1875,90,104,143,-15,27,9,14,23,-40,-14,-12,0.788086,0.302246,0.500488,-42.125,-92.625,-87.875,103,33,39
"21",1,1,-13,-7,-1,21,26,2,-0.251953,0.0107422,0.991699,1,0.3125,0.125,90,104,143,3,9,10,8,-45,18,7,-5,0.679688,0.420898,0.417969,-0.4375,-65.75,-53.8125,107,32,34
"22",0,-8,24,0,-1,6,-5,-1,-0.249512,0.0131836,0.994629,-0.1875,0.375,-0.125,90,104,143,4,-11,-8,-10,-10,-23,-15,-19,0.775391,0.334473,0.389648,-39.75,-46.3125,-43.4375,109,31,31
"23",5,2,11,-2,-2,-2,3,0,-0.255371,0.0126953,0.976074,-0.125,0.1875,-0.25,90,104,143,51,23,-16,-27,-32,29,1,-1,0.678223,0.439941,0.324219,-25.75,-22.375,-19.3125,110,31,29
"24",1,-4,-16,2,-2,-23,-4,-5,-0.257812,0.00732422,0.982422,0.3125,-0.25,-0.625,90,104,143,19,-5,-11,-18,20,30,2,1,0.719238,0.375488,0.316895,-28.875,-9.125,-16.875,110,31,28
"25",-3,35,-23,1,2,-10,-16,2,-0.254395,0.012207,0.983887,-0.75,0,-0.6875,90,104,143,-15,-6,2,6,14,19,4,4,0.751953,0.412598,0.327637,-21.1875,-2.1875,-6.125,111,32,27
"26",-13,-21,-3,-6,-2,1,14,-3,-0.253418,0.00927734,0.980957,0.0625,-0.5,-0.6875,90,104,143,-32,15,0,-1,12,15,3,-4,0.756348,0.376465,0.34082,-12.4375,2.8125,-3.25,110,32,27
"27",-2,7,-1,-3,-1,6,-4,-2,-0.255371,0.00634766,0.990723,0.375,0,-0.9375,90,104,143,-5,-3,8,21,41,-5,8,9,0.80957,0.386719,0.370117,-9.5,1.75,-5.0625,111,32,26
"28",7,-8,1,-2,-2,6,1,-3,-0.258789,0.00439453,0.977539,-0.4375,-0.1875,-0.8125,90,104,143,-24,-10,-3,-3,8,19,16,0,0.821289,0.381348,0.385254,2.9375,3.75,-5.5,111,33,26
