"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.00195312","X.0.437012","X1.0376","X.72.125","X.22.1875","X.36.875","X84","X92","X70","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.348145","X.0.186523","X0.911621","X6.8125","X.0.25","X4.5625","X83","X107","X84"
"11",-3,5,-28,-28,-17,-81,-22,15,0.492188,0.103516,0.557617,92.875,-5,3.5625,99,44,56,-116,-8,-17,1,11,9,-5,-94,0.40625,-0.611328,0.587402,-113.812,-45.1875,12.375,65,54,112
"12",1,-8,35,4,21,-3,5,-2,0.57666,0.17334,0.583496,8.1875,-18.4375,-12.125,100,43,55,91,97,-22,-23,-23,-69,13,105,0.564941,-0.662109,0.320312,-89.125,-51.0625,51.8125,61,54,114
"13",-6,-1,96,-1,1,43,48,-3,0.724121,-0.0576172,0.515625,-37.1875,-14.625,-21,100,43,55,-19,0,-50,-31,-5,-32,-80,-15,0.321289,-0.719727,0.296387,14.625,19.4375,31.9375,60,55,115
"14",13,-54,71,-41,-26,61,32,-6,0.9375,0.137695,0.490723,-44.0625,-32.1875,-38.25,99,41,54,89,48,15,-12,-23,43,22,40,0.269531,-0.50293,0.299805,-44.375,11.5625,10.0625,60,57,115
"15",7,38,27,1,10,18,-1,30,0.885742,0.243164,0.543945,-48.875,-44,-10.9375,99,39,52,40,26,-4,0,-3,1,0,89,0.421387,-0.57959,0.207031,-14.3125,-10.375,-8.5,59,57,115
"16",0,-39,-94,11,13,-77,-4,51,0.82373,0.249512,0.54541,-74.8125,-53,-2.5625,99,37,51,-43,0,-11,-4,-16,-24,-1,3,0.649902,-0.527832,0.108398,36.6875,21.3125,-41.1875,60,55,114
"17",-2,-36,43,23,15,-2,-2,-3,0.913574,0.271484,0.589355,-39.5,-32,16.5625,97,34,51,8,-48,-19,-13,-2,83,-58,-52,0.498535,-0.112305,0.211426,176.875,55.1875,-22.8125,65,54,112
"18",1,-30,-30,7,5,9,37,33,0.759766,0.228516,0.556641,-23.4375,7.5,-10.25,97,34,51,24,10,41,43,95,-4,33,51,0.463867,-0.0927734,0.371094,189.062,-26.875,-19.875,69,53,112
"19",4,17,85,-6,-5,8,35,27,0.669922,0.245605,0.648438,-15.0625,6.5,9.3125,96,36,51,-17,-23,-1,-44,127,24,-57,-7,0.579102,-0.193359,0.575684,197.938,-12.625,-30.4375,74,51,112
"20",-20,-39,-46,15,7,9,-13,-27,0.783203,0.168457,0.688477,-4,5.625,16.4375,95,36,51,-48,-11,22,95,-54,-21,0,-8,0.813477,-0.149414,0.755371,169.688,-96.6875,-43.375,78,47,111
"21",-9,-40,-101,-15,-7,8,-30,-17,0.782715,-0.0195312,0.686035,26.5625,26.625,-5.5625,95,37,52,-14,5,5,-18,-58,29,-12,3,0.995117,-0.236328,0.841797,147.812,-84.9375,-40.5625,81,43,111
"22",23,-31,-18,5,3,41,-21,-39,0.866699,0.295898,0.627441,29.0625,2,5,96,38,52,-1,-12,-15,-36,-100,12,17,-4,0.771973,-0.118652,0.915039,124.812,-96.3125,-32.9375,85,38,110
"23",16,34,17,16,18,80,23,-4,0.796875,0.195312,0.52002,-24.25,20.8125,0.8125,96,38,52,-6,-2,32,127,-70,-11,-6,3,1.08301,-0.043457,0.762695,43.5,-80.25,19.9375,87,32,111
"24",-16,14,16,8,2,-13,9,-2,0.986816,0.147949,0.57666,-4.5,5.25,4.625,96,39,53,-18,41,28,24,-14,-62,-59,-30,1.02734,-0.266113,0.516602,46.75,-32.3125,39.875,86,30,113
"25",8,9,-15,4,-1,21,0,2,0.750977,0.0751953,0.621582,1.875,7.5625,1.9375,96,39,53,6,-2,0,-8,10,3,-19,18,0.18457,-0.327148,0.86377,-155.375,48.0625,1.3125,84,33,112
"26",0,12,77,1,1,12,-8,6,0.8125,0.129395,0.623535,-9.375,-2.25,0.5,96,39,53,-15,12,-8,-8,26,12,16,-7,0.807617,-0.522461,0.724609,9.9375,23.4375,31,82,35,114
"27",-29,-7,47,-6,-6,-10,-14,41,0.750488,0.138672,0.632812,4.875,-3.875,-1,96,39,53,34,16,2,3,-1,-17,-10,43,0.885742,-0.203125,0.527344,-49.5625,33.9375,10.25,81,37,114
"28",5,11,26,1,-2,-3,6,37,0.694336,0.129395,0.591797,1.875,3,-2.4375,96,39,53,2,-5,-1,-16,-16,11,-9,13,0.861816,-0.174316,0.599609,-11.3125,12.1875,4.6875,81,38,114
"29",-14,-23,-31,-10,-2,-7,2,-11,0.540527,0.229492,0.546387,8.3125,25.4375,28.375,96,40,54,-5,-7,0,0,5,-2,15,11,0.767578,-0.158691,0.587402,-7.3125,13.25,-1.875,80,39,113
"30",-3,0,-8,1,2,0,1,-12,0.479004,0.22998,0.588379,11.875,54.9375,36.5,95,42,55,-3,1,2,3,2,2,-17,2,0.725098,-0.214355,0.600098,-23.5,6.375,7.9375,80,39,113
"31",5,4,2,1,-1,-1,0,-1,0.372559,0.108887,0.62207,-33.5625,68.4375,78.875,93,46,58,-8,-2,-2,-3,2,0,8,9,0.678223,-0.246582,0.569824,-6.6875,3.4375,0.25,80,40,114
"32",-11,-7,1,-1,-1,1,-1,-1,0.501465,-0.0473633,0.67334,-29.0625,89.75,104.062,90,49,60,3,-1,-1,0,-1,-4,-9,-5,0.50293,-0.47998,0.608887,-51,31.0625,-30.3125,79,41,113
"33",12,13,2,-4,-2,-1,1,19,0.628418,-0.171875,0.759766,-19.5625,148.375,107.938,87,57,64,6,2,0,2,1,-2,4,-17,0.437012,-0.222168,0.585938,-33.1875,61.125,-54,79,43,111
"34",3,11,0,-6,-11,-2,-1,0,0.527344,-0.365234,0.923828,-18.6875,192.625,118.5,85,69,67,7,2,1,0,5,6,5,8,0.352051,-0.219238,0.600098,-24.75,75.4375,-100.938,82,46,107
"35",-7,-13,-13,7,3,0,-1,-4,0.267578,-0.266602,1.05615,21.5625,187.875,99.8125,85,77,69,0,-2,-3,-3,-1,4,-5,-22,0.538086,-0.0419922,0.588867,15.0625,102,-132.5,84,49,103
"36",15,0,35,11,3,-1,1,5,0.0751953,-0.248047,1.14746,13.375,141.25,62,85,87,70,-1,2,-2,-1,-14,-8,-1,8,0.500488,0.180176,0.686035,1.6875,157.562,-149.062,89,56,97
"37",2,1,2,1,0,-6,2,-10,-0.0439453,-0.182129,1.13525,33.25,105.25,46.375,86,94,71,-2,-2,-8,-11,-38,-25,-4,-3,0.614746,0.198242,0.79541,7.6875,179.438,-134.125,90,63,94
"38",4,-5,-6,-3,2,4,9,-7,-0.0244141,-0.250977,1.4624,-17.375,77.75,27.5,86,98,72,3,11,10,24,38,37,25,6,0.40332,0.244141,0.904297,-4.875,203.75,-125.188,92,75,90
"39",-6,-10,-3,-2,-1,-3,-2,1,0.154785,-0.121094,1.33203,-39,-23.875,-9.75,85,97,72,6,3,0,-1,28,22,4,14,0.112305,0.327637,1.13623,-6.625,192.312,-84.375,92,83,88
"40",1,-1,-2,-3,-3,-3,-1,-2,-0.0395508,-0.237793,0.987793,20.625,12.5625,-10.375,85,96,72,-4,-1,-3,-6,-24,-36,-4,-22,-0.0615234,0.134766,1.32666,-15.6875,109.875,-43.1875,92,92,87
"41",-7,4,1,0,0,5,-3,-31,-0.247559,-0.200195,0.943848,27.5,8.25,-1.3125,86,97,72,-16,-23,1,4,23,15,-9,-44,-0.0913086,0.190918,1.11963,9.0625,89.4375,-26.1875,92,97,86
"42",-6,-3,0,-1,-2,6,-8,11,-0.111816,-0.133789,0.999023,9.0625,-2.5,3.8125,86,97,72,-2,1,2,-1,-4,18,-18,11,-0.24707,0.0917969,1.1001,-26.375,76.75,-22.375,92,101,86
"43",2,1,0,0,-1,-11,-11,2,-0.10791,-0.144531,1.03174,-7.75,-1.1875,3.6875,86,97,72,-9,-3,-3,-3,-9,-21,-14,5,-0.157715,-0.101074,1.26807,-24.1875,38.9375,1.25,91,103,86
"44",-9,-1,-1,0,0,-2,0,-15,-0.11377,-0.103027,1.0127,-4.9375,-3,3,86,97,72,6,0,0,1,-1,8,9,6,-0.249023,0.154297,1.14404,6.625,23.5,2.75,91,104,86
"45",-6,-9,-3,-2,-3,-4,1,-6,-0.125,-0.128418,1.01807,-5.5,0.1875,-2.1875,86,97,72,-14,-3,2,4,3,-7,-16,-10,-0.398438,0.0966797,1.00195,-7.6875,18.8125,9.5,91,105,86
"46",-10,2,0,-1,0,7,-6,4,-0.151367,-0.149414,1.01025,-3.125,-0.5,-2.25,86,97,72,-2,-3,-3,-2,-4,-8,12,4,-0.422363,0.103516,0.975098,-10.8125,8.625,10.25,91,106,87
"47",-4,0,0,-1,0,-2,1,-5,-0.134277,-0.170898,1.0083,2.0625,-0.875,0.9375,86,97,72,-3,-4,-3,-3,-1,-4,-3,-2,-0.32666,0.0288086,1.01318,-8.875,-1.625,-2.1875,91,107,87
"48",-5,0,0,1,0,4,-2,-3,-0.119141,-0.148926,1.0083,2.1875,-1.1875,1.9375,86,97,72,-21,-3,0,-3,-6,-20,-16,-12,-0.292969,0.050293,0.995117,5.625,0.9375,-1.9375,91,106,87
"49",8,-1,-1,-2,0,4,-13,-7,-0.120605,-0.140137,1.00049,-1.3125,-0.625,-0.0625,86,97,72,3,-2,-2,-4,-3,-5,-6,-24,-0.318359,0.0488281,0.991699,-3.25,2.25,0.125,91,107,87
"50",2,-2,-1,-1,-2,-3,2,1,-0.121582,-0.143066,1.00977,-1.125,-0.5,-0.0625,86,97,72,-3,-2,-3,0,2,10,-2,-10,-0.323242,0.0517578,0.981934,-4.125,0.125,1.6875,91,107,87
