"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.237305","X0.0253906","X0.995605","X13.0625","X.2.4375","X.3.75","X91","X103","X74","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.225586","X.0.228027","X1.03418","X.7","X0.5625","X2.375","X83","X101","X81"
"26",-5,-1,-1,-2,1,-1,-2,-4,-0.25,0.0478516,0.99707,1.875,1.5,2.75,90,104,74,-5,-16,-2,-2,-3,18,1,9,0.878418,0.137207,0.324219,45.3125,105.062,83.5625,94,20,72
"27",18,5,0,-1,1,1,0,2,-0.246094,0.0317383,1.00391,2.25,2.5625,2.3125,90,104,74,0,2,0,0,0,3,0,-1,0.84375,0.0517578,0.383789,30.75,101.062,81.4375,90,24,77
"28",-2,1,0,-1,-1,-1,2,0,-0.25,0.0498047,0.985352,4.5625,2.625,2,91,104,74,-1,-2,-1,-1,-1,-1,1,-2,0.776367,0.0463867,0.427246,50.4375,121.375,79.0625,87,31,82
"29",-1,-2,1,-1,-1,0,-2,-1,-0.24707,0.0424805,0.990234,3.375,2.375,1.625,91,104,74,-1,-2,0,2,1,3,-2,-2,0.746094,-0.0185547,0.491699,50.4375,132.688,75.25,86,37,84
"30",-6,-1,-1,0,-1,0,-1,-1,-0.257324,0.0458984,0.985352,6.1875,2.3125,1.8125,91,104,74,0,-2,-1,-8,-6,-2,-1,-1,0.673828,-0.0400391,0.604492,36.0625,157.688,39.3125,86,46,86
"31",-8,0,1,0,-1,0,-4,-3,-0.274414,0.0595703,0.972168,2.75,1.875,1.8125,91,104,74,0,-1,0,-2,-6,-7,0,-1,0.627441,-0.0537109,0.685547,10.625,162.438,36.5,86,52,86
"32",-2,-1,0,-2,-2,0,-2,-4,-0.260254,0.0522461,0.979004,1.625,0.25,1.5625,91,104,74,-1,-1,-1,-2,10,13,6,0,0.513672,0.00244141,0.861816,2,170.312,9.5625,87,62,86
"33",1,-1,-1,-2,-2,-2,-1,0,-0.254883,0.074707,0.95459,-2.875,-2.1875,-0.5625,91,104,74,-2,-2,-5,7,13,2,-5,-3,-0.0952148,-0.240234,1.13965,-21.0625,116.438,-19.5,85,87,84
"34",0,2,-1,0,-1,1,-3,-3,-0.248535,0.0541992,0.95459,1.875,-7.625,-1.8125,91,104,74,-4,-13,-12,-16,-8,8,22,1,-0.25293,-0.189941,1.09619,10,79.8125,-16.1875,85,93,83
"35",-2,2,1,-1,0,1,0,-4,-0.246094,0.0668945,0.958008,-9.125,-12.8125,-4.125,91,103,74,0,-2,4,1,-3,8,2,-2,-0.327148,-0.216797,1.04199,10,57,-13.6875,85,96,82
"36",0,-2,-2,-1,1,-1,-1,0,-0.21582,-0.0146484,1.05078,-2.375,-9.1875,0,91,103,74,-3,4,1,-2,-14,1,-5,-3,-0.342285,-0.173828,0.931152,2,46.375,-8.4375,85,99,82
"37",-2,1,0,-1,0,-1,2,-4,-0.25,0.0512695,0.975098,-11.25,-7.875,-2.5,91,102,74,0,-4,0,3,1,13,3,0,-0.336426,-0.103516,0.781738,26.5625,32.375,0.375,85,102,82
"38",5,2,-2,0,0,0,-1,0,-0.231934,0.027832,1.03418,-1.6875,-5.1875,1.1875,90,102,74,2,1,2,5,-12,8,5,1,-0.34082,0.28418,1.18457,-14.625,-40.25,-30.25,86,102,81
"39",1,0,-2,-3,-3,1,-1,-1,-0.221191,0.0102539,1.00244,-9.875,-1.5625,1.375,90,102,74,1,-1,0,2,14,-4,6,1,-0.152832,-0.163086,1.09619,50.1875,-6.4375,4.125,86,101,81
"40",-1,-3,-1,-1,-2,-1,-1,1,-0.230957,0.0214844,1.0166,-1.375,-2,1.875,90,102,74,-2,1,-2,-6,-2,-1,-5,0,-0.181641,-0.0551758,1.03857,-7.375,-0.6875,-4.4375,86,101,81
"41",8,-2,-4,-3,-2,-1,-1,7,-0.22168,0.0439453,1.00195,-3.0625,0.375,1.25,90,102,74,1,5,1,-1,-2,-12,0,-1,-0.184082,-0.161621,1.00244,4.875,1.125,-0.9375,86,101,81
"42",-2,1,-2,1,0,-2,-1,-6,-0.205078,-0.000976562,1.01709,1.3125,1.1875,1.5625,90,102,74,1,1,-1,-2,-1,3,2,2,-0.189453,-0.131836,0.995117,-4.125,-1.5625,-1.4375,86,101,81
"43",-6,1,0,0,0,-1,-1,-7,-0.219238,0.0410156,1.00781,3.5,2.125,1.25,90,102,74,1,1,-1,0,-8,-6,-6,-5,-0.199707,-0.140137,1.01758,-13.6875,-1.5625,1.875,86,101,81
"44",-5,-7,-4,-3,-4,-1,-1,6,-0.213379,0.0224609,1.00537,-1.3125,2.3125,-0.3125,90,102,74,-1,0,1,1,1,-1,1,0,-0.1875,-0.108398,1.03027,-5.9375,0.3125,1.8125,86,101,81
"45",-5,-6,-3,-1,-3,0,-1,3,-0.213867,0.0244141,1.01221,7.625,2.4375,-0.5625,90,102,74,-2,-2,2,0,3,6,0,-1,-0.19873,-0.12207,1.021,-4.3125,2.4375,1.1875,86,101,81
"46",0,0,1,-1,0,-1,-1,-1,-0.220215,0.0385742,0.988281,0.875,2.875,-2.0625,90,102,74,-1,-4,-2,-2,-6,-2,-6,-4,-0.1875,-0.126465,1.00537,0.5625,2.0625,1.125,86,101,81
"47",9,-3,-4,-2,-1,-2,-2,5,-0.235352,0.0136719,0.983398,2.125,1.0625,-1.1875,90,102,74,-3,-12,-2,1,0,-4,-1,0,-0.193848,-0.141602,0.994141,-2.625,1.125,-1.125,85,101,81
"48",-3,-4,-4,-1,-2,-1,-2,-3,-0.237793,0.00878906,1.00293,-0.3125,-0.1875,1.9375,90,102,74,-1,0,1,1,0,1,1,2,-0.197266,-0.133789,1.00537,1.75,-0.625,-1.25,86,101,81
"49",6,6,2,-1,0,-1,-1,1,-0.202637,0.0439453,1.02539,-4.125,1.6875,1.75,90,102,74,-1,0,-1,0,4,-12,-2,-2,-0.191895,-0.125488,1.01416,-1.9375,0,-1.4375,86,101,81
"50",4,1,1,-2,0,0,-2,0,-0.229004,0.0722656,0.999023,2.75,3.3125,0,90,102,74,0,3,1,-2,-8,1,-3,2,-0.192871,-0.174316,1.00879,-3.5,0.6875,0.5,85,101,81
