"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.456543","X0.35498","X0.719727","X.82.25","X.18.5625","X.22.3125","X96","X106","X69","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.258789","X.0.207031","X0.916504","X14.625","X1.625","X.0.8125","X84","X104","X85"
"1",0,0,0,0,0,0,0,0,-0.493164,-0.118164,1.08887,-81.4375,-117.312,-40.6875,92,102,68,0,0,0,0,0,0,0,0,-0.250488,-0.081543,0.979492,-4.0625,4.5625,6.875,84,104,85
"2",0,0,0,0,0,0,0,0,-0.400879,-0.255859,1.18994,-44.125,-135.188,-49.25,92,99,67,0,0,0,0,0,0,0,0,-0.422363,-0.528809,1.12109,6.3125,26.8125,42.6875,84,106,86
"3",5,41,7,19,0,-10,-2,4,0.302734,-0.189941,1.20996,-16.5,-192.062,-79.625,91,85,64,3,21,13,32,5,22,20,23,-0.456543,-0.138672,0.928223,8.1875,10.5,49.25,84,107,87
"4",4,10,-86,10,7,-64,-14,-5,0.404297,-0.015625,1.10205,6.6875,-196.188,-82.1875,91,78,62,-47,15,22,29,-13,-24,-42,1,-0.482422,-0.185059,1.04248,-50.0625,-136.812,50.9375,84,104,89
"5",12,87,73,42,19,5,17,17,0.485352,0.0776367,0.846191,4.1875,-170.438,-78.1875,92,63,58,-94,-12,4,5,4,-30,-45,-38,-0.359863,-0.169922,1.15771,-0.625,-162.75,56.9375,84,101,90
"6",-25,-61,-127,-41,-14,9,-2,-5,0.522949,0.291504,0.756836,31.5625,-119.188,-44.1875,94,56,55,116,90,22,6,10,81,-2,56,0.580078,-0.246094,1.15527,-46.125,-240,91,83,80,96
"7",9,73,-2,32,1,-72,-43,-64,0.580078,0.405762,0.737793,3.5,-87.75,1.8125,95,52,55,116,80,12,-5,4,-5,-18,21,0.467773,-0.513672,0.967285,-104.25,-216.375,97.875,79,69,101
"8",-5,22,77,11,18,11,51,11,0.617676,0.213867,0.754883,50.875,-33.5625,2.3125,97,49,54,-10,-20,-1,9,-22,-2,58,-2,0.568359,-0.53125,0.759766,-90.1875,-173.562,99.25,75,64,104
"9",5,-72,-95,5,24,18,2,24,0.651367,0.395996,0.726074,24,-14.8125,16.8125,98,48,54,0,47,-3,-6,-22,-28,-98,-22,0.335938,-0.585938,0.65625,-86.0625,-100.188,72.875,70,60,109
"10",6,24,81,16,-6,-3,-38,-59,0.550781,0.118164,0.709961,50.6875,-13.3125,11.75,98,47,55,31,64,22,11,5,-79,70,47,0.583496,-0.595215,0.568359,-74.75,-67.6875,42.9375,66,59,112
"11",23,28,-14,-3,0,20,26,15,0.589355,0.151367,0.602539,26.875,-10.4375,-0.25,99,47,55,-23,0,-15,-5,-17,-87,56,13,0.482422,-0.660156,0.537598,-95.9375,-40.9375,37.875,64,59,114
