"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.564941","X.0.12793","X0.678223","X.130.5","X.52.375","X.26.6875","X90","X99","X81","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.164062","X.0.140625","X1.01172","X3.875","X.1.3125","X2.4375","X85","X96","X75"
"1",0,0,0,0,0,0,0,0,-0.650879,-0.225098,0.897461,-63.3125,-104.75,-24.625,88,95,80,0,0,0,0,0,0,0,0,-0.17334,-0.296875,1.06885,-18.6875,15.25,7,85,97,75
"2",0,0,0,0,0,0,0,0,-0.216309,0.0571289,1.05811,-105.188,-162.812,6.9375,87,90,80,0,0,0,0,0,0,0,0,-0.208984,-0.307129,1.06543,35.25,23.4375,17.75,85,98,75
"3",14,-21,-5,0,-10,-79,6,93,0.493164,-0.696777,1.07275,-127.125,-84.9375,-2.6875,80,79,81,7,-1,4,9,1,-2,57,30,-0.42627,0.0678711,0.763184,85.5625,-21.5,17.6875,88,99,76
"4",-36,6,-17,-32,-9,19,8,-20,0.411133,-0.604492,1.09766,43.625,-71.0625,-28.5625,80,76,81,42,23,3,-4,-4,-11,23,35,-0.52002,0.0683594,0.901855,117.188,-116.812,43.8125,91,95,77
"5",-16,-5,1,-2,2,-15,-10,-7,0.512207,-0.219238,0.905273,6.25,-57.25,-26.6875,81,71,81,-12,-4,-13,-14,-8,-11,2,-49,-0.34375,0.0673828,1.00146,154.125,-144.438,40.4375,92,93,77
"6",63,7,-6,-11,-10,-8,-9,7,0.510742,-0.241699,0.940918,-8.875,-69.375,-8.5625,81,68,81,2,5,3,6,-1,-1,-6,2,0.432129,0.461426,0.908203,168.125,-106.062,24.0625,99,81,77
"7",10,-5,-22,-14,-11,-3,22,11,0.429688,-0.303711,0.910156,7.1875,-67.1875,-4.0625,80,64,82,-15,-11,6,2,0,-7,-14,-3,0.508789,0.553223,1.01367,1.1875,-57.125,63,101,76,78
"8",-27,-1,-3,7,2,-5,-18,-29,0.513672,-0.302246,0.812012,12.0625,-48.5,-14.9375,81,60,82,-14,-6,-2,-3,0,5,-5,-12,0.710938,0.146973,1.021,-15.3125,-56.6875,64.75,101,72,79
"9",2,0,-4,-7,-5,10,-32,-19,0.501953,-0.317383,0.760254,13.5625,-30.75,-13.4375,81,59,82,2,-2,-2,1,-2,3,16,-15,0.796875,0.24707,1.17676,-2.25,-78.1875,24.75,100,66,79
"10",6,10,12,-1,1,1,-2,-7,0.48877,-0.294434,0.703125,10.9375,-15.6875,-19.4375,81,57,82,-4,8,-4,-9,-3,-6,-13,-9,0.754395,0.410156,1.21094,-48.25,-107.938,28.75,99,62,79
"11",-3,2,2,0,5,3,1,-2,0.509277,-0.259766,0.723633,7.8125,-15.375,-15.25,81,56,82,-7,6,-7,-7,-13,11,23,17,0.911621,0.32373,1.05566,-136.812,-167.812,81.8125,96,52,80
"12",5,-12,-5,-7,-3,3,4,-9,0.523926,-0.256836,0.793945,-3.625,-10.1875,-0.75,81,56,82,35,11,12,23,16,-30,35,0,0.59668,0.0844727,0.619629,-154.062,-180,129.438,88,41,84
"13",-10,1,1,-4,-3,0,1,-10,0.522949,-0.244629,0.851562,-4.5,-6.8125,7.375,81,56,82,15,1,-1,0,22,-1,-30,22,0.442383,-0.0922852,0.30957,-88.4375,-133.75,126.062,82,36,89
"14",-7,7,9,-9,-5,6,14,-14,0.516113,-0.20459,0.878418,-6.5625,-2.4375,6.5,81,56,82,6,-5,4,2,68,19,15,15,0.430176,0.0146484,0.0517578,-55.3125,-48.625,100.812,78,34,93
"15",-10,-1,1,-3,-4,-12,-6,-17,0.509277,-0.219727,0.906738,7.9375,3.75,8.9375,81,56,82,27,8,2,6,2,48,-28,-8,-0.0717773,-0.101562,0.498047,-58.1875,19,19.0625,74,36,95
"16",4,1,2,10,3,2,1,-7,0.586914,-0.14209,0.803711,1.375,19.3125,-1.1875,82,57,82,90,45,6,4,-5,-23,-2,50,0.00927734,0.0849609,0.0493164,101.5,147.375,6.3125,78,41,93
"17",37,-5,0,3,1,-5,1,-11,0.501953,-0.308105,0.791016,12.6875,22.9375,1.875,82,58,82,32,-95,-38,-19,-3,27,25,-35,0.00830078,0.353027,0.600586,120.625,246.938,-55.375,82,50,90
"18",6,2,-3,-2,-2,-7,-9,-13,0.48877,-0.293457,0.77002,-1.5,18.5625,10.5,82,59,82,-44,-12,38,33,66,-1,22,-11,0.875977,-0.476074,1.10498,188.125,307.125,-71.1875,89,68,86
"19",24,-3,1,3,3,-1,27,6,0.484375,-0.262207,0.811035,-13,2,5.125,81,60,82,61,-94,7,20,-18,62,59,16,-0.479492,0.650391,1.85742,28.1875,208.375,-53.3125,93,83,84
"20",-4,-3,-3,-3,-3,2,-14,-19,0.475098,-0.265137,0.849121,-9.375,-2.3125,5.4375,81,60,83,-15,0,5,-2,-1,-34,-18,15,0.695801,-0.19873,1.91016,61.9375,26.625,-63.3125,93,85,83
"21",-7,-5,-5,-6,-4,-10,-8,7,0.493652,-0.261719,0.864746,-10.1875,11.3125,10.0625,81,60,83,-11,9,-12,6,1,3,-10,1,0.486328,-0.0424805,1.48486,27,-32.8125,-14.9375,94,82,82
