"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.564941","X.0.12793","X0.678223","X.130.5","X.52.375","X.26.6875","X90","X99","X81","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.164062","X.0.140625","X1.01172","X3.875","X.1.3125","X2.4375","X85","X96","X75"
"22",15,4,7,-1,0,-3,-8,2,0.486328,-0.300781,0.87793,-11.1875,21.0625,11.625,80,61,83,-12,-3,-1,12,35,43,7,-1,0.35791,-0.0556641,1.31055,-2.25,-89.125,-11,94,79,82
"23",2,2,0,3,1,0,1,9,0.458008,-0.298828,0.894043,-1.25,19.8125,2.1875,80,63,83,-5,-4,-5,9,-26,-24,-9,3,0.344727,0.492676,1.18945,80.625,-157.312,27.375,96,71,81
"24",-8,-4,4,-6,-6,-4,-7,-16,0.422363,-0.325195,0.904297,-1.3125,12.4375,0.125,80,63,83,0,13,12,8,4,36,4,0,0.265137,0.314941,0.85791,29.375,-195.938,100.875,96,63,82
"25",-10,-2,1,2,0,-6,-17,-3,0.431152,-0.287109,0.895508,-1.3125,4.6875,0,80,64,83,2,2,-4,-1,2,1,0,0,1.13428,0.522461,0.678711,-24.5625,-230.812,164.688,94,48,85
"26",-19,-1,-2,3,-1,1,14,22,0.465332,-0.259766,0.890137,-6.375,2.8125,-1.3125,80,64,83,-9,-7,-5,-4,50,-26,-18,-14,0.375977,0.0864258,-0.308105,-0.8125,-237.625,187.938,91,38,90
"27",-2,-4,4,4,5,-4,5,0,0.398926,-0.287109,0.861328,-2.375,-8,4.0625,80,64,83,-10,-9,-11,-12,-11,4,0,-11,0.62793,0.0292969,0.385254,-20.75,-197.812,152.312,81,26,101
"28",-9,-2,-2,-1,0,-2,0,3,0.378418,-0.25293,0.843262,-6.9375,-13.625,6.0625,80,64,83,4,3,4,-9,-24,-26,-23,-14,0.208008,-0.0957031,0.23584,7.375,-121.688,83.625,70,21,113
"29",-11,8,-2,0,-2,1,10,-4,0.401855,-0.324707,0.851074,-15.8125,-5.6875,15.125,79,63,83,-11,1,9,12,20,-11,-11,-7,-0.72168,-0.22998,0.126465,5.0625,-40.8125,34.9375,66,21,117
"30",13,4,-1,1,0,-3,-14,5,0.422852,-0.314941,0.98291,-3.8125,1.3125,19.9375,79,64,84,-5,-3,3,2,-33,-8,-13,-18,0.530762,-0.0483398,0.682617,46.375,73.5625,-48,71,23,113
"31",-15,-3,-2,-9,-8,5,18,7,0.471191,-0.177734,0.821777,9.625,11.875,6.3125,79,65,84,46,-11,-10,-6,-14,-7,16,12,-0.757324,-0.193359,-0.0864258,40.6875,127.125,-119.688,78,25,106
"32",-16,-9,-16,-3,0,0,5,-7,0.57373,-0.513672,0.799805,-1.6875,24.3125,8.25,79,65,84,-20,0,4,-2,19,30,0,-45,-0.227539,-0.11377,0.566406,46.5625,229.875,-216.25,91,35,93
"33",-14,-6,-2,-2,-1,1,-2,12,0.48877,-0.566895,0.85498,2.1875,21.375,6.25,79,66,84,-7,-38,3,16,38,63,-16,-3,0.430664,0.367676,0.793457,33.375,320.438,-244.312,96,48,87
"34",-11,1,-3,-1,0,-3,-5,-5,0.338379,-0.355469,0.88623,-1.75,1.9375,-21.375,79,66,84,-10,6,-6,-5,16,79,7,3,0.730957,0.992676,1.07715,49.125,207.062,-203,101,69,82
"35",-12,3,-1,2,-1,22,-6,-11,0.348633,-0.319336,0.847656,0.0625,4.25,-24,79,66,83,0,-24,-13,-31,-20,22,31,5,0.210449,0.501465,1.35303,0.875,-29.9375,-22.5,101,73,80
"36",-8,-4,2,2,3,3,4,-2,0.355957,-0.276855,0.802734,23.625,30.75,-19.25,79,67,82,7,-25,-1,10,29,-4,-10,12,0.610352,0.425781,1.08252,-19.5625,-85.5,12.125,101,69,80
"37",2,2,-2,1,1,3,-3,3,0.365723,-0.234863,0.747559,40.1875,102.188,0.9375,81,71,81,0,24,5,4,7,-30,-27,-81,0.366699,0.332031,0.822266,-48.75,-68.9375,27.1875,100,65,80
"38",0,5,9,-5,1,0,1,-3,0.326172,-0.215332,0.800293,38.5625,142.062,7.5,82,76,81,6,2,-1,4,10,-35,-2,-16,0.0292969,0.220215,0.648926,-61.0625,2.875,13.1875,98,64,80
"39",2,8,12,-5,1,-2,0,-2,0.216309,-0.281738,0.888672,40.0625,198.875,16.375,83,86,80,9,13,-2,-3,0,-8,8,-26,0.0854492,0.342285,0.627441,-35,58.125,-18.375,97,68,80
"40",-2,-4,0,2,-2,-2,-4,1,-0.0292969,-0.29248,0.918945,58.5,205.562,7.5,84,94,79,6,5,-2,0,0,3,-2,12,0.208496,0.248047,0.674805,-40.875,100,-49.4375,97,72,80
"41",-10,-10,-21,-7,-5,0,-1,0,-0.387207,-0.201172,0.908203,24.75,181.875,11.6875,85,106,78,-1,2,3,20,31,1,0,4,0.376465,0.124023,0.807617,-38.6875,155.188,-55.875,96,78,79
"42",-1,9,2,0,2,1,0,-6,-0.62207,-0.0131836,1.13525,0,166.5,10,85,113,78,-2,-6,-6,-7,-16,-4,-11,1,0.378418,0.0893555,0.959961,5.4375,219.5,-63.5625,95,90,79
"43",-16,-13,3,-2,-3,-2,-3,-3,-0.512695,-0.145508,1.021,21.4375,23.9375,12.375,86,117,78,-3,0,-1,4,-1,-23,-13,-3,-0.182617,0.307617,1.10352,-34.1875,192.25,-54.0625,95,99,78
"44",-1,-2,-2,-2,-1,1,1,3,-0.642578,0.0507812,0.647461,22.5,-4.375,-19.6875,87,118,78,1,1,-2,-3,-4,3,-1,-1,-0.582031,0.200684,1.90723,127.188,161.125,3.3125,97,110,79
"45",6,-2,-5,0,-1,0,2,4,-0.533691,-0.194824,0.674805,11.4375,-5,-9.5,87,118,77,0,3,1,-1,2,0,-12,2,-0.484863,0.609863,0.751465,-175.375,16.4375,15.6875,98,112,80
"46",-12,2,7,-5,-1,-2,1,-5,-0.457031,-0.0771484,0.980957,-10.1875,-21.125,10.6875,87,117,77,-2,5,0,-2,-3,0,2,0,-0.353027,-0.102051,0.717285,-140.188,20.5,-5.5625,94,112,80
"47",-1,0,-1,-1,-2,-2,0,0,-0.37793,-0.0703125,0.962402,-12.8125,-17.5625,9.8125,87,116,78,0,-2,-1,1,3,5,-2,1,-0.492676,0.0605469,0.876953,0.6875,14.4375,-7.3125,93,114,80
"48",-9,-1,4,-3,-3,-1,-1,-3,-0.416992,-0.0786133,0.950195,-11,-6.5,-2.1875,87,116,78,-1,-1,0,-1,0,5,2,-1,-0.45166,0.171387,0.944824,30.5,-14.9375,-1.875,93,114,80
"49",2,5,-4,1,-1,0,0,-1,-0.415039,-0.0942383,0.918457,-14.5625,-4.25,-2.125,86,115,78,0,-1,-1,-1,0,0,-2,-1,-0.413574,0.101074,0.959961,2.5625,-11.1875,10.375,94,113,80
"50",-27,4,2,4,2,2,-2,-12,-0.42041,-0.14502,0.942871,-13.25,-2.375,-2.25,86,115,78,1,0,-1,0,3,6,4,0,-0.404297,0.12793,0.988281,16.9375,-3.3125,8.0625,94,113,80
