"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.29834","X0.515137","X1.10693","X178.25","X24","X.60.3125","X98","X103","X77","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.291016","X0.0195312","X0.929199","X3.75","X1.375","X1.9375","X83","X99","X82"
"11",-18,-13,-6,-8,4,-9,25,-14,0.366211,0.585449,0.305664,123.938,-108.375,-63.5,123,64,43,10,14,1,1,-3,-9,18,32,0.336914,-0.700195,0.78418,-134.5,-137.25,40.6875,70,84,101
"12",-5,-2,-1,-1,-5,0,5,11,0.283691,0.62207,0.106445,86.125,-57.875,-47.6875,126,65,41,-17,-84,14,10,10,11,4,-11,0.306152,-0.910645,0.763672,-131.625,-99.125,48.6875,65,81,105
"13",-13,-5,4,9,-8,-31,-104,55,0.202148,0.633301,0.121582,49.3125,-37.125,-46.9375,128,66,40,-19,-5,0,-4,-10,5,1,-36,0.268555,-0.909668,0.711914,-161,-62.125,36.0625,62,81,106
"14",6,1,-13,-10,-19,-14,-70,-35,0.174316,0.675781,0.0952148,25.3125,-45.875,-31.0625,129,68,38,8,-9,-10,-15,-12,-4,-4,30,0.174316,-0.792969,0.553223,-162.312,-48.0625,38.625,57,81,108
"15",-4,1,-2,-6,-2,12,2,0,0.153809,0.480469,0.0112305,-31.625,-40.125,24.5,129,68,37,2,8,14,3,3,10,19,10,0.139648,-0.73291,0.34082,-156.75,-64.8125,50.5625,54,82,110
"16",4,-2,-13,-15,13,6,-33,-51,0.187988,0.26416,-0.0224609,-72.8125,-59.625,88.0625,129,65,36,-16,22,2,-5,-2,-7,-6,18,0.0244141,-0.706543,0.00439453,-131.125,-57.375,34.8125,49,84,112
"17",-13,-5,-2,4,-8,-26,-87,-21,0.312012,-0.198242,-0.0214844,-155.125,-87.5625,204.188,125,54,35,-17,-37,6,7,0,-8,-14,-31,-0.0825195,-0.707031,-0.0703125,-68.125,-14.375,13.1875,46,85,113
"18",-12,-10,5,20,23,-21,71,22,0.542969,-0.0922852,0.298828,-202.438,-69.0625,276.062,118,37,36,-20,-46,-22,-15,-4,1,-6,3,-0.124023,-0.702637,-0.0957031,-49.1875,-27.6875,-6.875,45,85,113
"19",1,-10,-4,-11,9,-6,7,11,0.942383,-0.0146484,0.549316,-188.25,-39.25,290.25,109,27,42,2,9,0,2,-1,1,-1,-51,-0.0488281,-0.631836,-0.204102,-24.625,-47.5625,-33.5625,44,85,114
"20",36,-13,4,-5,-4,-27,-44,68,1.32715,-0.0551758,1.32861,-189.375,123.812,212.375,88,26,59,-3,3,6,7,9,4,-6,22,0.123047,-0.354492,-0.333984,88.0625,-69.1875,-90.8125,44,80,116
"21",56,10,12,22,16,-1,27,-63,1.10938,0.709473,1.48438,-154.312,205.25,121.938,81,35,63,29,8,-3,-10,-9,3,6,-56,0.277344,0.0952148,-0.217773,208.375,-113.5,-160.75,49,72,119
"22",11,12,-10,-36,-34,-4,64,83,1.27881,-0.303223,1.36719,-18.3125,163.312,25.375,81,46,61,7,-48,-15,-9,1,-8,2,21,0.444824,0.264648,-0.0146484,288.375,-101.5,-208.812,53,63,120
"23",1,-17,-3,-3,-15,23,-4,39,1.47998,-0.444824,0.876465,25.1875,47.25,40.1875,81,49,62,34,42,-69,-41,-25,-7,-2,24,0.598145,0.155762,0.45752,337.25,-74.125,-234.25,64,48,119
"24",4,-8,-3,-14,12,8,-25,-1,0.884277,0.0336914,0.568359,25.8125,-30.8125,-4.625,81,46,62,95,63,42,33,16,-6,12,-16,1.02979,0.571289,1.22705,340.125,-46.0625,-222.125,74,40,115
"25",-9,-16,-12,-6,4,24,70,-61,0.705566,-0.00585938,0.600098,18.8125,-30.875,-14.8125,82,45,62,27,47,13,27,16,57,34,21,0.908203,-0.155762,2.10889,355.438,128.562,-188.188,93,42,104
"26",-11,-10,3,6,8,-10,-16,-6,0.596191,-0.226074,0.662109,13.1875,-12.25,-36.8125,83,43,61,33,15,12,-5,-7,18,-21,25,1.28467,0.0170898,2.50781,196.688,125.875,-54.5625,99,48,103
"27",0,-5,1,3,-14,-17,-8,-26,0.583008,-0.288086,0.774902,4,2.4375,-11.25,84,44,60,-2,3,11,2,-1,6,29,44,1.13818,0.550293,1.21924,-23.8125,31.5625,28.625,99,51,104
"28",2,-15,3,-2,1,9,52,10,0.612793,-0.265137,0.790039,-7.125,6.4375,1.125,84,44,60,-4,43,4,-7,-3,5,9,27,0.778809,0.270508,0.569824,-23.375,-17.0625,18.625,97,50,104
"29",-5,6,-8,-13,-12,10,-21,15,0.662598,-0.126465,0.713379,2.6875,2.0625,6.5,83,45,61,49,-53,-12,-14,-6,-11,-10,-46,0.570801,0.0576172,0.478027,-32.5,-14.9375,23.6875,96,49,105
"30",4,10,0,1,2,11,48,95,0.691895,-0.15332,0.692871,8.1875,-3.3125,8.0625,83,45,61,-7,2,0,-9,-1,-1,5,-3,0.520996,0.0942383,0.594238,-20.875,-4.875,22.25,95,48,105
"31",-1,-2,2,1,2,-1,54,64,0.671387,-0.143555,0.715332,9.3125,5.5625,4.875,84,45,61,-33,-10,0,-10,-7,-1,-3,-71,0.570801,0.283203,0.765625,-8.5625,1.0625,5.625,95,49,106
"32",-2,-2,-1,-1,-7,-6,8,-21,0.631836,-0.0810547,0.757324,8.8125,31.125,13.625,84,47,61,-31,5,7,5,3,1,-6,9,0.618164,0.223633,0.867188,0.4375,3,-3.3125,95,49,106
"33",15,-1,0,2,2,-1,-18,-37,0.538086,-0.0556641,0.744629,0.6875,58.1875,39.0625,84,49,62,-7,8,5,4,2,0,2,38,0.628418,0.167969,0.814941,-1.5625,2.875,0.3125,95,49,106
"34",1,0,-2,-2,-2,-2,-11,3,0.556152,-0.0991211,0.703125,12.0625,77.25,134.375,82,55,64,6,-3,1,6,5,-4,-8,-19,0.593262,0.138184,0.720215,-7.0625,1.4375,1,95,50,106
"35",-8,1,-4,-11,-3,-6,-5,-3,0.469727,-0.14502,0.705078,13.875,101.375,192.562,81,60,68,7,2,2,5,3,-2,-13,-6,0.588867,0.130859,0.71582,-11.125,2.1875,0.125,95,50,106
"36",-2,1,4,4,0,1,-23,-13,0.32666,-0.345215,0.87207,36.625,113.188,215.812,79,71,74,-4,-4,-4,0,7,-1,-7,-1,0.520996,0.15332,0.779785,-8.9375,7.5625,-14.6875,94,51,105
"37",-5,-1,1,-1,-2,-1,-13,-17,0.338379,-0.51416,0.960449,17.25,148.125,178.938,79,82,78,3,3,0,-2,5,3,-5,5,0.498047,0.0927734,0.786133,-24.125,-7.1875,-47.25,95,51,104
"38",-2,0,0,-4,-1,-15,-11,-6,0.119141,-0.672363,1.02588,42.4375,151.625,110.75,80,90,79,0,-3,-1,0,-1,3,12,3,0.54834,0.0761719,0.73877,-37.125,10.6875,-118.188,96,52,101
"39",-13,4,-5,-9,-6,-3,-2,-5,0.00341797,-0.59082,0.931152,75,162.312,-18.875,81,99,78,1,3,0,1,1,-4,-5,17,0.552246,0.120117,0.676758,-21,75.8125,-193.625,98,58,95
"40",-2,-16,-23,-15,-6,1,2,-2,-0.210449,-0.375488,0.687012,115.188,201.125,-0.25,83,106,77,-2,-5,-4,-9,-4,3,8,32,0.512207,0.259277,0.762695,-20.875,82.9375,-216.062,99,64,91
"41",-26,1,19,5,2,3,-1,-11,-0.887207,-0.15332,1.19336,179.375,208.438,-27,87,119,75,8,15,1,2,0,1,-7,-31,0.294922,0.365723,0.85498,-52.25,121.75,-196.438,100,74,86
"42",1,10,7,3,0,-1,0,-3,-0.79541,0.168945,1.08203,131.688,56.1875,13.4375,90,123,75,-3,0,-1,-2,-1,-3,-3,-14,0.147461,0.427246,0.907227,-32.4375,142.5,-167.938,100,82,84
"43",0,5,9,1,0,-3,0,-2,-0.666504,0.282715,0.548828,82.625,-12.1875,-32,93,124,74,-1,1,2,1,1,3,6,-8,-0.0429688,0.476074,0.787598,-52,181.812,-50.0625,99,93,83
"44",1,-7,-1,-1,-3,-2,-4,0,-0.555664,0.197754,0.685547,-15.875,-24,-5.25,93,123,74,1,0,-6,-7,-13,1,-1,-1,-0.163574,0.475098,0.958496,-22.9375,199.125,8.375,98,101,84
"45",-4,3,0,-2,-1,2,0,-5,-0.537598,0.10498,0.987305,-46.9375,-27.375,12.375,93,122,74,2,0,3,3,3,18,8,0,-1.19141,0.240234,1.60449,-96.8125,154.312,-56.6875,96,113,85
"46",-1,-1,-3,1,0,-1,0,-4,-0.479004,0.10791,0.939941,-21.875,-15.25,22.875,92,120,75,-3,-1,-2,-5,-7,0,-2,-14,-0.679688,0.172363,1.02197,20.625,-6.5,13.125,96,115,84
"47",-5,1,0,-1,-1,1,-1,-4,-0.493652,0.0654297,0.902344,-26.25,6.4375,21.375,92,120,75,-1,0,2,3,1,7,-2,-3,-0.428711,0.145508,0.772949,-45,5.3125,49.625,96,114,86
"48",2,0,1,1,1,1,-1,-1,-0.486328,-0.0332031,0.880859,-18.75,0.9375,5.0625,91,120,75,1,0,0,1,-3,-3,0,0,-0.196289,0.328613,0.810547,-23.5,41,14.25,96,115,86
"49",3,-3,0,-2,-2,0,0,6,-0.462402,-0.0708008,0.883301,-9.125,-2.0625,-5.3125,91,120,75,-1,0,-1,0,1,6,-4,0,-0.398438,0.245117,0.954102,-35.6875,3.5,1.5,95,116,87
"50",6,6,-2,-1,-1,0,-2,1,-0.50293,-0.0410156,0.890625,8.5,0.625,-8.1875,90,120,75,-1,0,0,-2,-3,-13,-9,-3,-0.542969,0.0249023,0.851074,-3.375,-0.0625,-9.9375,94,116,86
