"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.643066","X.0.433594","X0.785645","X.47.25","X.115.312","X.57.875","X88","X103","X66","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.268066","X.0.266602","X0.975586","X.43.5","X4.3125","X2","X83","X105","X83.1"
"30",1,-1,1,-1,-1,3,2,1,0.806641,-0.242188,0.380371,-49.375,93.5625,-104.5,80,36,82,61,104,12,6,21,18,-34,-2,0.682617,1.03027,0.526855,-86.8125,-140.562,-358.188,98,60,70
"31",7,0,-1,-3,-1,10,-3,3,0.92627,-0.276367,0.425293,-50.6875,135.812,-126.5,83,39,77,-21,-17,14,5,-1,-11,-1,-2,0.522949,0.836914,0.568848,-40.75,-107.25,-230.312,101,59,63
"32",-15,-12,-2,-1,-2,-1,-2,-3,0.705566,-0.255371,0.630859,-33.5,153.75,-119.438,86,47,70,-20,3,-9,-1,-15,-18,-22,-10,0.719238,0.961426,0.525391,-21.1875,-41.5625,-73.8125,103,58,60
"33",3,-10,-14,0,-2,-3,1,13,0.690918,0.0517578,0.760254,10.0625,205.438,-100,89,57,66,2,-21,-8,-8,-14,4,-4,-5,0.708984,0.65332,0.508789,15,20.6875,46.0625,103,58,60
"34",-10,33,-16,-5,-3,1,0,-9,0.418945,0.0629883,0.973633,34.4375,194.562,-73.1875,90,65,64,-9,-12,-1,1,1,-4,18,6,0.602539,0.538086,0.661133,39.4375,23,74.125,104,57,62
"35",-16,-14,-23,-6,4,1,0,-10,0.0703125,0.081543,0.945312,64.375,210.938,-40.9375,93,79,63,-5,-21,-4,-4,-2,1,0,3,0.674805,0.544434,0.658203,44.0625,56,127.25,103,56,66
"36",5,17,9,10,12,8,4,-1,-0.167969,0.239258,0.980469,36.5,162.312,-11.8125,95,90,63,4,0,-2,1,-8,6,-6,5,0.666504,0.513184,0.623047,35,87.5,145.688,102,56,70
"37",12,22,20,-12,-11,-6,-1,-2,-0.288574,0.175293,0.958496,-4.4375,128.312,9.6875,95,95,63,0,-10,-1,1,2,2,1,-2,0.667969,0.38916,0.683594,11.25,107.812,125.688,100,58,74
"38",15,8,9,9,0,-4,2,2,-0.323242,0.103027,1.01416,-24.75,105.438,25.1875,95,99,64,-5,-2,-1,-1,-12,-38,-26,-9,0.514648,0.159668,0.824707,-33.6875,145.312,74.125,97,63,79
"39",-7,-19,-28,-10,2,4,-1,-2,-0.47168,0.187988,0.873047,2.25,72.8125,38.8125,95,105,66,-2,0,0,-2,-13,-7,0,-1,0.297852,0.277344,0.918945,-35.8125,150.062,54.5625,96,69,81
