"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.320801","X.0.0625","X0.831055","X.20.0625","X.73.9375","X.157.188","X88","X67","X73","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.222656","X.0.27832","X1.02441","X.17.375","X4.4375","X2.375","X82","X102","X75"
"1",0,0,0,0,0,0,0,0,0.391602,0.0566406,0.85498,-11.5,-33.125,-119.438,89,64,69,0,0,0,0,0,0,0,0,-0.258301,-0.341797,1.04883,-26.625,10.25,7.1875,81,102,75
"2",0,0,0,0,0,0,0,0,0.428711,0.0634766,0.880371,-12.75,-18.5,-107.438,90,64,67,0,0,0,0,0,0,0,0,-0.258301,-0.553711,1.08936,-28.4375,23.0625,19.75,81,103,75
"3",-2,19,5,5,13,-49,7,30,0.474609,0.241699,0.911621,-37.75,54.8125,-71.1875,90,66,63,0,1,1,-11,-1,3,-25,1,-0.801758,0.0375977,0.844238,34.625,-39.1875,27,82,105,76
"4",30,24,10,22,26,4,-8,10,0.58252,0.154785,0.971191,65.3125,118.312,-62,92,71,62,0,1,5,17,2,-3,-7,0,-0.46582,-0.216309,1.14014,0.3125,-141.75,33.75,83,101,78
"5",-3,2,-4,8,6,13,7,3,-0.0161133,0.132324,1.15771,21.25,40.8125,-20.6875,94,77,61,8,9,9,0,12,10,7,52,-0.158691,-0.16748,1.21045,86.625,-209.5,63.75,84,94,80
"6",15,9,25,5,3,-11,8,41,0.0302734,0.283203,1.11084,43.5,-20.1875,7.8125,95,77,61,-10,-6,-13,-13,-9,3,3,-11,0.403809,-0.00585938,0.895996,48.75,-233.25,113.938,87,76,85
"7",8,11,10,10,4,-15,-3,0,0.144043,0.112793,0.912109,10.0625,12.3125,1.5625,95,78,61,4,5,0,-3,-5,3,35,14,0.458984,-0.0688477,0.775391,37.5625,-207.875,131.062,87,68,88
"8",-10,-6,-16,-51,-6,-23,-6,-8,0.175293,0.102051,0.901367,4.6875,5.75,14.8125,95,78,61,2,9,17,12,-4,-1,-18,-7,0.419922,-0.120605,0.667969,22.8125,-157.125,130.062,86,59,93
"9",-4,-36,-15,-11,-5,-2,-3,-8,0.161133,0.180176,0.996094,-11.5625,-3.1875,17.5625,95,78,62,3,7,15,15,-3,-6,3,-4,0.428223,-0.211914,0.653809,4.5,-116.5,100.938,84,54,96
"10",-2,-10,53,2,-3,3,6,10,0.25293,0.0561523,1.09619,-4.0625,-16.5625,0,94,77,62,-4,-2,1,3,1,-4,-12,1,0.505371,-0.397949,0.733398,0.875,-59.75,55.25,82,51,99
"11",-4,-55,-20,-33,-18,-11,-10,-2,0.325684,0.215332,1.12402,11.75,-11.6875,-12.9375,95,77,62,-2,-5,-1,-2,6,-13,-16,0,0.706055,-0.367188,0.785156,-0.875,-9.8125,13.9375,81,50,101
"12",7,8,-21,3,-3,-3,0,3,0.149414,0.271484,1.16504,38.875,0.9375,-21.5625,95,77,61,-1,1,0,3,0,7,-6,-4,0.760742,-0.31543,0.774902,-6,-6.5,16.75,80,50,101
"13",4,-13,-14,0,-3,-2,-1,3,0.227539,0.263672,1.16357,62.1875,-15.125,-25.125,97,77,61,0,4,3,2,8,5,8,-3,0.899902,-0.208984,0.626953,4.25,-18.25,41.5625,79,49,103
"14",-29,5,41,-15,-5,-6,-7,-17,0.299805,0.30127,1.04932,96.9375,-35.0625,-22,98,76,60,-7,-8,-2,0,2,30,-1,-7,0.614258,-0.506348,0.555176,-21,-15.9375,34.125,78,49,104
"15",23,-21,-6,14,8,5,4,11,0.308594,0.512207,0.797363,96.8125,-40.25,26.0625,102,73,60,-5,-4,-6,-8,1,-28,-6,-7,0.804199,-0.231934,0.698242,-50.375,-12.9375,-10.1875,78,48,104
"16",62,18,-42,-23,-14,-8,-10,-2,0.441895,0.536621,0.512695,60.375,-43.375,77.0625,104,69,61,7,9,-4,-2,-2,-3,3,2,0.537109,-0.516602,0.709473,17.1875,-12.125,9.0625,77,48,104
"17",-40,-12,-6,-2,-2,4,-19,-45,0.464844,0.335449,0.499023,35.9375,-2.3125,116.375,104,66,63,3,2,6,11,12,12,-8,13,0.669434,-0.204102,0.666992,18.5,-7.75,-4.375,78,47,105
"18",-22,40,43,1,-9,-4,0,-20,0.473633,0.263184,0.564941,-36.625,95.9375,46,103,66,66,-3,-6,-5,-6,-4,-1,-3,-3,0.597656,-0.358887,0.754395,-22.1875,-4.125,-1.6875,77,47,105
"19",38,-96,37,49,103,22,2,24,0.224609,-0.232422,0.76709,-38.125,220.375,-86.25,102,74,66,0,-4,0,-2,-19,-5,-3,-9,0.640625,-0.296875,0.763672,-57.1875,-1.3125,-32.75,77,47,104
"20",-49,30,-116,-38,-31,-16,-23,-32,-0.541504,0.638672,1.18652,22.875,-97.125,53.8125,102,100,58,-7,-3,1,0,1,-7,1,13,0.663574,-0.365234,0.726074,-100.5,-8.6875,-55.25,75,46,103
"21",-75,-58,-48,-33,-9,-2,-4,-27,0.0380859,0.504883,0.85498,52.75,-143.812,180.625,103,88,60,56,20,0,-4,12,6,-17,-4,0.844727,-0.276855,0.674316,-79.3125,41.0625,-76.75,75,45,100
"22",-35,-43,49,-1,-10,-35,-1,-29,0.251465,0.380859,0.611328,64.875,-98,157.25,105,81,62,-5,-1,1,0,8,-17,-25,24,0.592773,-0.508789,0.61084,-118.25,132.188,-84.25,75,48,95
"23",33,40,-26,-20,-1,-4,-5,23,0.358887,0.240234,0.519531,24.1875,68.6875,6.375,105,79,64,2,0,-3,-20,-9,72,29,4,0.467773,-0.330078,0.647949,25.0625,177,-11.25,77,53,93
"24",-4,-28,14,-4,2,7,-4,-5,0.239746,0.304688,0.520508,-11.25,90.625,-27.5625,105,82,64,-2,-3,-5,1,101,58,24,0,0.0327148,0.0898438,0.71582,-4.1875,216.5,68.875,78,66,91
"25",13,5,16,-15,-11,-8,-12,5,0.142578,0.506836,0.813477,-27,49.875,1.0625,104,86,65,-2,-7,-7,8,70,51,7,-1,0.0224609,-0.139648,0.768066,-32.0625,201.938,117.5,77,75,91
"26",-5,33,9,8,2,2,3,5,0.0668945,0.470215,0.842285,-49.9375,57.0625,39.875,104,87,66,3,0,-7,23,-51,23,11,1,0.163574,-0.313965,1.06787,43.875,121.25,160.875,78,87,93
"27",3,12,4,4,2,-1,-11,-2,0.175293,0.549805,0.820312,39.4375,106.062,89.9375,104,89,69,9,-3,13,21,27,15,26,45,0.101562,-0.459473,1.23535,77.375,33.3125,158.75,79,92,96
"28",-34,-19,-17,-12,-12,-9,-10,-11,0.00244141,0.578613,0.835449,32.4375,133.562,110,104,91,72,0,10,14,18,-1,39,-7,-14,0.28125,-0.703613,1.35645,-10.5625,-136.062,101.812,80,89,100
"29",-2,-13,-2,7,4,-4,-4,-2,-0.120117,0.380371,0.741699,-40.4375,154.688,66.75,105,97,77,-14,-14,-3,0,3,-46,-3,-17,0.34375,-0.900879,0.966309,-93.375,-205.625,-4.8125,77,79,103
"30",-8,-17,-16,-2,-3,-2,-5,-12,-0.306641,0.450195,0.932617,-37.125,127.938,93.9375,104,101,81,-5,-5,-7,-9,9,20,-7,-32,0.224121,-0.791504,0.753906,-113.25,-133.062,-73.3125,75,72,103
"31",-5,6,-3,1,1,2,0,0,-0.430176,0.535645,0.923828,-41.1875,101.562,80.6875,104,104,84,1,1,2,-3,-1,-32,-2,-5,0.270996,-0.506836,0.646973,-75.625,23,-102,73,68,101
"32",-1,-9,-4,-8,-4,-2,0,-7,-0.484375,0.404297,0.97998,-121.688,49.5,56.5,102,106,87,-1,0,-6,-13,-7,22,-9,-9,-0.0712891,-0.37207,0.588867,-0.75,98.375,-88.6875,73,70,99
"33",3,-6,17,-4,0,3,-8,-9,-0.378418,0.266113,0.980957,-104.688,23.75,54.8125,100,106,88,-5,-17,0,-12,29,11,-22,-5,-0.00585938,-0.0957031,0.670898,25.8125,136.562,-31.5625,75,75,95
"34",-3,-12,-2,0,-1,9,3,3,-0.730957,0.265625,0.963867,-102.562,-15.875,35.625,97,106,89,4,8,6,11,1,-19,-3,3,0.0146484,-0.0649414,0.852539,27.5,128.875,-5.625,76,79,94
"35",-7,-7,-9,1,1,-2,0,-3,-0.315918,0.293457,0.766113,-109.812,-39.5,3.125,95,105,89,-2,-1,-5,-12,-21,-10,10,-4,0.254395,-0.486816,1.05713,52.3125,64.375,32.4375,77,84,93
"36",2,-5,-10,-5,-6,-8,-4,48,-0.297852,-0.17334,1.10596,-50.25,-2.0625,18.125,92,104,90,-3,-1,-2,-6,-10,-5,7,-1,0.213379,-0.419434,1.08936,32.9375,12.5625,1.1875,78,85,93
"37",-5,-3,3,-1,-1,2,10,-32,-0.125,0.329102,1.16504,21,-6.875,1.8125,93,103,90,3,1,-3,-3,-14,-23,-9,0,0.193848,-0.523926,1.04297,34.5625,0.25,-35.0625,78,84,93
"38",14,5,-4,-1,-1,-1,2,-3,-0.170898,0.0625,1.07178,-32.875,2.3125,-1.9375,93,103,90,-1,0,1,-4,4,13,10,-18,0.200684,-0.439941,0.91748,7.3125,48.375,-79.5625,79,84,90
"39",-6,5,-2,-2,-2,2,5,-8,-0.274902,0.0151367,0.958984,20.5,2.3125,4.25,92,103,90,2,-1,-2,-1,-6,-1,-4,7,0.176758,-0.365723,0.83252,0.3125,79.875,-86.8125,79,85,88
"40",-3,-12,-9,-3,1,5,-6,-15,-0.268066,0.117188,0.961426,20.4375,3.8125,6.1875,93,103,90,-2,-2,3,0,8,0,-1,6,-0.0605469,-0.352539,0.918945,-12.3125,108,-102.25,79,88,84
"41",1,0,-4,0,0,-4,-4,-2,-0.223145,0.142578,0.969238,-8.5625,0.875,5.8125,93,103,90,-1,-1,-1,-4,-20,-33,5,-1,0.0078125,-0.339844,1.02393,8,95.5625,-91.5625,79,91,82
"42",0,-2,-3,-1,0,2,5,-9,-0.237793,0.115234,0.970215,-11,-1.4375,4.3125,93,103,90,2,-1,-2,-2,13,7,3,5,-0.20166,-0.229492,0.957031,57.4375,87.625,-68.9375,80,94,79
