"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.322266","X0.0224609","X0.976074","X.3.375","X.1.8125","X0.375","X90","X106","X76","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.197266","X.0.239258","X1.0293","X3.125","X.0.4375","X.3.6875","X86","X97","X82"
"13",15,-3,-3,-2,0,-8,-17,18,-0.216309,-0.00341797,0.978516,2.0625,-1.0625,4.5,89,102,76,-36,25,23,40,29,10,-4,0,0.599609,-0.227051,0.81543,-55.6875,-176.875,139.062,87,58,104
"14",-23,-12,-7,-6,-2,-1,-13,-24,-0.224121,-0.0302734,0.989258,2.5625,-1.4375,3,89,102,76,-26,-12,-10,-11,-15,2,2,-7,0.684082,-0.248047,0.673828,-61.375,-159.062,122.875,84,52,108
"15",-21,-8,-3,-3,-3,-4,-10,-7,-0.204102,0.00976562,0.985352,-0.4375,-2.1875,1.5,89,102,76,41,2,-10,0,3,-12,2,-13,0.562012,-0.209473,0.554199,-38.875,-101.625,70.5625,80,46,113
"16",-10,-4,-2,-2,-4,-6,10,27,-0.210449,-0.000488281,1.01318,-2.5,0.25,-1.25,89,102,76,23,-54,0,4,-4,-42,-32,0,0.508789,-0.209473,0.556152,-26.375,-71.5625,39.25,78,44,115
"17",-8,-1,-1,-2,-1,-22,-10,-9,-0.281738,0.0561523,0.994629,-3.8125,-1.6875,-7.125,89,102,76,20,10,-7,-12,-67,0,0,-32,0.429199,-0.168945,0.404297,-38.375,-49.8125,-30.6875,76,41,115
"18",8,1,-2,-4,18,7,1,1,-0.235352,-0.0332031,1.03076,-14.375,-5.4375,-14,89,102,76,12,33,2,-6,-11,26,8,-4,0.627441,-0.430664,0.519043,55,109.625,-46.5625,78,43,113
"19",1,-6,-6,-24,-26,-10,-3,-1,-0.287598,-0.00146484,1.03271,-15.5625,-11.9375,-22,88,102,75,-13,15,-11,-11,-20,-6,-13,-48,0.174805,-0.139648,0.644531,124.562,129.688,-152.062,83,47,109
"20",-4,14,8,-3,-10,-7,-6,-6,-0.265137,-0.097168,0.972168,-79.0625,-51.8125,-16.5625,87,100,75,-1,8,-2,-4,-11,-5,-5,-22,0.505371,-0.244629,0.913574,2,84.125,-107.062,87,52,103
"21",2,14,0,-4,1,-5,-3,1,-0.115723,-0.184082,0.95752,-50.6875,-44,-9.125,86,98,75,-23,-1,-10,-17,2,3,5,-24,0.551758,0.0805664,0.812012,68.375,69.4375,-77.3125,90,54,101
"22",0,-18,-6,-8,-14,-19,-1,-2,-0.16748,-0.161133,0.947266,-2.9375,-41.875,-12.6875,85,96,74,-7,2,3,2,-2,0,-3,-30,0.595215,-0.0205078,0.923828,20.4375,75.125,-69.25,92,59,99
"23",-1,1,-1,-6,1,5,1,-1,-0.0595703,-0.220215,0.980957,-32.4375,-39.9375,-16.0625,85,94,74,-8,11,-2,0,2,3,-19,10,0.492188,-0.0219727,0.996094,45.25,52.5,-60.5,93,62,98
"24",-1,-4,1,3,3,22,2,19,0.0483398,-0.213379,0.980469,-35.3125,-34.0625,-13.75,83,91,74,63,47,38,23,49,72,15,4,0.539551,0.18457,1.08203,32.4375,44.8125,-47.625,95,65,96
"25",1,1,2,6,0,-1,4,-1,0.166992,-0.318848,0.945312,-30.125,-28.5,-10.5625,82,89,74,-22,15,22,21,1,-82,12,26,0.274902,0.335938,1.09131,32.1875,41.875,-41.75,96,67,95
