"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.577148","X.0.283691","X1.19189","X136.062","X.64.25","X.35.75","X87","X114","X71","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.148438","X.0.161621","X1.05518","X2.1875","X.4.9375","X.2.625","X87","X94","X79"
"23",-7,-2,-2,2,4,6,-17,-27,0.735352,-0.254883,0.698242,9.5625,-6.9375,16.1875,81,43,64,4,-35,-11,7,1,9,-16,-44,1.00244,-0.167969,1.45557,69.9375,141,46.3125,99,56,101
"24",0,-1,4,2,4,8,-10,19,0.72998,-0.252441,0.664062,6.625,-6.8125,7.6875,81,43,64,-11,8,4,-7,-5,-17,3,61,0.737793,0.141602,0.762207,-61.5625,-2.875,29,97,56,103
"25",-5,-4,-4,-3,-1,-4,13,64,0.697754,-0.250977,0.644043,-3.9375,9.25,7.375,80,43,64,28,-40,-9,5,0,-2,-10,-54,0.474121,0.249023,0.623535,-43.6875,-19.75,58.6875,96,54,104
"26",-5,-2,2,6,-1,1,7,0,0.658691,-0.206543,0.693359,-8.75,21,8.125,80,45,65,-11,-11,7,-5,0,4,10,43,0.378418,0.0849609,0.693359,-28.4375,-26.9375,9.1875,94,53,105
"27",-2,-4,-4,-3,-2,0,-4,-11,0.631836,-0.222168,0.722656,2.4375,26.125,18.8125,80,46,65,0,9,11,19,5,-3,8,49,0.4375,0.0727539,0.772461,-10.875,-10.0625,-12.375,94,53,104
"28",14,0,-1,-2,0,-1,-1,-7,0.628906,-0.18457,0.67334,0.125,26.3125,37.1875,80,47,65,3,5,22,7,9,-1,-10,-52,0.586426,0.147949,0.787598,0.75,-2.625,-33.75,94,53,103
"29",29,6,9,13,16,-2,0,-2,0.621094,-0.216309,0.671387,0.875,54.125,103.375,79,51,67,-2,17,12,12,9,2,-7,54,0.630859,0.133789,0.777344,0.1875,-5.1875,-27.375,95,53,103
"30",10,4,2,4,6,3,-6,-3,0.536621,-0.178711,0.728027,4.75,93,148.875,77,59,71,10,5,5,9,4,2,3,25,0.595703,0.16748,0.779785,5.8125,-1.5625,-10.125,95,53,102
"31",-7,-4,-3,-3,-4,-1,0,-3,0.356934,-0.358398,0.771484,11.625,96.4375,158.75,76,65,73,8,-1,-5,-16,-4,-5,-1,11,0.549805,0.165039,0.796875,5.6875,-2.5625,-11.6875,96,53,102
"32",0,0,-2,-1,-1,-2,3,-6,0.397461,-0.471191,0.865234,11.5625,134.812,192,76,76,76,1,0,-3,2,2,-6,-3,-5,0.546875,0.137695,0.810059,-3.0625,-6.375,-18.625,96,53,101
"33",0,2,-4,-10,-13,3,-12,1,0.210938,-0.521973,0.880859,40.8125,153.375,145.125,76,84,78,-4,-2,-2,-4,-6,-4,-10,-3,0.515137,0.0839844,0.773438,-12.875,4.125,-47.0625,96,54,100
"34",2,-1,2,3,4,-4,-3,1,-0.191406,-0.561523,0.796875,-0.75,202,97,76,97,78,-1,-3,-4,0,3,4,5,-7,0.527344,0.0927734,0.73584,-16.5625,22.3125,-84.375,97,55,99
"35",-1,-4,-1,0,-1,-3,0,-1,-0.618164,-0.69043,0.808594,-69.25,154.125,10.8125,75,104,77,-28,0,5,5,4,22,10,-1,0.560059,0.123047,0.757812,-13,45,-144.188,98,59,95
"36",4,7,-3,-2,-3,-2,-1,0,-0.484863,-0.925293,1.38281,43.25,96.875,40.1875,74,110,76,0,0,-3,0,-2,-8,-6,-87,0.514648,0.135742,0.770996,-11.3125,64.75,-191.5,99,63,91
"37",3,12,-1,2,1,0,1,1,-0.688965,-0.331055,0.678223,153.562,56.8125,-30.3125,77,114,75,8,-1,-1,2,0,0,-4,14,0.219727,0.350586,0.821289,-15.0625,92.625,-177.688,101,72,87
"38",4,-10,-4,-2,-3,-3,-2,-1,-0.527344,-0.181641,0.612305,125.188,13.5625,-43.75,79,114,74,0,1,3,4,0,-1,1,27,0.321777,0.384766,0.858887,-24.0625,106,-194.312,101,79,84
"39",-3,-6,4,0,0,-2,-2,-3,-0.509766,-0.104492,0.773926,17.5,0.75,-29.8125,81,114,73,14,-1,0,2,0,-2,-2,-15,0.0756836,0.419434,0.897949,3.125,146.125,-145.75,101,90,81
"40",0,-5,-1,-1,-1,-2,-3,-1,-0.463379,-0.350586,1.03613,-27.4375,-2.875,-8.625,80,114,73,-3,1,1,1,2,2,-3,5,-0.304199,0.430664,0.828613,56.875,156.938,-104.375,102,98,80
"41",0,-4,0,-2,-1,1,-2,0,-0.383789,-0.327148,0.945312,27,6.9375,-8.5,80,114,73,0,1,0,0,-1,12,3,-2,-0.539551,0.963379,1.4458,96.625,131.062,-67.5,105,107,80
"42",-1,-2,-2,-1,1,-2,-2,-1,-0.403809,-0.281738,0.874512,38.5625,12.6875,-9.8125,81,114,72,-1,0,-1,0,2,17,8,0,-0.406738,1.11084,0.79834,7.875,24.3125,7.125,106,109,81
"43",-1,-1,1,1,-2,-2,-2,0,-0.427246,-0.204102,0.84082,2.0625,-5.25,3.625,82,114,72,-1,0,0,1,1,-1,0,0,-0.717773,0.294434,0.616699,-149.438,51.4375,8.3125,103,111,82
"44",0,-4,-2,-2,-1,-2,-2,-4,-0.436523,-0.291016,0.87207,-21.375,-12.8125,5.6875,81,114,72,-1,-3,-3,-1,-1,-5,-1,-1,-0.431152,0.248047,0.744141,-43.8125,7.375,37.9375,101,112,83
"45",-1,-1,-2,-3,0,-2,-2,-2,-0.422852,-0.304688,0.920898,-13.75,-7.5,2.1875,81,113,73,1,0,0,-1,2,11,2,-2,-0.438965,0.301758,0.899414,0.25,-21.5,29.8125,101,111,83
"46",2,0,-1,-1,0,0,-1,-1,-0.412109,-0.3125,0.911133,-3.9375,-1.875,-0.25,81,113,73,-2,-2,0,-3,-3,-12,-3,0,-0.283691,0.387207,1.01074,24.0625,-14.25,9,102,109,84
"47",0,-1,0,-3,0,-1,0,-3,-0.402832,-0.308594,0.875,0.75,3.5,-4.0625,81,113,72,-2,-1,1,-1,0,0,0,-1,-0.318848,0.449219,0.926758,8.75,3.4375,10.8125,102,109,84
"48",-2,-2,-1,0,-1,-1,-2,-2,-0.419922,-0.30127,0.887695,0.0625,-0.6875,-3.6875,80,113,72,-1,0,-1,-1,-1,-3,-3,-2,-0.349609,0.412109,0.858398,-10.8125,11.875,6.75,102,109,84
"49",1,0,-2,-2,-3,-1,-1,0,-0.422363,-0.301758,0.895996,-2.125,-1.75,-1.5,80,113,72,-1,0,0,1,-1,-1,0,-1,-0.363281,0.380371,0.864746,-14,4,0.8125,102,109,84
"50",-1,-2,-1,-1,-1,-2,-2,0,-0.416992,-0.300781,0.882324,-1.875,-1.125,-0.3125,80,113,72,-1,-2,0,-1,-2,-2,-3,-1,-0.375977,0.369629,0.882812,-2.4375,-4.0625,-0.9375,101,109,84
