"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.379883","X0.0136719","X0.785645","X.10.5625","X.3.625","X.7.4375","X88","X101","X77","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.272461","X.0.074707","X1.0752","X.1.125","X.4.25","X.2.625","X86","X100","X80"
"13",-5,-14,-23,-25,-6,3,4,-1,-0.396973,-0.134277,1.01807,-73.125,-34.875,-12.9375,86,104,75,1,17,1,-3,-33,-19,47,48,0.456055,-0.204102,0.396484,-34.5625,-0.125,-22.625,79,42,112
"14",-3,-14,-3,-1,-4,-1,2,-2,-0.223145,-0.188477,0.94043,-69,-57.625,-11.5,84,102,75,-14,-4,-9,-14,-1,-14,26,29,0.310059,-0.433105,0.505371,143.25,150.625,-167.062,84,48,108
"15",1,-2,-1,8,-2,-1,-1,0,-0.110352,-0.261719,1.00732,-29.8125,-42.6875,-16.5,83,99,74,-10,-15,-22,1,15,1,-4,13,0.227539,0.38623,0.882324,-24.875,122.062,-89.5,88,52,104
"16",0,-2,-2,1,5,0,-2,0,-0.0634766,-0.230469,0.995605,-16.875,-29.125,-10.0625,82,97,74,2,-5,-6,-18,-25,-20,-8,-7,0.327148,0.325684,0.895508,78.5,101.375,4.625,89,59,103
"17",1,0,13,15,11,5,0,2,0.0380859,-0.257812,0.977539,-47,-20.6875,-12.125,81,95,74,-1,83,29,6,-15,36,-10,-1,0.435059,0.160156,0.960449,49,92.125,42.875,90,63,104
"18",1,13,2,-6,-4,-1,0,0,0.0170898,-0.330566,0.973633,-6.1875,-13.625,-18.4375,81,94,74,5,-43,-13,-40,-33,-16,-6,18,0.525391,-0.0791016,0.972656,65.5,61.25,20.25,91,67,105
"19",1,11,0,-1,-4,-3,-2,-3,0.0517578,-0.321777,0.932129,-3,-13.9375,-18.75,81,93,74,8,-128,-106,36,-1,-96,3,-36,0.553711,-0.0810547,1.08496,101.5,64.1875,3.375,93,69,105
"20",-2,2,4,-2,2,0,1,-1,-0.0102539,-0.427246,0.935547,-18.375,-8,-12.3125,80,92,73,32,28,-59,39,7,5,30,25,0.727539,0.0390625,1.13574,52.6875,14.125,-3,95,70,105
"21",0,1,-1,-2,-2,-3,-2,0,-0.0732422,-0.345215,0.960449,-21.375,-4.625,-14.1875,79,91,73,-13,18,16,-22,-11,4,-16,3,0.963867,0.226562,0.898926,66.0625,-14.4375,74.25,95,68,106
"22",2,10,6,2,-1,-2,-3,1,-0.236328,-0.286621,0.995605,-12.1875,-9.1875,-12,79,91,73,-15,-41,5,-1,7,-8,1,-5,0.731934,0.0107422,0.620117,32.4375,-40.0625,87.0625,95,63,109
