"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.153809","X.0.000976562","X1.21094","X.73.8125","X.127.625","X.6.9375","X92","X97","X88","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.26709","X.0.243164","X0.989746","X.1.75","X0.8125","X0.8","X83","X101","X72"
"12",4,-29,14,8,-2,-3,3,3,0.261719,0.209961,0.966309,16.375,-32.4375,35.75,94,69,65,0,1,0,11,7,-5,-6,-1,0.585449,-0.65332,0.927734,-24.6875,-71.875,36.8125,76,57,105
"13",8,17,5,-35,-7,-5,-1,4,0.432129,0.25293,1.0752,12.5,-8.8125,39,94,69,66,0,-6,2,10,22,8,22,11,0.888672,-0.485352,0.417969,260.125,-22.25,-113.312,80,54,104
"14",7,-2,5,39,4,4,4,6,0.380859,0.189941,1.16309,29.1875,55.0625,-12.0625,95,71,66,-6,2,-4,-3,-4,-46,-11,-9,0.459473,-0.414062,0.658203,-150.688,18.75,39.25,79,54,104
"15",-3,-21,-22,-47,-51,-11,-3,-2,0.338867,0.114258,1.07178,76.8125,97.375,-65.9375,96,76,65,-6,-5,-3,-7,-3,47,-2,-6,0.168457,-0.499023,0.790039,-67.9375,6,20.5,76,56,105
"16",-10,45,30,42,38,14,17,-17,0.229492,0.158203,1.01514,80.8125,106.188,-96.5625,98,81,64,-3,-3,-14,-11,-28,-20,-9,2,0.515137,-0.315918,0.806641,-23,-33.8125,-39.625,76,54,104
"17",-5,-36,-56,-47,-70,-33,-25,-22,0.229492,0.116211,1.06299,107.125,62.4375,-110.188,100,85,63,0,-1,1,3,-3,-2,4,6,0.537598,-0.40332,0.745605,-44.9375,-61.3125,-55.375,75,52,104
"18",13,53,-14,10,8,8,16,7,0.192383,0.533203,0.804199,81.875,-29,-83.5625,103,87,60,-4,-1,0,-8,-3,-21,-6,-4,0.785156,-0.461426,0.640625,-62,-48.75,-63,74,47,103
"19",2,-10,-32,41,28,11,0,7,0.116211,0.705566,0.708984,94.1875,-97.0625,27.1875,106,83,58,-1,-1,0,-1,3,10,-2,5,0.816895,-0.455566,0.540039,-52.4375,-9.125,-49.9375,73,45,102
"20",-81,-32,33,-26,-13,-12,-25,-29,0.185547,0.737793,0.57373,54.5625,-106,98.3125,108,78,59,-4,-2,-2,-1,-3,0,-22,-9,0.984863,-0.379395,0.507324,-59.9375,33.0625,-24.75,73,44,101
"21",67,32,-5,2,9,15,7,42,0.270996,0.66748,0.501953,52.875,-56.8125,167.5,109,69,61,-8,-6,-6,-8,-10,8,-26,-16,0.883301,-0.45459,0.452637,-76.1875,86.375,-44.0625,73,45,99
"22",7,-62,-64,-9,-12,7,3,17,0.492676,0.483398,0.47168,-8.125,1,158.438,108,64,63,-2,-1,2,5,-6,-11,1,-4,0.673828,-0.375488,0.584473,-64.6875,141.375,-18.9375,73,50,95
"23",1,-29,-62,-37,-43,-18,16,25,0.193359,0.306641,0.654785,-12.25,125,69.9375,105,65,68,2,0,-1,-1,3,-36,-31,-23,0.19043,-0.35791,0.594727,22.8125,206.938,14.3125,75,59,91
"24",-27,64,-60,-44,3,-12,-15,-4,0.15918,-0.415039,0.809082,-63.5,180,-94.75,104,72,69,40,6,-5,8,43,-13,-29,34,0.00146484,-0.147949,0.55957,12.1875,210.438,39.4375,76,68,90
"25",45,44,-28,-1,-23,-2,-7,5,0.185547,0.329102,0.957031,-3.125,147.688,-264.812,103,86,66,-35,-8,-13,-35,5,-32,58,-3,-0.120605,-0.0219727,0.76123,-10.125,175.75,73.125,76,76,89
"26",2,-19,-15,-59,-17,-27,-4,-29,-0.375,0.743164,1.0835,-71.25,77.5625,-206.625,102,94,62,-20,1,-2,2,-20,-18,8,2,0.0395508,-0.390625,1.10742,12.3125,106.875,134.062,75,86,90
"27",-29,4,10,-5,-3,-10,-18,-18,-0.503418,0.992676,1.31934,-9.125,-46.25,-1.375,102,97,60,-20,-2,-21,-19,-33,14,11,-3,0.206055,-0.454102,1.34326,68.4375,-10.25,135.562,78,92,94
"28",-9,20,0,-18,1,-15,4,11,-0.169434,0.821289,1.14746,17.125,-97.375,110.688,102,92,61,1,20,2,-51,2,-21,-46,11,0.437988,-0.827148,1.39209,52.0625,-97.0625,110.75,79,91,96
"29",13,-5,-50,-47,-14,11,-12,-21,0.344238,0.37793,0.766602,54.375,-59.0625,87.25,103,85,63,-11,-10,-4,-4,-29,5,20,12,0.42041,-1.06738,1.12402,-73.5,-231.5,32.3125,77,81,100
"30",17,-8,36,5,1,1,1,1,0.368652,0.217773,0.618164,30.5625,10.0625,9.625,104,83,64,-22,-7,-4,4,-1,-21,2,-14,0.330566,-0.858887,0.852051,-106.812,-204.938,-54.8125,75,73,102
"31",5,1,-9,20,8,1,5,5,0.078125,0.399902,0.706543,-7,28.0625,-20.875,104,85,64,1,7,-4,-4,-13,-19,-18,9,0.0419922,-0.453613,0.535156,-40.3125,-1.25,-101.312,73,66,100
"32",14,-55,2,-11,-6,-1,-3,72,0.0375977,0.500977,0.813965,-14.125,18.0625,7.625,104,86,64,-14,3,-4,-6,9,22,-18,6,-0.119141,-0.184082,0.471191,-31.625,85.375,-53.8125,74,68,98
"33",4,83,6,-4,-4,-1,40,49,0.113281,0.572754,0.759766,-13.25,25.9375,53.875,104,86,65,-14,-4,-8,-14,-8,-7,9,-12,0.131836,-0.109375,0.683105,2.3125,84.5625,-14.625,75,72,96
"34",-19,10,7,4,3,9,-3,-5,0.154297,0.672363,0.820801,15.3125,63.25,111.75,104,86,68,2,1,2,-4,3,-19,10,-4,0.36084,-0.414062,0.827637,30.4375,40.0625,-9.9375,75,74,95
"35",6,-12,0,-5,-4,-1,-5,-3,0.200684,0.510742,0.845215,-20.5625,86.125,133.312,104,86,71,0,0,1,-5,10,7,-7,0,0.335938,-0.59375,0.973633,22.1875,-4.375,-27.0625,76,73,95
"36",8,-9,24,9,8,-6,-13,6,0.106445,0.325195,0.841797,18.1875,146.062,96.875,103,89,76,2,0,1,-1,-13,-14,5,2,0.349609,-0.515137,0.88916,32.6875,15,-23.0625,77,73,94
"37",-28,23,40,-17,-4,5,-3,-14,0.0180664,0.334961,0.894531,-25.0625,130.938,65.3125,103,94,80,6,-1,2,5,8,15,-12,5,0.34668,-0.421387,0.814941,19.25,33.25,-35.75,78,73,93
"38",-9,3,9,-4,-3,-3,-8,-17,-0.183105,0.29541,0.864258,-3.3125,133.688,76.125,103,98,82,4,-2,0,1,-8,1,-6,14,0.35498,-0.379883,0.80127,-3.75,56.125,-61.6875,78,74,92
"39",1,-31,-33,-15,-9,-9,1,-1,-0.253418,0.562012,0.945312,-57.875,95.4375,68.5,103,101,86,-1,-1,1,2,-5,7,0,-2,0.37793,-0.340332,0.770508,12.25,108.062,-88.9375,79,77,88
"40",-12,4,36,12,8,6,4,2,-0.470215,0.428223,0.811523,-121.188,91.25,69.0625,102,104,88,0,-3,-2,-3,-2,-3,-4,0,0.15918,-0.361816,0.891113,30.0625,141.312,-90.8125,80,82,84
"41",28,0,-19,2,2,5,2,5,-0.456543,0.318848,0.900391,-135.812,38.75,46.1875,98,106,90,-2,0,0,-2,-2,1,-6,-3,0.125977,-0.273438,0.981445,29.25,133.75,-97,81,86,81
"42",-10,3,-9,-1,0,-1,9,-2,-0.939453,0.122559,1.23438,-113,-25,30.8125,96,106,91,-1,-1,1,10,-5,14,8,2,-0.00878906,-0.152832,1.03369,42.75,102,-75.8125,82,91,78
"43",-10,-5,-7,0,1,-5,-3,-2,-0.216309,0.165527,1.10986,-109.938,-30.8125,3.4375,93,103,91,2,4,0,5,33,25,26,8,-0.204102,-0.17041,1.08643,57.625,87.0625,-63.875,83,95,76
"44",-7,-6,2,-2,-3,-2,-6,-3,-0.219238,-0.108887,1.18457,-7.25,5.125,7,92,103,91,-1,0,1,0,5,-11,-5,-4,-0.304199,-0.283691,1.07666,22.4375,62.6875,-47.5625,84,98,74
"45",-3,0,-3,-1,1,-2,-2,-11,-0.210449,0.126953,0.98291,-9.0625,-1.6875,5.0625,92,103,91,-1,-1,1,1,0,-6,2,0,-0.402832,-0.128418,1.01855,48.5,44.0625,-34.1875,85,101,74
"46",0,-4,-2,-2,1,10,2,-4,-0.241699,0.0180664,0.945312,0.0625,-6,8.125,92,103,91,-2,0,-3,-5,-7,-7,-1,0,-0.375,-0.0991211,1.07471,29.9375,29.0625,-25.625,86,103,73
"47",-2,3,-2,1,-1,29,0,-5,-0.234375,0.125,0.921875,10.8125,-15,20.6875,92,102,91,1,16,4,-1,-7,-6,-2,-6,-0.10498,-0.361328,1.14551,6.25,-14.625,10.4375,86,102,73
"48",0,-1,-1,-1,-1,-7,-3,0,-0.203125,0.0268555,1.02197,-53.8125,-16.5625,11.1875,91,101,92,-2,-5,-2,-4,-5,-9,0,0,-0.0810547,-0.0078125,1.00537,70,2.8125,23.875,87,101,73
"49",-4,0,0,1,-1,-11,-1,-3,-0.185547,-0.03125,1.04297,-31,-9.9375,7.25,91,101,92,-5,-6,-2,-2,-4,-9,-1,-6,-0.212891,-0.162598,1.08398,-78.6875,-1.3125,-3.0625,86,101,73
"50",-1,-4,-5,-3,-4,-5,-5,-2,-0.188477,0.0444336,1.03516,-0.6875,-5.5,2.875,90,100,92,6,39,7,2,-1,-3,11,12,-0.187988,-0.23584,1.02148,13.4375,-2.5625,-4.3125,86,101,73
