"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.153809","X.0.000976562","X1.21094","X.73.8125","X.127.625","X.6.9375","X92","X97","X88","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.26709","X.0.243164","X0.989746","X.1.75","X0.8125","X0.8","X83","X101","X72"
"1",0,0,0,0,0,0,0,0,0.0356445,-0.20459,1.15625,-143,-157.375,-38.0625,89,91,87,0,0,0,0,0,0,0,0,-0.227539,-0.398438,1.13525,-42.3125,17.5625,18.875,82,102,72
"2",0,0,0,0,0,0,0,0,0.14502,-0.343262,1.12744,-124,-160.25,-56.5625,88,88,86,0,0,0,0,0,0,0,0,-0.247559,-0.560547,1.16064,-29.375,23.5,30.25,82,103,72
"3",-2,-4,-1,-9,-9,-37,-17,-13,0.230469,-0.239746,0.885254,4.0625,-114.625,-138.375,87,77,82,-18,-6,-5,2,1,12,-5,-3,-0.756348,0.0737305,0.969727,20.5,-43.6875,25.875,84,104,74
"4",-1,-5,1,0,2,-2,-4,0,0.273438,-0.10791,0.863281,2.75,-93.6875,-158,88,70,78,-5,11,15,19,8,12,32,10,-0.317383,-0.157715,1.29639,27.3125,-175.875,81.1875,85,97,76
"5",2,-4,-6,-34,-4,31,38,8,0.344238,-0.000488281,0.844238,-19.3125,-59,-157.438,90,66,73,-8,-23,-17,-18,-5,8,32,2,-0.0986328,-0.019043,1.27051,58.5625,-203,103.938,86,94,78
"6",-1,-6,-6,11,5,-6,-10,8,0.353027,0.00390625,0.796387,-8.6875,-24.1875,-150.375,91,65,69,-35,-4,-1,-2,1,-10,10,-13,0.364258,0.012207,0.920898,19.5625,-205.938,165.188,87,78,84
"7",20,52,25,52,42,72,8,-23,0.0898438,-0.0185547,0.870605,-65.9375,71.8125,-88.625,92,68,66,11,2,-1,-2,-10,7,-18,1,0.439453,-0.192383,0.807129,-4.75,-177.562,158.875,85,68,90
"8",-5,-13,15,54,9,-16,-4,-3,0.15625,0.390137,1.02295,116.562,85.3125,-54.625,93,72,65,-8,-5,-10,-8,-7,-8,-20,-18,0.383789,-0.26416,0.747559,-13.625,-145.25,141.688,83,63,94
"9",-12,-23,-11,1,13,-21,-3,-2,0.0947266,0.364746,1.22656,-26.25,-15.125,0.9375,95,75,64,2,4,4,-7,-21,-8,20,-7,0.501953,-0.473145,0.791504,-24.9375,-80.3125,86.0625,80,58,99
"10",-3,-9,-13,8,5,-10,-5,-5,0.404297,0.0947266,1.02979,-7.4375,-47.0625,30.125,94,73,64,-7,5,-6,-3,7,8,-27,-36,0.635742,-0.51123,0.846191,-1,-18,53.5,78,58,101
"11",14,-2,19,1,-10,-6,0,8,0.255371,0.133789,0.918457,-5.375,-26.5,16.25,94,71,65,-6,-7,0,3,-8,-22,39,17,0.391113,-0.074707,0.867188,-16.375,-34.5625,75.125,77,58,103
