"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.327637","X.0.19873","X0.791992","X.64.375","X.2.125","X.38.0625","X89","X97","X77","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.308105","X.0.15918","X1.05469","X.8.75","X.3.9375","X.9.9375","X86","X97","X80"
"27",-5,-12,1,-4,-5,-1,-9,-14,0.824219,-0.449707,0.192383,-41.3125,103.562,-82.125,55,28,113,57,33,-5,-6,14,-9,17,96,0.726562,0.63916,-0.0629883,-30,-127.125,-114.688,121,24,50
"28",-2,2,0,1,6,2,4,-3,0.779785,-0.354492,0.172852,-41.6875,137.688,-94.3125,63,26,102,-22,-18,-11,-15,-31,-28,-26,-33,0.807617,0.614746,-0.182617,-27.375,-43,-36.4375,125,25,44
"29",-9,3,39,-16,-4,1,3,-1,0.817871,-0.290527,0.257324,-35.125,177.188,-93.4375,69,28,94,-7,11,1,2,-10,-34,-10,3,0.799316,0.541992,-0.162109,19.75,67.8125,50.3125,124,25,46
"30",7,-6,15,-7,-6,-2,-5,-1,0.805176,-0.247559,0.472656,13.0625,183.312,-32.5,76,35,86,-3,-17,3,9,23,8,8,1,0.804199,0.434082,0.0546875,37.1875,84.75,46.625,121,24,50
"31",-4,-12,33,25,2,-1,-2,-2,0.725586,-0.149902,0.557129,29.625,213.125,-13.3125,79,43,83,-1,-3,-1,-3,-7,-3,1,-10,0.78418,0.358398,0.299316,44,108.938,70.1875,115,25,58
"32",6,-4,-12,-11,0,-4,-1,-5,0.588867,-0.0830078,0.749023,27.375,240.688,-2.375,82,56,80,-3,-7,-1,-1,8,2,0,0,0.821777,0.297363,0.291992,50.125,130.938,78.3125,110,26,65
"33",-12,-5,36,2,5,7,1,-3,0.388672,-0.289551,0.969238,63.5,193.688,1.8125,84,68,78,-1,-2,-2,-5,-21,-5,2,-2,0.821289,0.211426,0.394043,2.875,150.75,55.875,103,31,73
"34",-15,-56,-59,12,14,8,0,2,0.179688,-0.122559,1.08984,39.875,153.188,3.5625,85,75,78,-3,0,1,-1,-3,-12,8,-3,0.758789,0.124512,0.523926,-15.125,163.562,31.1875,100,36,77
"35",35,73,13,15,-2,-4,1,2,0.260254,-0.108398,1.13525,66.8125,118.375,-4.5625,87,82,77,-1,0,-3,-7,2,5,-2,0,0.71875,0.116699,0.62793,-38,188.25,16.375,97,46,80
"36",-17,-3,-4,3,0,-1,-4,-11,-0.187012,0.050293,1.0166,45.4375,101.375,11.6875,89,89,77,0,-1,-4,3,13,-13,-4,0,0.628906,0.0517578,0.797363,-34.5,228.562,14.8125,95,54,82
"37",-8,1,6,0,5,-4,-5,-7,-0.187012,0.0942383,0.962402,16.6875,66.125,11.0625,89,92,78,1,-5,-1,-24,-37,-36,-1,1,0.375488,0.195801,0.893555,-85.5,210.688,-14.5,92,68,83
"38",-12,14,19,5,3,2,0,-5,-0.250977,-0.0375977,0.978516,16,44.3125,14.5625,90,95,78,0,-3,6,17,2,36,5,2,0.110352,-0.0615234,1.18066,-66.375,143.5,-4.9375,90,78,83
"39",11,6,-3,-5,-1,0,-2,10,-0.131348,0.0307617,0.98584,-17.5,25.0625,6,90,97,78,-1,-2,2,3,18,3,5,3,0.17334,-0.0644531,1.15967,-9.1875,111.125,-9.1875,89,83,83
"40",-4,-8,-9,-1,-1,-2,2,-14,0.050293,-0.183105,1.01123,12.25,-11,8.8125,89,97,78,-3,-7,-8,1,-2,-8,-4,-3,-0.0566406,-0.128418,1.12158,-21.875,90.625,-36.75,89,89,82
"41",5,15,12,0,-1,-8,5,2,-0.0107422,0.0893555,1.06885,-37.25,8.375,5.0625,89,97,78,-5,-9,-1,-9,-8,-15,-27,-8,-0.367676,-0.0844727,1.03418,8.8125,71,-34,89,92,82
"42",-22,1,-2,-1,-1,-4,-5,-15,-0.140137,-0.0112305,0.994629,8.75,13.3125,1.75,89,98,78,1,3,-2,-8,-17,-10,-1,1,-0.208496,-0.0356445,1.01904,10.4375,32.875,-16.9375,89,96,81
"43",0,-5,-8,-1,0,14,4,0,-0.0737305,0.027832,0.996094,4.8125,7.25,4.3125,89,98,79,-2,-1,0,-2,35,-22,-8,-6,-0.200195,-0.0263672,0.956055,1.5,27.0625,-9.625,89,97,81
"44",-4,5,7,2,1,2,-3,-12,-0.178223,0.0219727,0.941895,-6.4375,1.25,3.3125,89,98,79,1,-5,-3,-2,-49,-14,7,5,0.0166016,-0.104004,1.11182,-21,0.125,11.375,89,97,81
"45",-16,-24,-10,-8,-5,2,-17,7,-0.128418,-0.0234375,1.00879,11.0625,-2.75,-0.1875,89,98,79,0,1,2,4,9,30,3,0,-0.0708008,0.0498047,1.12207,6.625,7.125,3.4375,89,97,81
"46",12,-4,-2,-4,-1,3,4,13,-0.109375,-0.00585938,1.03906,8.6875,-1.0625,1.4375,90,98,79,-1,-1,2,0,-2,-2,0,1,-0.159668,-0.0576172,0.953125,-16.5,12.0625,3.625,88,98,81
"47",3,-1,-2,0,0,0,1,-8,-0.131836,-0.0170898,1.00879,-9.3125,-0.4375,0.9375,89,98,79,-2,-3,-2,-3,-7,-2,3,0,-0.143066,-0.0668945,0.999023,-11.625,3.6875,-3.5,88,98,81
"48",-5,-6,-3,1,-2,-5,-3,-1,-0.126465,-0.0107422,1,-1.125,-1.1875,2.375,89,98,79,0,1,-2,-2,6,5,-1,0,-0.157227,-0.0908203,1.00879,0.75,0.6875,-3.75,88,98,81
"49",-1,-7,-3,-5,-2,0,6,7,-0.135742,0.00830078,1.01367,0.0625,-1.75,0.3125,89,97,79,-3,-3,-2,-4,-17,-23,7,2,-0.131836,-0.0551758,1.00098,5.125,-2.25,-1.8125,88,98,81
"50",-1,1,1,-1,-1,0,-3,-3,-0.127441,-0.00585938,1.0376,0.625,-0.75,0,89,97,79,-1,0,-3,-2,3,2,2,1,-0.136719,-0.0517578,1.03125,-6,-4.5625,-3.5,88,98,81
