"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.302734","X.0.279785","X1.14941","X.51.5625","X.222.438","X.152","X88","X88.1","X60","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.262695","X.0.270996","X1.00293","X.13.3125","X4.3125","X4.5","X82","X104","X83"
"35",-5,-3,7,-3,-1,-6,4,-2,-0.25293,0.184082,1.18164,-35.125,-6.3125,4.3125,93,109,68,-1,3,6,6,-25,2,11,-6,-0.109375,0.223145,0.978027,-33.625,124.188,15.1875,92,85,82
"36",1,-2,-1,-2,-3,-6,2,-1,-0.308594,0.105469,0.908691,-24,-9.75,1.625,93,108,69,0,2,-1,-4,-8,2,43,2,-0.269531,0.110352,1.03564,-61.3125,103,9.25,91,90,82
"37",-2,1,-2,0,-2,3,3,-2,-0.337891,0.0107422,0.976562,-29.3125,-6.375,6,92,108,69,-3,0,-4,1,4,-9,6,-1,-0.338867,0.0532227,0.882324,-18.5625,78.3125,3.5625,90,96,83
"38",4,4,1,0,-1,1,2,-2,-0.272949,0.065918,1.0542,19.3125,0.0625,8.3125,92,108,69,0,2,0,2,8,-2,-3,-5,-0.382812,-0.0463867,0.894043,-21.9375,63.4375,4,89,100,83
"39",-6,-2,-1,-3,-3,24,1,-2,-0.289551,0.123047,0.97998,11.4375,2.375,2.9375,92,108,69,-2,-3,-2,-2,-25,-9,-16,-3,-0.407227,0.0600586,0.875977,-11.8125,44.1875,1.0625,89,103,83
"40",-2,-3,-3,-2,0,-29,-2,2,-0.318359,0.0644531,0.946289,4.9375,0.0625,2.9375,93,108,69,-1,0,-1,-3,3,-13,-17,-6,-0.442383,-0.0478516,0.932129,-12.0625,3.1875,6.875,89,105,83
"41",-3,0,-2,-2,0,-27,-3,0,-0.299805,0.0737305,0.96875,4.4375,-0.75,1.4375,93,108,69,-1,-2,-5,-4,6,-5,1,-3,-0.266113,0.0214844,1.05566,7.5,-8.25,9.125,89,105,83
"42",0,-1,1,-3,2,15,0,-1,-0.305664,0.0854492,0.966309,-2.4375,-0.9375,1.875,93,108,69,-3,0,-1,-3,-8,-16,-5,-5,-0.257324,0.0571289,1.08984,-61.75,14.125,6.25,88,105,84
"43",0,0,0,-1,1,-1,-2,2,-0.302246,0.0742188,0.973633,-5.375,-2.25,1.5,92,107,69,8,17,2,2,5,-5,-8,-4,-0.241211,-0.0664062,1.04883,-50.1875,15.1875,5.5625,87,105,84
"44",4,-2,-3,0,-2,7,0,0,-0.301758,0.0869141,0.981934,-1.9375,-1.5625,0,92,107,69,-3,-20,-2,-2,-4,2,-2,-2,-0.227539,-0.0742188,1.01514,-15.875,9.9375,-7.0625,86,106,83
"45",-2,-1,-2,-2,-1,-9,-3,-1,-0.29248,0.0712891,0.981445,1.25,-0.3125,-0.75,92,107,69,5,16,-3,-3,-8,-8,-13,-2,-0.255371,-0.09375,0.966309,2.3125,3.3125,-6.75,86,106,83
"46",-2,1,0,0,1,12,-2,-4,-0.296875,0.0756836,0.977051,1.3125,-0.25,-0.75,92,107,69,-2,12,2,2,1,-1,3,-1,-0.274902,-0.097168,0.927734,-1.625,-2.25,-3.875,86,106,83
"47",-1,0,0,-3,0,7,3,-1,-0.293945,0.0585938,0.991211,1.3125,0.25,-1.25,92,107,69,-6,-25,-3,-2,6,7,-2,-1,-0.279297,-0.130371,1.04248,-4.6875,-4.25,-3.8125,86,106,83
"48",0,0,-1,-1,-1,5,-1,-3,-0.297852,0.0854492,0.975586,3.5,-0.125,-1.375,92,107,69,5,4,4,2,-2,-3,-4,-2,-0.271484,-0.109375,1.03955,2,-1.5,-1.125,86,105,83
"49",0,-1,-1,0,-2,0,0,0,-0.302246,0.0654297,0.974121,0.375,-0.5,-0.875,92,107,69,-1,5,1,-1,4,12,8,2,-0.266602,-0.0820312,1.00391,-2.3125,0.875,-1,86,105,83
"50",-1,-2,-1,-1,-2,6,3,2,-0.305664,0.0795898,0.978027,0.875,-0.375,-0.625,92,107,69,2,-6,0,-1,-5,0,-2,0,-0.257324,-0.0952148,0.975586,-1.5,-0.25,-0.375,86,105,83
