"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.346191","X.0.434082","X1.07373","X.54.75","X.93.4375","X.15.8125","X85","X84","X79","X0","X0.1","X0.2","X0.3","X0.4","X0.6","X0.7","X0.8","X.0.251465","X.0.270996","X1.07861","X.4.25","X0.5","X3.9375","X84","X99","X76"
"14",10,3,-4,-5,-4,2,6,4,0.405762,-0.296387,0.90625,-8.625,9.9375,-3.0625,82,67,81,-8,1,-9,-28,-10,-28,-17,0,0.213379,0.324219,1.05127,113.375,205.688,28.25,79,87,90
"15",-4,-3,-2,0,-3,-3,3,1,0.391602,-0.28125,0.918457,1.875,12.0625,-3.3125,82,67,80,-26,-6,-7,-36,-26,-65,4,-22,0.0146484,-0.81543,1.92871,-120.312,-12.25,25.9375,78,91,91
"16",17,8,0,-6,-3,-2,-3,9,0.314453,-0.242188,0.936523,0,8.1875,-6.9375,82,68,80,-12,-13,-20,7,-37,-2,5,-10,0.34082,-0.703125,1.35547,99.9375,-131.812,-104.188,81,82,89
"17",-16,-7,0,4,2,0,-6,0,0.332031,-0.222656,0.92334,-2.9375,3.8125,-2.1875,82,68,80,-5,1,-18,-70,-19,-14,-3,-6,0.518066,-0.0200195,1.09717,69.4375,-195.562,-75.375,83,70,88
"18",0,0,-3,3,-2,1,2,-5,0.348633,-0.198242,0.916992,-6.4375,1.625,-2.25,82,68,80,0,0,10,24,-14,-19,0,-1,0.84375,-0.127441,0.873535,-5.125,-253.938,6.1875,83,56,89
"19",12,-1,-2,0,-1,-6,0,1,0.330566,-0.210449,0.880371,-6.6875,-5.5625,1.6875,82,68,80,-16,-4,-4,-5,-28,-16,7,-13,0.911621,-0.0800781,0.702637,20.9375,-266.812,39.625,82,46,91
"20",-7,-6,-5,-14,-9,0,-7,-7,0.341797,-0.232422,0.887207,-12.25,-4.75,8.875,82,68,80,6,-31,-18,-13,6,-15,-5,0,0.77002,-0.16748,0.477051,21.8125,-250.312,53.25,77,32,97
"21",7,-2,-2,3,3,-2,4,1,0.375488,-0.306641,0.921387,-20.1875,0.125,13.9375,81,68,80,4,11,5,4,12,19,-5,-14,0.645508,-0.22168,0.406738,17.75,-203.5,40.4375,73,25,103
"22",-3,3,2,6,3,6,-13,-7,0.373535,-0.251465,1.00146,-1,9.8125,6.25,81,69,81,-10,-4,-13,-7,28,-6,0,8,0.353027,-0.349121,0.306152,7.0625,-71.0625,10.4375,67,21,111
"23",-4,-9,-3,6,4,-1,-5,-4,0.381348,-0.26416,0.97168,5.0625,19,2.4375,81,69,81,-38,-9,0,-25,-16,4,-14,-13,0.0449219,-0.157715,0.195801,55,30.4375,-32.5,69,22,109
"24",20,3,-1,-6,-1,-16,-7,7,0.393555,-0.310059,0.865723,11.125,18.375,-3.6875,81,70,80,-71,-9,6,-4,-5,16,-26,-26,0.141602,0.0297852,0.271973,59.8125,90.375,-80.5,76,23,104
"25",-1,0,2,0,0,8,7,3,0.359375,-0.32666,0.845215,4.25,13.1875,2.25,81,71,80,-33,0,9,9,9,14,-6,-9,0.146484,0.0444336,0.42334,78.75,162.688,-165.938,88,29,92
"26",-2,3,-5,-5,-3,1,0,0,0.355469,-0.376465,0.914551,-8.125,5.375,6.1875,81,71,81,-50,-10,-12,-7,-16,12,24,-43,0.453125,0.0942383,0.650391,52.8125,205.5,-208.688,95,38,86
"27",4,-3,-2,-3,1,24,21,36,0.28125,-0.351074,0.943359,-8.3125,0.375,-4.5625,81,71,81,-22,20,-9,-6,1,-7,2,-15,1.1748,0.307617,1.09863,28.875,290.688,-252.188,99,51,81
"28",12,14,6,3,7,7,42,-68,0.236816,-0.26416,0.915039,-0.25,3.875,-14.875,81,71,80,-28,13,-6,-18,-108,-36,-31,-12,0.972656,0.606445,1.40283,-28.1875,301.25,-220.188,100,73,77
"29",-1,-4,-3,-2,0,-5,-4,21,0.260254,-0.270508,0.860352,16.75,20.8125,-10.1875,81,72,80,12,13,3,11,34,-3,17,22,-0.166016,0.728516,1.60303,-32.1875,113.625,-75.375,101,87,75
"30",0,-1,1,0,-1,-22,-2,7,0.360352,-0.245117,0.780762,44.1875,71.5,6.875,82,75,79,7,3,-7,2,15,-7,8,8,0.286133,0.550781,1.31641,-41.3125,-69.75,17.5,101,84,74
"31",-14,-16,1,-9,-6,-12,-4,1,0.354004,-0.152344,0.830566,41.3125,122.625,17.8125,83,79,79,-2,-4,-4,-5,4,9,1,-7,0.401855,0.276367,1.14062,-10,-98.5,27,100,80,74
"32",-9,7,-1,-4,0,5,-3,-2,0.175293,-0.274902,0.928223,54.25,187.312,12.125,84,89,79,-9,-9,-2,0,3,-21,7,-12,0.106445,0.439941,0.864746,-8.8125,-89.3125,48.375,100,76,74
"33",1,3,-13,3,2,1,0,1,-0.274902,0.0112305,0.963379,55.9375,191.188,12.75,86,101,78,2,42,-6,-9,-5,-5,-27,-46,0.0576172,0.287598,0.681641,-70.125,-38.1875,20.8125,98,73,74
"34",1,-4,2,-13,-8,-2,-1,1,-0.350586,0.046875,0.973145,-33,182.312,11.8125,86,108,78,-12,-15,-2,2,-2,-16,-12,-42,0.0136719,0.227051,0.635742,-30.5625,35.125,0.6875,97,74,75
"35",-3,-1,-6,-2,-3,-2,-2,0,-0.960938,-0.555664,1.90625,8.375,56.1875,-8.125,85,116,77,-1,1,1,1,1,7,23,6,0.104004,0.315918,0.598145,-22.125,78.5,-10.6875,97,77,75
"36",6,-4,3,-1,1,0,-2,1,-0.52832,0.000976562,0.947754,153.125,4.6875,-20.875,86,116,77,-1,4,-1,7,6,1,-2,0,0.349121,0.15918,0.823242,-49.4375,159.812,-19.9375,95,84,75
"37",-5,13,2,2,3,2,0,-2,-0.391113,0.0546875,0.63623,10.8125,5.75,-0.4375,88,116,76,-2,-4,-5,-7,-7,3,-9,3,0.444824,0.00830078,0.939453,-32.75,200.875,-27.1875,94,92,76
"38",-2,-5,-6,1,-2,-1,-1,2,-0.534668,-0.11084,0.765137,-42.1875,-0.5625,10.75,88,117,77,-4,-2,1,-1,-3,-18,-10,-5,-0.148926,0.0791016,1.16553,27.6875,227.438,-35.25,94,106,76
"39",1,-13,-9,-12,-5,-3,-1,5,-0.479492,-0.166016,1.03174,-21.5,-19.75,20.875,87,116,77,-2,-2,0,1,-1,-9,-4,-3,-1.11182,0.401855,2.62109,104.125,129.125,-20.3125,97,113,77
"40",4,1,3,-1,-1,1,1,1,-0.404785,-0.0454102,1.00928,1.25,-3.25,2.3125,87,115,78,-2,-1,-2,-1,0,2,3,0,-0.444824,0.0429688,0.859375,-198,6.875,28.875,96,112,78
