"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.261719","X.0.157227","X1.24365","X.27.625","X.168.812","X.96.375","X88","X84","X65","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.407227","X.0.380371","X0.95752","X15.25","X5.6875","X17.1875","X81","X108","X86"
"27",-34,-8,-32,4,-1,-60,-39,-86,0.697754,0.115234,0.675293,5.75,5.1875,6.875,95,42,55,-22,-15,3,4,-29,-8,-84,-58,0.0561523,-0.294922,0.898438,-183.375,36.6875,-88.3125,79,41,110
"28",-13,-8,0,-4,2,8,3,-23,0.713379,0.097168,0.65918,0.5625,4,-0.25,95,42,55,-1,-15,0,8,5,-16,-12,-17,0.876953,-1,0.829102,12.9375,-24.875,-6.3125,75,42,112
"29",15,56,33,-7,1,9,6,15,0.680664,0.12207,0.654785,-7.1875,10.75,5,95,43,55,-12,-24,-24,-14,-4,13,-44,-29,0.597168,-0.413574,0.733887,-86.3125,7.1875,8.5,75,42,111
"30",21,30,-24,-5,0,10,3,16,0.673828,0.140137,0.620605,-4.625,21.875,12.5625,95,44,55,5,12,8,5,-3,14,16,-6,0.847168,-0.401855,0.559082,1.1875,31.1875,-0.8125,75,43,112
"31",-22,-23,-34,-3,2,5,1,-14,0.618164,0.142578,0.588379,-2.125,35.3125,27.25,94,45,56,-2,-1,-2,-2,7,33,-5,-12,0.598633,-0.0678711,0.615234,-16.0625,30.8125,5.0625,75,44,111
"32",-5,2,49,5,-1,-2,8,-4,0.587891,0.185547,0.635254,1.4375,76.125,47.6875,93,48,58,-6,-1,-3,0,-4,9,2,-14,0.659668,-0.39209,0.596191,7.375,8.1875,1.0625,75,45,111
"33",-1,-10,4,5,3,0,-1,-6,0.46875,0.146484,0.719238,-20.875,123,84.6875,91,54,61,-11,-9,-4,-3,2,-20,-6,0,0.626953,-0.286133,0.600586,3,8.5,-0.6875,75,45,111
"34",5,2,1,-4,-4,-6,-9,4,0.480469,-0.00341797,0.84375,-31.4375,147.875,96.5625,89,60,63,-1,-2,-2,-3,18,-7,6,-4,0.637695,-0.390137,0.601562,7.375,14.75,-8.1875,75,46,110
"35",-9,-10,-2,-1,-1,-3,-1,-9,0.464355,-0.121582,0.98291,-7.4375,176.25,91.875,87,70,66,-4,-2,-3,-2,13,0,-10,-4,0.541016,-0.366211,0.55127,7.125,36.6875,-32.9375,77,47,109
"36",-3,-25,-3,0,-5,-4,-1,0,0.18457,-0.282715,1.09668,38.4375,172.75,79.125,87,81,68,-3,-1,-2,0,4,12,0,-7,0.564941,-0.319824,0.577637,7.375,64.25,-49.25,78,48,107
"37",-3,-6,-4,0,0,-3,-3,0,0.00488281,-0.19043,1.06592,64.4375,144.938,64.6875,88,87,69,-2,-2,1,3,-22,9,1,-7,0.468262,-0.285156,0.635742,30.25,116.375,-89,81,52,103
"38",26,12,4,1,1,-3,0,-3,-0.125488,-0.0327148,0.932617,10.875,93.1875,38.9375,89,94,71,0,-1,1,1,-33,-1,-1,1,0.476562,-0.178711,0.72168,36,139.062,-101,83,56,100
"39",12,-6,-6,-5,-4,2,0,13,-0.810059,-0.361328,1.54102,-5.6875,-69.5,64.375,89,97,72,-2,1,-1,-7,-5,1,1,-3,0.354004,-0.12793,0.862305,9.0625,166.312,-104.312,86,65,96
"40",24,5,1,3,2,-11,-17,47,0.321777,0.380371,1.30469,-46.3125,-20.25,-3.5625,89,94,72,0,1,-2,-5,1,-1,1,0,0.322266,0.081543,1.03027,28.3125,162.312,-98.9375,88,74,92
"41",-2,-2,-6,-6,-4,20,12,-15,-0.0966797,-0.458984,1.1001,-16.6875,1.1875,20.75,86,94,73,0,0,-3,-4,1,8,6,2,0.210449,0.0639648,1.11768,17.5625,143.625,-86.125,89,80,90
"42",-8,6,3,1,1,-9,3,-12,-0.147949,-0.165527,1.09961,94.625,8.4375,5.9375,87,94,73,0,-4,-1,-4,-1,-3,-1,0,-0.0454102,0.318848,1.0874,40.3125,121.938,-61,91,88,88
"43",8,-6,-3,-3,-4,3,2,7,-0.0439453,0.0151367,1.01758,37.8125,9.125,-17.75,89,95,72,1,0,-7,-16,-42,-20,-1,-2,-0.0449219,0.211426,1.11523,-1.9375,97.1875,-44.75,91,92,87
"44",-8,-1,0,-2,0,1,-3,-6,-0.102051,0.0195312,0.922852,30.3125,9.6875,-7.3125,90,95,72,-2,1,3,12,23,0,-1,-1,-0.158203,0.138672,1.04688,15.8125,71.1875,-19.875,91,97,87
"45",-9,-3,-1,-2,0,21,-6,-5,-0.0834961,0.12207,0.937988,11.375,-0.375,2.9375,90,95,72,4,0,-1,-4,-7,-3,-9,-1,-0.186035,0.162598,1.00342,10.875,55.5,-12.6875,92,99,87
"46",-11,-3,-3,-2,-2,-15,-1,-8,-0.0371094,0.034668,1.04688,-11.9375,-4.1875,8.1875,90,95,72,4,-1,-2,-2,-1,-2,5,10,-0.381348,0.310059,1.21484,-33.6875,40.6875,-5.125,92,103,86
"47",0,1,0,0,0,13,2,0,-0.0756836,-0.0371094,1.08154,-3.0625,-2.5625,9.625,90,95,72,-3,-3,-2,0,6,9,0,-6,-0.371582,-0.149414,1.24365,-62.4375,-0.875,14.375,90,103,87
"48",-7,-1,0,0,0,4,-3,-3,-0.101562,0.0166016,1.02686,8.25,2.25,-1.8125,90,95,72,6,3,0,-1,3,16,18,-1,-0.314941,0.0717773,1.00635,38.1875,5.25,0.1875,91,103,87
"49",-31,-17,-4,-2,-5,5,-7,-9,-0.109375,0.0297852,1.00684,4.125,3.125,-0.8125,90,95,72,3,-2,1,2,5,5,-15,33,-0.359375,0.0561523,0.984863,3.625,-4.4375,-5.1875,91,103,87
"50",-1,0,1,1,3,-2,-6,-4,-0.0737305,0.0375977,1.00098,-2.375,0.9375,0.4375,90,95,72,-11,-7,-1,-2,-3,-5,-6,-11,-0.251953,0.0200195,1.01074,-1.0625,-1,-1.75,91,103,87
