"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.241211","X0.0273438","X0.932129","X1.5625","X3.4375","X.4.4375","X90","X103","X75","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.210449","X.0.129395","X1.06104","X.8.4375","X.5.25","X2.875","X86","X100","X81"
"16",-2,-2,0,-2,-1,-2,-1,0,-0.271484,0.0385742,0.97168,1.6875,-2.1875,-0.875,90,105,75,-5,38,-11,-3,11,-14,-10,21,1.04297,0.191895,-0.111328,37.4375,-1.9375,-7.6875,138,9,25
"17",1,0,0,0,1,1,0,-1,-0.268066,0.0141602,1.00537,3.625,-0.9375,-0.25,90,104,75,-5,-6,0,-5,12,76,-5,25,1.05225,0.128906,-0.0151367,25.5,7.0625,9.625,139,9,25
"18",-4,-1,-1,0,-3,0,-2,-4,-0.270508,0.0390625,0.979004,0.5625,-1.1875,-0.0625,90,104,75,-4,-4,2,-7,9,29,-6,-7,1.34766,0.202148,0.753418,9.9375,3.3125,29.3125,139,7,25
"19",-1,-5,-2,0,-1,-1,-1,1,-0.260254,0.0239258,0.989258,0.4375,-1.375,0.5625,90,104,75,1,-24,0,2,-1,13,1,0,1.3916,0.259277,0.0683594,6.3125,12.125,41.1875,135,6,29
"20",-5,-5,-1,2,-1,-1,-1,-1,-0.26123,0.0356445,0.995117,1.875,-1.5,0.1875,90,104,75,3,13,5,5,4,-28,-3,-15,0.624512,-0.13623,-0.187012,26.625,53.4375,72.0625,135,2,30
"21",-7,-5,-2,-2,-1,-1,-2,-2,-0.257812,0.0317383,0.98584,-2.625,-1,-0.25,90,104,75,1,-1,4,-2,-1,-24,-3,-2,0.889648,0.00585938,0.00390625,29.5625,90.8125,101.438,81,3,85
"22",0,0,-3,-3,-3,-1,-1,0,-0.255371,0.0380859,1.00195,3.125,-0.1875,0.375,90,104,75,-2,-1,0,1,-1,0,2,2,0.862793,-0.0795898,0.117676,29.9375,143.438,111.562,73,13,94
"23",-8,-7,-2,-1,-1,-3,-1,-1,-0.269043,0.0385742,0.984863,0.5,0.5,-0.625,90,104,75,0,-5,0,-3,5,3,2,0,1.13965,-0.00732422,0.236816,47,175.188,86.5625,74,24,94
"24",-1,1,-1,-2,-1,0,-1,-1,-0.250488,0.0302734,0.988281,3.3125,0.5,-0.5625,91,104,75,0,-1,-1,-1,3,6,0,2,0.800293,-0.0253906,0.398438,48,193.125,71.5625,76,32,93
"25",-21,-8,-3,-4,0,-2,-2,-4,-0.260742,0.0400391,0.972168,2.75,-0.5,-1.3125,91,104,75,-1,0,3,1,-1,-5,-5,-4,0.667969,-0.0957031,0.412109,29.125,184.125,49.125,78,39,92
"26",3,-2,-1,-1,-4,-1,0,2,-0.253418,0.0205078,1.00195,2.1875,-1.5,-0.875,91,104,75,0,2,0,2,-3,14,-3,0,0.647461,-0.194336,0.571777,28.25,178,44.8125,79,51,91
"27",-7,-8,-2,0,0,-1,-1,2,-0.264648,0.0332031,0.979004,-5,-2.3125,-1.1875,91,104,75,-2,-4,-3,4,0,-4,0,-2,0.532227,-0.214355,0.791504,20.3125,186.125,33.6875,81,62,90
"28",8,4,3,1,0,-1,-2,-4,-0.246094,0.0244141,1.00098,0.5625,-2.875,-1.0625,91,104,75,-2,-1,-3,-4,-18,-18,-2,0,0.381348,-0.216797,0.889648,26.75,170.188,9.8125,81,69,89
"29",15,6,0,1,1,-1,1,1,-0.246582,0.0483398,0.976562,-3.125,-2.5,-2,90,104,75,-3,-5,-10,-8,0,12,-2,-2,0.214844,-0.346191,1.05322,10.625,157.5,-23.0625,82,78,88
"30",5,3,-2,-1,-2,-1,0,1,-0.258789,0.027832,0.937988,-3.4375,-4.4375,-3.0625,90,104,75,-2,-3,-3,-1,15,8,0,-1,0.124023,-0.210938,1.13623,24.875,140.875,-21.625,83,83,86
"31",0,-2,-2,-2,0,0,-1,-1,-0.225098,0.0332031,0.987305,1.625,-8.5,-1.5625,90,103,74,-5,-10,-11,-12,-21,-24,-22,-6,-0.143555,-0.334473,1.146,30.625,107.875,-42.3125,84,90,84
"32",-14,-7,-2,1,0,-1,-1,-2,-0.276855,0.0253906,0.937988,-10.375,-10.0625,-1.8125,90,103,74,4,3,3,-3,-14,7,5,2,-0.24707,-0.283691,1.10498,65.625,91.6875,-32.6875,85,93,83
"33",2,0,0,-1,0,-1,0,-1,-0.170898,-0.0683594,1.07275,-4.0625,-11.25,2.375,90,102,74,1,2,2,-1,-6,1,16,3,-0.390625,-0.235352,1.0459,47.125,55.3125,-20.125,86,98,82
"34",-2,-2,-2,0,-1,-1,-2,-2,-0.269531,0.0219727,0.966797,-12.5625,-7.25,1.125,90,102,74,-1,0,2,1,2,12,-6,-4,-0.802246,-0.0566406,1.33691,37.5,-9.25,-27.5,87,100,82
"35",-7,-3,-3,-1,-2,0,-1,-2,-0.161621,-0.019043,1.09912,-7.3125,-8.875,1,89,101,74,0,-3,-3,-5,-4,-6,3,1,-0.0732422,-0.26709,1.04492,32.9375,-3.8125,11.25,88,99,82
"36",-2,1,-1,1,-2,1,-1,-2,-0.231445,0.0483398,1.00781,0.75,0.6875,1.25,90,101,75,1,-1,-1,0,2,5,10,1,-0.192383,0.0830078,1.0166,26.9375,1.8125,-12.4375,89,99,82
"37",-3,-2,-1,-1,1,-1,-1,-4,-0.199219,-0.00488281,1.00195,-5.3125,0.1875,0.9375,89,101,75,0,0,1,0,3,10,-4,-1,-0.226562,-0.0673828,1.02295,-25.6875,3.9375,1.6875,88,99,82
"38",-3,0,-1,-1,0,0,-1,-3,-0.218262,0.03125,0.995117,5.375,1.0625,1.3125,90,101,75,1,1,-2,-1,-1,6,1,1,-0.14502,-0.065918,1.01465,2.75,-1.8125,0.1875,88,99,82
"39",-1,-1,-1,-1,-1,-2,-1,-1,-0.206055,-0.00927734,1.00488,-2.3125,0.0625,-0.25,90,101,75,-1,0,-2,-2,-2,-5,0,-1,-0.125488,-0.0727539,1.04297,-6.375,-7.3125,-3.5,88,99,82
"40",14,4,-1,2,1,-2,-1,-1,-0.215332,0.00244141,1.00293,3.4375,-0.375,0.5625,90,101,75,-1,-1,1,0,1,7,3,-3,-0.15918,-0.0551758,1.04736,-4.8125,-3.625,0.1875,88,98,82
"41",-3,-2,-1,-3,-2,-2,0,-2,-0.203613,0.000976562,1.01709,-2.4375,0.4375,-0.1875,90,101,75,-1,1,-1,-1,-1,-4,-2,1,-0.149902,-0.0473633,1.0332,-1.8125,-0.5,1.125,88,98,82
"42",-2,-1,0,0,-2,-1,-1,-1,-0.207031,0.00488281,1.00049,0.25,0.625,-0.25,90,101,75,0,0,-3,-3,-2,-4,4,0,-0.144043,-0.0317383,1.02002,3.3125,-0.3125,0.375,88,98,82
"43",-5,-3,-2,-2,-2,-1,-1,-1,-0.210449,0.00634766,1.00781,-0.0625,0.1875,-0.6875,90,101,75,-5,-8,-3,-1,-1,9,0,0,-0.149902,-0.0234375,1.02295,0.8125,0.1875,0.125,88,98,82
"44",0,1,1,-1,-1,-1,-1,-2,-0.214355,0,1.00244,-0.0625,0.625,-0.375,90,101,75,0,3,-1,-1,-2,-1,3,0,-0.133789,-0.0527344,1.03223,-0.5,-0.125,-0.5625,88,98,82
"45",-3,-1,-3,-1,1,1,1,-1,-0.215332,-0.00244141,0.998047,-1.25,0.1875,-0.25,90,101,75,3,-2,-4,-5,-4,3,5,5,-0.152344,-0.043457,1.02148,1.3125,0.875,0.0625,88,98,82
"46",-3,-3,-2,0,-1,-1,-3,-1,-0.206543,0.00146484,1,-0.375,0.1875,-0.1875,90,101,75,0,1,1,2,1,1,-4,-3,-0.149902,-0.0410156,1.03271,-2.9375,1.1875,0.25,88,98,82
"47",-3,-2,-3,-1,-1,-1,0,1,-0.216309,-0.00341797,1.00928,0.4375,0.1875,-0.75,90,101,75,1,0,-2,-1,0,3,3,0,-0.152344,-0.0424805,1.02832,-1.625,1.25,-0.125,88,98,82
"48",0,0,-2,-2,1,0,-2,-2,-0.209961,0.00488281,1,0.125,0.625,-0.6875,90,101,75,-3,-3,-1,-1,-4,0,1,-1,-0.143555,-0.0429688,1.0249,-0.5625,0.9375,0.125,88,98,82
"49",-1,0,-1,-1,-3,-1,0,-3,-0.212402,-0.00390625,0.998535,-0.1875,0.5625,-0.875,90,101,75,0,-1,0,1,0,-2,-2,-2,-0.151367,-0.0444336,1.03369,-2.0625,1.3125,-0.625,88,98,82
"50",-1,-1,-1,0,0,-2,-1,-3,-0.212402,0.00488281,0.996094,1.125,0.4375,-0.5625,90,101,75,-4,-2,0,-1,-1,1,-1,0,-0.154297,-0.0454102,1.01953,-1.3125,1.5,0.5625,88,98,82
