"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.252441","X0.578613","X0.888184","X10.375","X.11.125","X0.8125","X103","X102","X90","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.208984","X.0.479004","X0.90332","X5.3125","X.4.1875","X.1.375","X75","X100","X77"
"21",13,-3,13,-1,-1,-3,-8,2,0.902344,0.878418,0.164062,35.9375,17.9375,28.5,128,45,66,-8,-11,-5,-4,-10,24,9,-2,0.390625,-0.705078,-0.116211,-28.3125,1.6875,-31.875,43,55,102
"22",5,5,4,3,4,14,-3,3,1.0835,0.5625,0.232422,-6.4375,-0.1875,7.375,127,43,67,5,5,3,17,-7,-1,10,3,0.452148,-0.720703,-0.0600586,-14.75,17.625,-24.625,42,54,101
"23",-29,15,8,3,-5,3,15,-14,1.05078,0.560059,0.191406,1.125,-20.125,-13,127,43,66,6,-2,-1,1,9,-8,12,12,0.650391,-0.650879,-0.046875,-77.3125,24.875,-38.6875,42,52,101
"24",22,7,-21,-14,-2,-25,-21,16,0.882812,0.513672,0.189941,24.875,-37.9375,-40.125,128,43,65,-5,-1,4,-3,1,8,-5,-3,0.725098,-0.906738,-0.0551758,-78.125,22.375,-11.6875,39,50,100
"25",-31,-1,-29,-8,-8,-7,-8,-18,0.608398,0.588867,0.11377,23.1875,-52.25,-62.125,131,45,63,-3,-9,-6,-8,-14,-4,3,4,0.9375,-0.688965,-0.104004,6.6875,14.625,7.0625,39,49,99
"26",-43,-55,13,7,5,2,-10,1,0.474121,0.473145,-0.125977,14,-43.5,-52.25,132,47,61,-4,-4,-5,-4,-6,-4,3,8,1.00977,-0.786133,-0.129883,-50.5,-5.875,16.5625,39,49,99
"27",27,18,7,0,-2,10,-17,6,0.186523,1.29639,0.0449219,132.938,22.125,43.1875,136,47,62,1,1,1,-1,14,8,0,-2,0.783203,-0.652832,-0.182129,-7.1875,-34.8125,32.5625,38,50,100
"28",35,4,9,11,5,7,27,22,0.538574,0.52002,0.0234375,-123.688,17.3125,28.9375,133,46,62,-7,-3,-3,-2,0,2,7,16,0.602051,-0.701172,-0.169922,-4.5,-40.1875,32.25,37,51,100
"29",-13,3,-6,1,8,7,2,-10,0.577637,0.968262,0.0566406,-24.25,-24.1875,21.0625,133,45,62,4,-2,-4,8,-3,6,50,-9,0.458984,-0.830078,-0.105957,24.5,-32.5,33.5,37,53,101
"30",-20,11,-6,7,6,3,-1,-9,0.725098,0.40918,0.0371094,-146.062,14,49.125,129,43,62,-2,-25,-16,-4,23,-8,-23,-43,0.0366211,-1.0459,-0.10791,173.75,-14.5625,-5.0625,41,55,101
"31",11,-12,-16,3,-1,-11,-6,3,0.577637,0.413086,0.251465,-23.375,32.375,35.875,126,41,64,26,10,-3,-3,-13,-11,6,28,0.35791,0.0869141,-0.0585938,131.562,27.75,24.875,46,55,101
"32",7,28,5,1,2,9,11,-8,0.628418,0.725098,0.130371,8.75,40.1875,43.875,126,40,65,-8,4,1,-6,-24,-33,-15,-5,0.505371,-1.20605,0.043457,-108.438,-18.1875,-42.0625,44,54,101
"33",2,-27,-11,1,-2,25,-20,-11,0.743164,0.483398,0.270996,-39.6875,41.75,19.8125,123,40,67,-1,4,4,4,2,-10,4,5,0.58252,-0.790039,-0.0136719,102.75,1.6875,-24.125,45,53,101
