"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.193359","X0.164062","X0.889648","X.75.75","X.4.1875","X.17.25","X92","X99","X76","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.291992","X.0.106934","X0.881348","X9.9375","X1.625","X.13.75","X84","X99","X82"
"14",-27,-62,-11,-1,6,1,-3,-14,0.929688,-0.470215,0.249023,-66,173.688,-148,66,29,95,-7,-15,2,4,29,0,20,24,0.908203,0.381348,0.23584,-41.3125,-179.438,-128.062,108,28,66
"15",8,-36,10,8,-2,0,0,1,0.813965,-0.348145,0.40918,-41.6875,158.875,-130.562,72,31,87,-12,22,5,0,16,4,-19,-4,0.79541,0.538574,0.00976562,-12.875,-75.625,-48.5625,116,27,57
"16",-18,24,-1,1,-2,-3,-22,14,0.643555,-0.126465,0.705566,-10.4375,81.375,-55.4375,78,35,79,-5,-1,-1,19,35,4,5,-6,0.764648,0.485352,0.0737305,1.75,10.625,21.125,117,26,56
"17",-9,4,3,-10,-5,-4,3,4,0.587891,0.0751953,0.911133,7.5,2.1875,20,79,36,78,2,5,1,4,10,3,-4,17,0.852051,0.512207,0.123535,51.5,108.625,86.1875,112,26,62
"18",3,2,-15,-15,-11,-14,-20,-1,0.667969,0.0249023,0.922852,9.875,-77.9375,79.9375,78,36,81,24,8,7,9,10,-44,22,18,0.83252,0.337891,0.244629,53.8125,141.562,115.25,107,28,70
"19",-24,-8,-4,4,5,3,-11,-2,0.754395,-0.229004,0.75,41.25,-119.188,104.688,75,34,86,24,-1,-2,10,30,10,-36,-40,0.891602,0.227051,0.407227,47.25,126.938,116,100,31,80
"20",16,-37,-5,-13,1,27,12,101,0.782227,-0.645508,0.214355,60.75,-197.688,171.188,67,32,98,-16,-8,2,-2,-52,19,16,-12,0.767578,-0.0234375,0.715332,18.125,88.5625,66.0625,96,36,86
"21",87,36,-17,2,2,24,-25,39,0.829102,-0.803223,-0.137207,44.125,-230.312,186.312,58,33,109,0,-25,-8,-13,-8,-19,4,-12,0.632324,-0.133789,0.933105,-5.9375,26.4375,2.5625,94,38,88
"22",19,13,17,7,6,-3,1,-6,0.860352,-0.697754,-0.0351562,41.625,-106.125,51.1875,51,35,120,3,2,2,-4,-56,-16,31,33,0.605957,-0.207031,1.01514,-18.75,-57.375,-63.3125,94,38,86
"23",-21,13,-4,8,9,12,28,-46,0.783203,-0.720215,-0.106445,-44.625,79.5,-97.1875,51,32,118,33,18,17,26,31,49,24,39,0.67041,-0.0253906,0.85791,-30.3125,-101.25,-90.125,96,36,83
"24",7,-23,-6,1,-3,0,1,15,0.746094,-0.541016,0.0234375,-41.1875,86.25,-71.625,53,30,114,20,13,1,2,34,76,2,39,0.803223,0.222168,0.496582,-73.4375,-176.625,-150.25,102,30,74
"25",-19,-13,2,1,-5,-3,23,14,0.881348,-0.383789,0.231934,-33.8125,81.625,-63.875,57,29,108,-39,-30,6,-2,12,-33,10,70,0.742188,0.550781,0.188965,-52.5,-184.812,-164.188,109,27,64
"26",2,5,4,7,-1,-1,-2,-3,0.847168,-0.333984,0.259766,-10.6875,107.688,-61,61,28,103,16,-19,1,1,3,3,33,74,0.739746,0.740723,-0.117188,-36.0625,-117.5,-108.75,120,28,51
