"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.448242","X0.299805","X1.02393","X.35","X.5.8125","X.22.6875","X93","X108","X70","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.323242","X.0.188477","X0.95459","X.8.0625","X2.125","X.1.4375","X84","X106","X81"
"11",52,36,25,17,19,8,9,11,0.374512,0.38623,0.546875,24.9375,101.562,-132.125,105,61,43,-6,-12,13,-5,-13,-2,-6,3,0.583496,-0.156738,0.806641,-2.5625,-179.562,73.75,89,55,97
"12",27,34,-5,11,8,-13,-6,-5,0.436035,0.264648,0.517578,22.3125,135.875,-143.75,106,68,42,-24,-7,-23,-12,15,-5,-57,-41,0.541992,-0.0693359,0.679688,-13.25,-149.375,57,88,49,99
"13",-9,-1,-4,6,20,53,-20,-37,0.158691,0.850098,0.765137,26,159.062,-109.875,107,80,42,57,0,-13,-16,-7,18,-58,6,0.583008,-0.162109,0.650879,-25.125,-95,44.5625,85,43,101
"14",-12,0,-16,-11,-7,6,11,-7,0.0400391,0.750488,0.960938,11.5,43.875,-62.8125,107,87,41,57,-3,6,2,15,15,37,5,0.530762,-0.42041,0.414551,-3.6875,-60.3125,10.4375,84,40,102
"15",2,3,0,14,-1,-14,-23,-14,-0.0141602,0.780273,1.01123,20.3125,-16.8125,-4.8125,108,87,41,24,15,-4,0,-13,-21,40,16,0.669922,0.0805664,0.408691,27.3125,-66.25,-12.5625,84,37,103
"16",-5,0,-19,-12,-15,-1,4,-3,0.0161133,0.747559,0.955078,40.5,-64.5625,38.25,108,85,41,71,20,-1,-6,10,4,6,20,0.711914,-0.151855,0.383789,-29.375,-27.375,11.25,83,36,103
"17",0,6,-9,-18,-6,-10,-4,-6,0.149902,0.717285,0.807617,46.0625,-108.375,93.3125,110,78,40,-57,-15,-2,2,-3,1,4,9,0.833984,-0.115723,0.36377,-8.3125,6.4375,1.875,82,35,104
"18",8,-10,-4,-2,1,-7,-4,16,0.359375,0.606934,0.654297,48.8125,-140.375,122.25,111,71,40,-6,11,0,0,9,3,-6,-7,0.883301,-0.222656,0.474121,10.75,19.8125,-2.0625,82,35,104
"19",-11,-6,2,0,0,-4,16,9,0.471191,0.57959,0.415527,12.875,-133.625,119.75,112,60,40,0,6,8,4,1,13,21,14,0.803223,-0.162109,0.582031,14.875,30.6875,-18.1875,83,37,103
"20",-12,3,-2,3,1,10,4,-21,0.462891,0.419922,0.476562,-14.375,-47.75,48.8125,111,53,40,-9,10,5,1,4,4,33,5,0.819336,-0.172363,0.626465,13,16.6875,-6.9375,83,37,103
"21",-28,-19,-18,-60,-35,-35,-33,-35,0.411621,0.41748,0.519531,1.375,31.5,-3.875,111,53,40,-2,10,-2,-9,-12,0,24,-10,0.90918,-0.114258,0.620117,3.4375,4.5625,-0.625,84,38,102
"22",78,73,5,25,30,17,105,93,0.383301,0.36377,0.550293,-30.6875,145.312,-117.625,110,61,41,-8,-5,-7,-4,-6,-3,-6,-17,0.862793,-0.137695,0.637695,10.5,-1.0625,5.6875,84,38,102
"23",26,58,-22,-51,-6,13,-43,-22,-0.121094,0.168457,0.540527,-39.6875,183.5,-159.875,109,71,41,-9,4,-1,-2,-2,-6,-2,7,0.771484,-0.158691,0.672852,-1.8125,-10.75,9.3125,84,37,103
"24",-30,-2,-29,-44,-19,-5,-18,-43,0.261719,0.717773,0.363281,-88.25,187.375,-149.812,108,83,41,22,7,0,-3,-13,14,-26,13,0.804688,-0.234375,0.674805,-5.125,-4.5,5.75,83,37,103
"25",-26,-19,-24,38,34,14,-19,-34,0.0859375,1.00391,1.06055,-35.3125,147.812,-24.25,106,89,42,-19,0,3,13,-4,-84,-19,-14,0.661621,-0.110352,0.686035,-1.8125,-8.5625,0.9375,83,38,103
"26",1,1,9,-13,-6,-13,-5,-7,-0.0952148,0.568359,1.33203,-29.125,-5.125,19.625,104,92,43,-5,-17,-7,-17,-6,-41,-51,-2,0.800293,-0.0249023,0.594727,0.9375,-12.8125,-43.3125,84,37,102
"27",9,8,13,-4,-5,-3,2,13,0.050293,0.57666,0.991699,6.75,-75.125,46.625,104,87,43,-10,1,0,2,0,30,-22,-24,0.757324,-0.0844727,0.743164,21.1875,-41,-9.0625,85,36,102
"28",6,-9,5,1,-2,-6,-4,2,0.123535,0.614746,0.736328,32.8125,-52.75,55.25,105,84,44,-3,-12,-4,-4,-2,-2,-15,-6,0.909668,-0.305664,0.56543,-9.375,-36.3125,22.5625,84,33,102
"29",9,8,-8,-3,0,-2,0,0,0.274414,0.472168,0.624512,-3.75,-10.8125,64.4375,105,80,45,2,-1,-4,-4,-14,-7,16,-1,0.874023,-0.0429688,0.466797,-11.75,-8.3125,4.8125,84,32,103
"30",6,-10,-5,-6,-2,-3,0,12,0.257324,0.456055,0.660156,-5.375,31.5,66.3125,105,79,46,2,2,1,4,0,7,3,0,0.869141,-0.188477,0.449707,0.375,38.375,-1.0625,83,34,104
"31",8,8,-2,-1,-1,0,0,1,0.262695,0.284668,0.741699,-51.625,85.125,104.375,103,80,49,1,1,-4,0,2,1,8,7,0.775879,-0.200195,0.439453,-5.625,55.875,-23.5,84,35,103
"32",-22,-29,-6,-2,2,3,-1,-9,0.20459,0.341797,0.861328,-24.125,103.312,127.125,102,81,53,-6,-2,-1,-3,5,3,2,-6,0.790527,-0.190918,0.501465,-6.8125,90.25,-57.3125,85,39,100
"33",-12,6,-5,-2,-4,1,-3,-7,0.205078,0.402344,1.05615,-29.5,127.125,150.688,101,84,58,-1,-3,0,1,17,5,-2,1,0.663574,-0.125977,0.616211,15.875,134.125,-82.3125,88,46,96
"34",-9,-65,-7,-25,-7,-1,-5,-1,-0.0424805,0.378906,1.09375,-107.25,145.688,94.25,98,90,63,0,-2,-6,-5,17,3,7,-2,0.684082,-0.0356445,0.694824,3.375,169.625,-107.25,90,52,94
"35",18,0,-46,-16,-10,-9,-4,2,-0.197754,0.311523,1.10791,-102.25,122.062,97.875,96,94,65,-2,-3,-2,0,-22,-21,1,-2,0.54834,-0.0629883,0.845703,-33.625,198.812,-118.188,91,60,91
"36",20,6,29,25,11,6,4,-3,0.225586,0.435059,1.65088,-82.25,78.9375,48.75,94,98,68,-3,4,4,-2,2,23,14,-1,0.374023,0.132324,1.02832,-35.25,201.25,-121.562,91,72,88
"37",-14,14,-2,6,2,-2,-1,-9,-0.888184,-0.149414,1.04053,-53.25,64.5625,31.125,93,102,68,-3,2,-5,-5,-19,-34,2,-3,0.131348,0.0419922,1.09229,-4.125,162.75,-69.3125,91,83,85
"38",12,7,-15,1,-2,2,3,5,0.078125,0.405273,0.837891,-38.25,33.25,24.6875,92,103,69,1,4,-3,1,16,8,6,3,-0.17334,0.311523,1.07617,26.5625,128.125,-65.4375,92,89,84
