"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.489258","X0.316895","X1.00195","X.24.125","X.101.312","X.22.1875","X93","X104","X65","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.216309","X.0.103027","X1.05225","X.7","X.0.3125","X.1.5","X87","X102","X85"
"13",-1,0,-5,-27,-10,-11,-24,38,-0.276855,0.73584,1.13428,20.8125,10.125,-23.875,106,98,39,69,13,-1,2,10,29,57,45,0.449707,-0.00927734,0.664551,11.5625,-79.0625,29,88,48,100
"14",10,-1,4,-11,-1,-2,-14,5,-0.0844727,0.74707,0.980469,49.125,-116.375,81.625,107,93,39,56,26,22,9,1,2,-7,0,0.606934,-0.153809,0.54834,7.9375,-56.6875,26,88,46,101
"15",1,12,-6,-34,-4,0,-11,-6,0.0292969,0.627441,0.84082,48.1875,-161.938,136.125,108,85,39,27,-15,-11,-8,-21,-20,-23,-14,0.588867,-0.228027,0.710449,20.75,-18.8125,25.625,88,44,102
"16",3,-4,-4,0,-2,-6,9,0,0.327637,0.506348,0.577148,30.6875,-188.188,167,109,70,39,-12,36,4,4,20,-8,12,6,0.65332,0.277832,0.526367,-31.6875,-31,4.6875,88,43,102
"17",-18,0,7,7,3,-1,23,-16,0.446289,0.473145,0.540039,-2.75,-140.625,138.688,109,57,40,82,-1,-1,-5,-9,-21,10,15,0.850586,-0.0795898,0.548828,6.6875,2.5,3.125,87,42,103
"18",0,8,19,12,7,-7,-52,42,0.524902,0.374512,0.558105,-10.875,-59.625,71.125,109,52,40,64,0,-2,-1,-3,10,102,11,0.780762,-0.0395508,0.609375,9.5625,21.0625,-13.25,88,42,102
"19",-13,27,-16,38,12,6,11,30,0.48291,0.233398,0.601074,-12.5625,43.0625,-28,108,52,41,-9,8,-5,0,0,-1,4,-2,0.82373,-0.0625,0.664551,5.875,21.625,-25.375,88,43,101
"20",-28,-20,2,-10,9,30,-1,1,0.446289,0.302246,0.506836,-7.3125,206.312,-177.688,108,64,40,-9,-19,3,-1,-1,2,-6,6,0.76123,-0.0351562,0.714355,21.1875,19.5625,-16.875,89,44,101
"21",7,9,-20,-41,-15,-2,-8,-2,0.140137,0.558594,0.67041,-37,273.875,-230.562,107,85,40,46,3,0,-6,0,6,-22,9,0.789062,-0.0395508,0.721191,-0.9375,1,-1.5625,89,44,101
"22",2,-11,-19,-7,5,8,-2,-13,-0.227051,0.759277,0.936035,-66.25,230.562,-200.938,106,98,39,40,11,2,-1,-10,3,-8,-10,0.750977,-0.0146484,0.742188,0.9375,-2.375,1.625,89,44,101
"23",0,6,10,-27,-7,-7,-9,-9,-0.507324,0.716309,1.12451,-16,54.625,-47.125,105,107,38,18,-4,-8,-6,7,8,10,12,0.701172,-0.0341797,0.736328,-3.9375,-4.875,-1.5,89,44,101
"24",-3,-2,7,1,-5,4,-7,-10,-0.391113,0.709473,1.07178,9.75,-48.75,48.1875,105,106,38,18,14,11,15,7,21,23,5,0.70752,-0.0629883,0.726562,-5.375,-0.5,-5,89,44,101
"25",30,-12,-30,3,-2,-6,2,-6,-0.113281,0.644531,0.782715,24,-116.938,124,106,97,39,-10,-18,-2,5,24,23,15,32,0.635254,-0.0161133,0.72998,-10.125,-0.0625,-8.5,89,44,100
"26",-6,2,3,1,0,-3,-1,-4,0.046875,0.505371,0.648438,6.9375,-123.188,132.438,106,90,40,-19,-19,1,3,4,4,6,0,0.609375,0.0458984,0.676758,-9.3125,-5.9375,-6.0625,89,44,100
"27",-2,-6,-4,-3,-1,-3,0,1,0.253906,0.483887,0.610352,-7.6875,-87.8125,136.75,106,80,42,-14,-6,2,2,-8,1,32,-5,0.70166,0.0322266,0.654785,-1.4375,-8.625,3.8125,89,44,100
"28",2,-3,-11,-2,-2,1,-3,2,0.344727,0.42041,0.604492,-27.9375,-35.8125,138.312,105,75,44,-1,1,-3,-3,0,-17,-5,0,0.736328,-0.0195312,0.609375,1.875,12.9375,-3.0625,89,44,100
"29",-21,-16,-5,-1,0,-1,-2,-8,0.314941,0.263184,0.70459,-39.1875,47,142.875,103,72,48,-23,-5,-3,-3,12,-1,-6,-16,0.742676,-0.0214844,0.612305,7.8125,20.1875,-8.3125,89,44,100
"30",5,36,11,2,0,1,0,1,0.428711,0.424805,0.861816,-37.4375,134.938,127.375,100,75,53,-2,-2,0,-3,-5,-7,-1,-3,0.76123,-0.059082,0.657715,3.6875,32.375,-18.625,90,46,99
"31",-15,-5,4,8,5,3,2,-6,0.337402,0.300293,1.02783,-34.875,185.938,114.438,99,79,56,-5,-3,-2,-1,-5,-12,1,-2,0.724609,-0.0981445,0.651855,11.25,31.625,-14.4375,90,47,99
"32",17,34,-8,-1,-3,-6,-1,2,-0.0664062,0.396484,1.0166,-21.5,189.688,78.625,98,89,61,0,-2,0,0,10,7,-2,5,0.780273,-0.0576172,0.69043,-2.3125,53.25,-56.4375,91,49,98
"33",5,66,21,-13,-4,2,-1,-5,-0.205566,0.25293,1.1499,-46.5,162.812,70.125,97,95,63,0,-2,-2,1,6,4,-1,2,0.697266,-0.0834961,0.776367,-13.3125,114.875,-84.4375,92,54,95
"34",6,-10,-55,-6,-4,-3,-1,-1,-0.371094,0.22998,1.08008,-7.75,114.5,45.125,97,102,66,-2,-3,-1,-4,9,-8,-2,12,0.624512,0.0415039,0.830078,1.625,152.25,-107.938,93,60,93
