"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.183594","X0.0952148","X0.976562","X2.8125","X0.3125","X.0.1875","X92","X101","X78","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.170898","X.0.1875","X0.970215","X.22.3125","X1.5","X6.9375","X85","X99","X77"
"33",10,-2,-2,-2,-2,0,0,1,-0.209473,0.0908203,1.02295,8,-0.625,-1.25,92,101,78,5,3,-5,3,-15,6,4,-8,0.266113,-0.140137,0.638184,11.6875,48.5,68.375,75,46,117
"34",5,0,0,-2,-5,-2,0,2,-0.221191,0.0874023,1.00342,-1.875,2.3125,-1.0625,92,101,78,10,49,-5,-3,-26,-22,8,-3,0.43457,-0.298828,0.665039,28.3125,14,46.1875,75,50,118
"35",-1,5,2,2,3,0,-2,-7,-0.193359,0.100586,0.97998,-0.1875,1.5625,-0.125,92,101,78,-8,-2,-7,2,-7,-6,5,-7,0.591797,-0.39502,0.660645,25.0625,9.0625,2.25,75,51,118
"36",-8,-3,-1,-3,-3,-2,-1,0,-0.200195,0.101074,1.00391,0.625,-0.3125,-0.125,92,101,78,-6,7,7,2,4,-14,8,21,0.588379,-0.449707,0.643555,-10.125,31.75,-40.125,76,51,117
"37",6,4,-1,0,2,0,0,-5,-0.203125,0.0981445,1.00098,0.125,0.5625,0.3125,92,101,78,-3,-1,-2,1,6,-10,6,4,0.639648,-0.527344,0.668457,-11.4375,103.562,-83.6875,77,54,114
"38",-3,-3,-4,0,0,-1,-2,-8,-0.20752,0.0869141,0.997559,-0.3125,0.6875,1.0625,92,101,78,0,0,-2,0,7,-18,6,3,0.583496,-0.441895,0.691895,-2.375,146.875,-109.188,79,57,110
"39",4,4,-2,-4,-3,-1,1,3,-0.194824,0.102539,0.984863,-0.75,-0.375,1.3125,92,101,78,-3,0,-3,-2,-19,-18,0,1,0.561035,-0.551758,0.739258,-56.3125,218.562,-141.062,81,66,104
"40",-1,1,-2,0,-2,-1,-2,-3,-0.202148,0.114258,0.997559,4.25,-1.4375,1.375,93,101,78,0,0,5,3,-2,3,5,1,0.493164,-0.386719,0.871094,-18.125,210.812,-151.375,82,72,99
"41",-10,-5,-2,-2,1,0,0,-2,-0.206543,0.107422,1.01562,0.375,-0.3125,0.8125,93,101,78,-1,-1,0,18,4,7,-8,0,0.289551,-0.385742,0.966797,-63.25,220.875,-194,82,82,92
"42",-7,-3,0,-2,-2,0,-2,-3,-0.219727,0.104492,0.981445,-1.6875,2.6875,-0.5,93,101,78,-1,-8,-2,6,79,36,15,2,0.102051,-0.151855,1.12598,2.75,205.375,-157.5,82,88,88
"43",3,3,1,-1,-1,0,-2,0,-0.213379,0.123047,0.997559,2.25,1.1875,-0.3125,93,101,78,-2,-3,-5,-14,-49,5,-7,-2,-0.37793,-0.126465,1.17334,15.5,136.188,-101,82,96,83
"44",-4,2,-1,-2,-1,-1,-1,-4,-0.227539,0.0810547,0.992188,-3.0625,2.75,-0.8125,92,101,78,2,7,1,7,16,9,-5,-2,-0.429688,-0.0385742,1.01367,32.875,101.562,-76.75,83,99,81
"45",5,0,-1,0,-2,-1,-1,-1,-0.199219,0.0957031,0.998047,-2.375,0.4375,-0.125,92,101,78,7,5,-2,-4,-1,-5,-16,-2,-0.701172,-0.153809,1.26123,13.5,40.75,-51.8125,83,102,80
"46",2,0,0,2,-1,-1,0,-1,-0.184082,0.124512,1.00391,0.8125,1.5,0.125,92,101,78,-6,1,-1,0,-52,-34,-50,-21,-0.217773,-0.188477,1.04492,28.5625,5.5,-9.9375,84,102,79
"47",4,0,-2,0,-1,-1,-2,3,-0.202148,0.0981445,0.98584,-0.4375,-0.8125,-0.9375,92,101,78,-1,1,0,1,15,36,20,0,-0.253906,-0.140625,1.02588,-26.3125,-0.9375,-16.625,84,102,79
"48",2,2,-3,-3,-1,-1,0,1,-0.206055,0.081543,0.98584,3.3125,-1.375,-0.4375,92,101,78,-1,-2,0,2,10,10,-7,0,-0.234863,-0.116211,0.983887,25.8125,-2.8125,-11.1875,85,102,78
"49",-1,-3,-3,-2,-2,-2,0,-2,-0.208496,0.097168,1.0083,2.125,-1.25,0.5,92,101,78,-2,-2,-1,-4,-12,4,1,-1,-0.223145,-0.155273,1.00586,7.0625,-1.625,-5.875,85,102,78
"50",1,2,-2,0,-1,-1,0,-2,-0.214355,0.0986328,1.00635,2.375,1.25,1.6875,93,101,78,-1,0,0,1,20,16,-4,0,-0.191406,-0.253906,1.01367,0.1875,0.3125,-6.4375,85,101,78
