"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.0820312","X.0.0610352","X1.17773","X7.9375","X.200.125","X.65.8125","X91","X92","X65","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.282227","X.0.161133","X0.977539","X2.375","X.2.25","X0.375","X85","X104","X82"
"27",-6,-13,-1,-11,-13,-25,-7,-4,0.458008,0.521484,0.60498,-57.25,-7.75,164.312,105,65,45,7,-2,0,1,6,8,-14,0,0.776367,-0.21875,0.553223,-19.625,3.6875,3.6875,83,39,106
"28",-8,23,4,5,6,12,5,2,0.568359,0.279297,0.847656,-52.625,81.6875,162.25,100,63,51,5,-9,-2,-5,-2,-12,-9,5,0.783203,-0.151367,0.555664,18.4375,6.5625,-0.5625,83,39,106
"29",7,-3,-2,0,-3,-8,-3,-4,0.546875,0.253906,0.885254,-50.75,130.938,163.625,97,65,55,0,0,3,9,4,-7,-6,-5,0.757812,-0.225098,0.598633,-7.625,22.9375,-16.9375,83,40,105
"30",0,6,-4,-7,-2,-1,1,0,0.554688,0.209473,1.04492,-22.6875,177.062,136.375,94,73,60,-5,-3,-2,-3,6,6,5,-2,0.651855,-0.220215,0.605469,7.0625,30.9375,-18.1875,84,41,105
"31",28,-12,-2,2,1,3,1,6,0.274902,0.0283203,1.02539,-23.25,182.75,109.062,93,79,63,1,-2,-1,-2,-17,-17,0,3,0.621094,-0.116211,0.572754,9.625,39.8125,-40.75,85,43,103
"32",22,12,34,7,6,4,2,6,-0.0507812,0.140625,1.07617,-5.75,180.312,86.625,92,90,67,-2,-1,-3,-4,15,-1,6,-2,0.731934,-0.0878906,0.624512,-20.6875,77.4375,-77.6875,87,45,101
"33",3,-20,-58,-12,-7,-6,-5,-2,-0.180176,0.0288086,1.1167,-52.8125,139.125,64.75,91,99,69,-2,-3,-2,1,-11,-5,3,-4,0.633301,-0.236816,0.784668,-12.125,136.938,-96.75,88,52,97
"34",8,11,41,11,3,-1,-1,-3,-0.533691,-0.0737305,0.960449,-19.25,102.188,30.875,91,103,70,-1,1,0,1,-5,1,3,-2,0.668945,-0.0952148,0.821777,13.9375,176.25,-114.75,90,58,94
"35",2,-9,1,-4,-1,-1,2,10,-0.500977,0.0175781,1.02197,-51.3125,41.6875,11.3125,90,107,71,0,1,1,0,10,-1,-5,-1,0.489746,0.101562,1.01416,-37,175.5,-120.375,91,70,91
"36",6,-18,-3,-2,-2,-5,-5,3,-0.431641,0.0712891,1.01172,-9.5625,-1.3125,-0.75,89,108,71,0,-4,0,2,7,10,-4,-1,0.231445,0.165039,1.11084,-33.4375,154.625,-109.75,91,80,87
"37",8,-11,-7,-3,-1,-9,-2,10,-0.256348,0.0800781,1.05859,-22.1875,17.4375,4,89,108,71,-1,0,-2,-4,4,-3,-1,-1,0.0952148,0.166016,1.12646,-12.8125,127.188,-74.125,91,85,86
"38",1,5,9,0,0,7,29,-8,-0.330566,0.0385742,1.02002,84.875,9.25,1.625,91,109,71,0,0,0,0,14,2,-5,-1,-0.074707,0.229004,1.06885,4.3125,92.1875,-47.6875,91,92,84
"39",-2,2,0,0,-1,-5,-4,-3,-0.290527,0.0854492,1.00049,53.875,4.75,-7.25,92,109,71,1,6,2,3,18,8,3,0,-0.15918,0.146973,1.06885,-15.5625,71.8125,-36.0625,91,95,84
"40",-1,2,2,-2,-2,1,-5,0,-0.304688,-0.00537109,0.986328,47.9375,5.6875,-3.125,93,109,71,-1,4,3,7,-7,3,9,0,-0.307617,0.0390625,0.939453,-5.8125,51.75,-17.875,90,99,83
"41",-13,-1,-6,-2,-3,-12,-12,5,-0.356445,0.100098,0.923828,36.6875,3.5,1,94,110,71,1,3,2,1,-12,3,2,0,-0.371094,0.0742188,0.920898,-10.6875,32.4375,-11.0625,90,101,83
"42",0,-7,1,1,2,0,0,-3,-0.331055,0.144531,0.928711,-9.875,0.875,2.6875,94,110,71,-2,-2,-2,1,-5,-6,-9,1,-0.308594,0.0571289,0.840332,18.75,25.3125,-6.5,90,103,82
"43",4,-1,-7,1,-1,-1,4,6,-0.32666,0.137207,0.949219,-13.625,-0.75,1,94,110,71,-1,-5,-3,-3,-4,-7,-2,0,-0.432617,0.0405273,0.955078,8.4375,26.4375,-8.4375,91,105,82
"44",-1,-2,3,-2,-1,-9,-4,3,-0.302734,0.133789,0.996094,1.6875,-3.125,-0.1875,94,109,71,0,0,-1,-1,-2,-5,0,0,-0.213867,-0.116699,1.27832,-0.875,1.875,7.1875,91,104,82
"45",-4,-5,4,1,0,-5,4,3,-0.324707,0.129883,0.987793,6.0625,1.3125,-1.5625,94,109,71,0,-1,-3,-5,-16,-13,0,-7,-0.21875,0.0551758,1.06006,-66.3125,17.3125,-6.9375,90,105,82
"46",-1,-2,-4,-1,-2,2,2,2,-0.324219,0.113281,0.939941,5.75,0.4375,-1.5,94,109,71,1,-3,2,3,-5,-5,-2,3,-0.229492,-0.15918,1.07861,-28.75,9.375,-1.625,89,105,82
"47",-1,0,-6,-1,-1,10,3,-1,-0.330078,0.116699,0.963867,0.875,-1,-0.5625,94,109,71,0,5,-2,-1,-1,-14,-15,-7,-0.240723,-0.0493164,1.02441,21.4375,5.625,-5.6875,89,105,82
"48",-3,-3,-3,-1,0,11,1,2,-0.319824,0.119629,0.958496,-2.6875,-1.5,-0.125,94,109,71,-2,1,0,0,3,1,1,-2,-0.283691,0.0273438,0.929688,-7.5,1.25,-4.25,89,105,82
"49",-3,-1,-5,-2,-3,-24,-4,-3,-0.331055,0.112793,0.96582,-3.25,-0.5,-0.25,94,109,71,-2,-4,-2,1,4,10,-1,-2,-0.267578,-0.0410156,0.981934,-19.5,-0.8125,1,89,105,82
"50",-3,4,-1,-3,-2,-2,-5,-1,-0.329102,0.12207,0.971191,1.375,-0.4375,0.375,94,109,71,13,29,0,1,-36,-6,2,2,-0.270508,-0.046875,1.01367,-17.625,-2.0625,0.625,88,105,82
