"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.258789","X0.203125","X0.961914","X0.3125","X6.875","X6.9375","X95","X106","X85","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.259277","X.0.366699","X0.97168","X.11.875","X12.25","X10.875","X79","X104","X76"
"17",0,0,-2,-1,0,5,5,0,-0.233887,0.342285,0.907227,-11.125,-1.1875,-4,99,106,86,17,81,-5,26,33,6,13,-8,-0.519043,-0.449219,0.869141,13,120.438,-31,79,97,106
"18",2,2,0,0,0,10,8,3,-0.327148,0.255371,0.889648,-3.1875,-9.4375,-8.5625,98,106,86,15,79,32,31,47,-57,-26,-42,-0.848633,-0.214844,0.773438,-0.125,139.312,-123.5,79,101,103
"19",-6,-1,-1,-1,-3,9,1,-2,-0.244629,0.279785,1.02393,2.4375,-7.1875,-5.125,98,105,85,-32,57,12,10,-90,-12,2,-51,-0.666016,-0.0551758,1.29443,84.75,68.625,-77.3125,79,106,99
"20",-3,0,-2,-1,-3,-2,-2,-5,-0.294922,0.243164,0.842285,-14.25,-7.625,-1.8125,98,105,85,5,7,5,17,3,-15,-3,8,-0.15625,-0.0185547,1.15723,60,4.9375,-30.75,82,107,98
"21",0,-2,-1,0,-1,0,-1,0,-0.257812,0.234375,0.948242,-15.75,-9.6875,0.3125,98,105,85,38,-33,25,11,-54,-17,12,8,0.168945,-0.222168,1.22803,55.25,-11.6875,-18.375,83,105,97
"22",-2,0,0,-1,-1,4,-2,-4,-0.287109,0.268555,0.898926,-26.875,-11.5,2.5625,97,104,85,-49,-31,-15,2,12,-7,-20,-16,0.280273,-0.259766,1.20654,71.625,-37.0625,-11.6875,84,102,97
"23",0,-1,-1,-1,-2,-1,-6,20,-0.251953,0.23877,1.01074,-35.625,-11.3125,1.125,96,104,85,-36,127,-19,-28,4,-12,-11,-51,0.543945,-0.374512,1.03418,-9.375,-102.812,48.6875,85,95,98
"24",-1,-2,-2,-2,-1,-14,2,1,-0.240723,0.150391,1.0415,-18.75,-1.625,5,95,103,85,3,85,14,9,-27,-9,16,89,0.463379,-0.304688,0.881836,-23.5625,-120.75,91.8125,84,91,100
"25",-7,1,-1,0,2,4,-6,-8,-0.260742,0.192383,0.947754,0.0625,0,4.625,95,103,85,25,3,6,5,50,24,5,62,0.258301,-0.291016,0.755371,-33.3125,-81.5,120,83,86,104
"26",1,-4,-1,-1,-1,-5,-1,-5,-0.247559,0.202637,1.00781,-5.8125,2,5.125,95,103,85,-4,27,4,8,45,44,55,13,-0.081543,-0.22168,0.827148,-17.75,-34.125,110.938,83,86,107
"27",-2,-2,-1,-1,-2,-8,-8,-3,-0.255859,0.222656,0.934082,-9.5,1.9375,2.5,95,103,85,-2,-19,0,1,3,-12,-18,-6,-0.702148,-0.227539,1.03955,-33.6875,27.1875,21.9375,82,89,108
"28",-4,-1,-1,-1,-1,0,-4,-15,-0.218262,0.188477,0.99707,-8.5625,-1,-1.25,95,103,85,4,18,3,1,-14,9,4,-4,-0.761719,-0.362305,1.03271,-24.6875,89.875,-35.25,81,96,107
"29",0,-1,-1,-2,-1,-6,0,7,-0.27832,0.212891,0.898926,-3.4375,-5.375,-5.125,95,103,85,16,-49,-6,2,20,31,11,37,-0.493164,-0.362793,0.977051,-31.1875,88.5625,-58.8125,80,100,105
"30",0,-2,-1,-3,-3,-11,-10,8,-0.192383,0.170898,1.01318,-10.125,-8.4375,-6.8125,95,103,85,-6,-20,-5,-7,10,-7,-9,0,-0.219727,-0.347168,0.934082,-21.875,112.688,-78.0625,79,104,102
"31",0,-2,-1,-1,-1,-6,-5,-5,-0.266113,0.123047,0.966309,-8.75,-7.5625,-6.1875,94,103,85,-3,5,0,0,-5,-1,-15,-15,-0.318848,-0.387207,0.938477,-23.875,130.688,-70.75,78,108,100
"32",3,-2,0,-1,-1,4,7,-23,-0.220703,0.153809,0.971191,-10.1875,-7.375,-4,94,102,85,-13,-22,-30,-22,-5,1,-15,-10,-0.127441,-0.356934,1.04492,1,58.625,-85.8125,77,110,96
"33",-2,-1,0,0,0,8,-2,5,-0.246582,0.12793,1.00928,-9.4375,-5.4375,-3.625,93,102,85,0,-2,-2,8,-4,-17,-11,-1,-0.103516,-0.481445,1.02588,29.125,-6.0625,-91.375,76,108,95
"34",-4,-2,-1,1,0,-3,-9,-8,-0.205078,0.138672,1.03369,-6,-3.6875,-3.5,93,102,85,-3,2,5,10,13,6,10,31,-0.24707,-0.666016,0.658203,68.625,-64.1875,-128.688,78,102,92
"35",-1,-3,-1,-2,-3,-4,6,-3,-0.216797,0.0917969,1.02441,5.4375,2.5,-0.8125,93,102,85,2,2,5,4,-1,9,7,1,0.623047,-0.112305,1.14697,24.625,-25.875,-144.562,79,96,89
"36",-3,-1,-2,-1,0,-7,3,-22,-0.217285,0.128418,0.96875,2.8125,3,0.8125,93,102,85,-4,-7,-6,-10,-30,-18,-1,-1,-0.725098,-0.65625,0.312012,74.375,9.0625,-129.062,80,93,85
"37",10,-6,-5,-4,-2,3,7,19,-0.213379,0.144043,0.971191,0.875,1.5625,1.4375,93,102,85,1,2,2,4,-20,26,55,8,-0.200195,-0.340332,0.84668,92.4375,22.125,-121.812,81,92,84
"38",-1,0,-1,-1,-1,-4,6,-2,-0.223633,0.155273,0.969238,-3.25,-1.4375,0.1875,93,102,85,4,2,2,2,6,18,5,12,-0.469238,-0.0239258,0.916992,116,36.8125,-65.5,84,94,81
"39",-1,1,1,-1,0,11,-1,1,-0.21582,0.14209,0.994141,-2.375,-2.125,-0.125,93,102,85,11,1,-1,-4,5,-2,-8,5,0.268555,-0.14209,1.03516,35.625,35.3125,-36.875,86,96,80
"40",-3,0,-2,0,1,10,25,-4,-0.22998,0.123047,1.01367,0.4375,-0.5,-0.1875,93,102,85,-5,-3,-3,-1,4,12,-1,-2,-1.50049,-0.241699,0.898926,1.8125,49.1875,-39,86,101,78
"41",0,0,-1,-2,1,-9,-4,-8,-0.219238,0.126465,0.995117,-1.8125,0.5625,0.25,93,102,85,-6,8,-3,-2,1,-3,5,-12,0.421387,-0.251953,1.03564,-59.6875,7.9375,10.0625,85,100,78
"42",-1,-2,1,0,-1,8,-4,-12,-0.229492,0.13623,0.995117,2.375,0.8125,0.75,93,102,85,1,-2,-1,0,0,4,5,9,-0.498047,0.15918,0.512207,9.8125,28.0625,-20.0625,85,101,78
"43",1,-1,-1,-3,-2,-10,-1,1,-0.229004,0.150879,0.996094,1,0.5,0.3125,93,102,85,-4,6,-2,-1,-3,-7,-3,-9,0.306152,-0.0078125,0.936523,-16.0625,10.875,-7.3125,85,101,78
"44",0,0,0,0,-1,5,-5,-4,-0.225098,0.131836,0.987793,1.375,1.5,-0.1875,93,102,85,-4,2,-2,-2,-1,-5,-4,-5,-0.634277,-0.109375,0.448242,-18.375,6.75,-10.5,84,102,77
"45",-2,1,0,-1,-1,6,-2,25,-0.21582,0.14209,0.985352,2.125,1.125,0.125,93,102,85,-3,3,0,-3,-3,-4,-2,10,0.0908203,-0.0776367,0.805176,-2.625,1.6875,-8.5,84,102,77
"46",-2,-1,-1,0,-2,-9,-1,22,-0.231445,0.13916,0.983398,1.0625,0.25,-0.75,93,102,85,3,7,1,1,0,0,-4,2,-0.0727539,-0.232422,1.13281,10.125,3.875,-1.875,84,102,77
"47",4,-1,-1,-1,-5,-10,-11,1,-0.227051,0.132812,0.988281,-1.3125,-0.25,-0.375,93,102,85,-2,-2,0,1,1,2,5,-10,-0.226074,-0.207031,1.02832,3.0625,-1.125,-0.4375,84,102,77
"48",-2,-1,-2,-2,-1,-1,2,-8,-0.226562,0.129883,0.98584,-0.25,0.0625,0.0625,93,102,85,0,3,1,-2,-2,1,-1,-2,-0.212891,-0.198242,1.01172,-5.8125,0.6875,1.6875,84,102,77
"49",-3,2,-2,-1,-1,8,-10,-11,-0.229004,0.138672,0.97998,0,-0.3125,0,93,102,85,-1,-2,-4,-3,0,1,1,-18,-0.209473,-0.166504,0.99707,-4.375,0.8125,1.625,84,102,77
"50",0,0,0,-2,0,-13,-7,1,-0.222656,0.133301,0.995117,-0.4375,0.25,0.375,93,102,85,-1,10,6,2,5,8,9,16,-0.208496,-0.17627,0.988281,-2.6875,0.875,1.4375,84,102,77
