"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.49707","X.0.0454102","X1.01416","X92.875","X.56.25","X.104.062","X97","X105","X61","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.227539","X.0.229004","X1.00244","X.3.4375","X1.875","X3.125","X82","X101","X85"
"1",0,0,0,0,0,0,0,0,-0.226562,0.0141602,1.19189,27.625,-133.125,-153,97,101,56,0,0,0,0,0,0,0,0,-0.233887,-0.397461,1.13232,-9.8125,13.5,7.25,82,101,85
"2",0,0,0,0,0,0,0,0,-0.0922852,0.117188,1.12891,22,-154.938,-157.25,97,99,54,0,0,0,0,0,0,0,0,-0.427734,-0.615234,0.960938,74.25,48.75,49.4375,83,103,85
"3",-8,-26,-22,-3,6,41,3,-2,0.0581055,0.189941,0.953125,9.75,-139.938,-152.625,96,89,46,-1,13,28,35,5,-1,0,1,-0.76416,0.113281,1.06592,-1.5,-137.562,110.438,86,102,89
"4",-6,-5,1,-16,-23,-10,-6,-7,-0.104004,0.32666,0.935547,38.5625,-130.688,-122.375,97,86,43,-5,-8,-4,4,-10,3,-8,-4,0.000488281,0.180176,1.03906,101.5,-220.625,194.875,89,91,94
"5",-5,-2,-2,-9,-6,22,-3,-4,-0.102051,0.44873,0.864746,5.625,-76.9375,-96.5625,98,82,39,-7,-9,-15,-1,-8,-7,-4,-5,0.25,0.0654297,0.925293,105.625,-212.625,222.25,90,86,96
"6",-11,-14,8,10,8,-5,-10,-17,0.316895,0.365234,1.08252,194.75,-152.25,-115.125,102,78,36,-6,-15,-27,-38,8,6,0,-5,0.629883,-0.0908203,0.755859,87.5625,-78.8125,239.375,92,73,106
"7",-4,-6,-13,22,18,-3,1,-4,0.113281,0.438965,0.814453,-40.625,-12.3125,13.875,103,77,35,7,5,12,15,3,-16,-1,2,0.521973,-0.175781,0.878906,43,-31.5,201.25,92,71,110
"8",-8,-9,-2,-81,-8,7,-3,-6,0.0864258,0.619141,0.861816,13.6875,-29.8125,28.625,103,76,35,15,25,7,5,-8,-13,-1,6,0.132812,-0.246582,0.995605,44.6875,50.8125,146.375,91,72,115
"9",3,4,2,7,9,-10,-4,0,0.151855,0.603516,0.9375,63.9375,-83.5,73.8125,104,73,35,1,28,3,8,0,8,-13,-1,-0.0576172,-0.195312,1.14062,16.125,42.875,44.625,91,75,118
"10",-2,-18,-51,10,-21,-14,1,-3,0.414551,0.508301,0.747559,161.812,-146.812,226.875,107,61,38,-1,1,-3,-2,-1,-10,14,5,-0.137695,-0.0683594,1.13037,35.75,40.0625,27.9375,91,78,119
"11",9,1,3,29,12,11,5,4,0.562012,0.519043,0.492676,147.938,-155.125,284.312,109,49,41,8,-9,-2,-6,-6,-15,6,-3,0.283203,0.0112305,1.12305,-90.75,13.5625,30.5,90,79,120
"12",-8,-2,-10,-31,26,26,-3,-8,0.744629,0.248535,0.284668,40.75,-163.25,334.688,105,30,49,-10,-2,-2,-1,-2,2,-4,-32,0.320801,-0.434082,1.06738,-21.8125,21.5625,46.125,89,79,120
"13",6,-5,11,8,2,12,4,14,0.842773,0.0537109,0.249512,42.875,-160.375,324.688,95,19,61,-3,-5,0,1,-1,-1,6,12,0.150879,-0.0751953,1.03467,-39.5,23.9375,32.6875,88,81,122
"14",4,-7,-10,-6,-33,-22,-4,-12,0.825195,-0.279785,0.0576172,-22.625,-131.5,278.625,64,17,93,24,2,4,-1,1,-4,-8,33,0.195312,-0.258301,1.12451,-78.75,19,20.0625,86,82,122
"15",0,22,-6,-7,8,15,5,-1,0.84375,-0.649414,0.0512695,-3.5,-83.5,124.5,49,24,107,3,-2,-4,-2,-2,-3,4,17,0.11377,-0.26416,0.969727,-11.3125,4.25,28.4375,85,82,123
"16",6,-15,0,-12,-5,3,-4,2,0.995605,-0.580566,-0.00146484,24.3125,-6.875,0.5625,48,26,109,-7,-3,-1,-1,-1,-2,-6,-4,0.0952148,-0.134277,0.91748,-27.8125,3.1875,14.25,84,83,123
"17",2,-15,-9,-6,-18,3,1,-40,1.16699,-0.487793,-0.0878906,-50.1875,68.8125,-93.4375,50,23,107,-4,3,1,-1,0,-4,-14,-13,0.00341797,-0.265137,0.874512,-18.5625,6.0625,-5.125,83,83,124
"18",1,15,8,13,16,0,-2,-60,1.28711,-0.339844,0.0571289,-91.75,144.688,-175.938,61,17,92,7,8,-2,-4,0,11,4,3,0.0424805,-0.200195,0.889648,7.8125,-4.875,-28.25,83,83,123
"19",20,24,1,13,5,0,1,22,1.19971,-0.195801,0.312988,-58.5625,226.688,-253.562,86,20,63,-1,3,-6,-3,-4,-6,-6,-20,0.109375,-0.0878906,0.938965,2.125,-6.75,-19.75,84,83,122
"20",-14,27,12,27,13,-25,0,10,0.955078,-0.0805664,0.42334,-18.875,244.875,-303.188,97,31,51,-4,-2,-3,-3,-4,-5,4,3,0.242676,-0.237793,0.962402,-12.0625,4.6875,-15.625,84,82,122
"21",-21,-60,26,8,-3,9,-18,4,0.501465,0.108887,0.607422,35.0625,236.812,-281.438,104,51,42,4,1,3,-3,1,2,-2,2,0.175293,-0.191895,0.979004,1.625,30.125,4.1875,84,83,122
"22",-15,29,-4,7,5,-24,-14,-8,0.164062,0.228516,0.559082,63.3125,204.125,-251.938,106,64,40,-2,-4,-7,-8,-3,-3,2,1,0.121582,-0.260742,1.03418,-8.5,22.875,17.0625,84,85,122
"23",1,57,-27,7,11,12,15,4,-0.0258789,0.414062,0.663086,33.625,137.812,-170.625,108,79,37,0,-1,1,0,1,18,1,0,0.144043,-0.299316,1.01465,-1.6875,24.75,16.1875,83,86,122
"24",-5,5,21,5,18,36,-13,-43,-0.0791016,0.542969,0.778809,-9.4375,65.625,-97,108,84,37,-2,2,-1,1,-6,-11,-2,-1,0.0727539,-0.259766,1.05273,-21.9375,26.125,22.5,83,87,123
"25",-12,-12,21,26,15,11,14,-5,0.0424805,0.634277,0.926758,4.3125,0.75,-16.8125,108,87,36,1,-1,-4,-3,-8,6,-1,-1,0.00195312,-0.394043,1.0542,-31.8125,13.6875,22.375,82,88,123
"26",3,1,-17,-3,0,46,16,5,0.0395508,0.712891,0.790039,3.8125,-5.9375,2.0625,109,86,36,0,1,-2,-1,10,4,9,0,-0.115723,-0.233887,0.966309,-25.8125,10.875,-3.8125,81,89,123
"27",3,-3,-2,-17,-20,-45,0,-2,0.0209961,0.632324,0.78125,-12.5625,-0.375,-0.5,108,86,36,1,-7,-1,1,1,1,-5,-3,-0.0844727,-0.238281,0.937988,-3.1875,6.375,-9.5,81,90,123
"28",3,21,-5,-3,-1,-13,-5,-8,0.0483398,0.593262,0.779785,-20.6875,3.875,9.5,108,87,36,2,-1,1,3,10,20,3,0,0.0493164,-0.216309,0.936523,-4.8125,9.9375,-8.625,81,90,123
"29",5,15,18,2,1,9,2,-7,-0.0498047,0.652832,0.759277,-15.75,-0.75,31.25,108,86,36,3,3,2,-1,0,5,-1,1,0.0922852,-0.238281,0.788574,71.5,5.0625,4.1875,82,90,122
"30",-10,-18,-5,0,-2,-6,-9,-3,-0.21875,0.726074,0.698242,-35.0625,17.9375,65.1875,107,86,38,-4,-4,-5,-4,10,16,-1,-1,0.0419922,-0.238281,1.021,0.3125,7.5,17,82,90,123
"31",14,-5,-3,-1,-1,-3,3,0,-0.106445,0.688477,0.771484,-86,53.375,88,106,86,40,2,-1,0,4,-9,-8,2,-1,-0.0195312,-0.440918,1.05371,-8.4375,0.9375,5.5,82,91,123
"32",-20,-4,-7,-1,1,4,3,-1,0.0913086,0.541504,0.773926,-8.0625,118.375,157.188,105,86,45,-1,-3,1,1,-17,1,1,0,-0.0292969,-0.302734,1.01514,13.4375,0,2.25,82,91,123
"33",-2,-12,-5,4,2,-2,-2,0,0.214844,0.384766,0.863281,-52,171.688,160.25,104,90,51,-1,-1,-2,1,4,-3,0,1,-0.0483398,-0.306152,0.984375,-5.875,3.4375,0.5625,82,91,123
"34",9,18,12,2,3,-1,-1,1,0.131836,0.190918,1.01025,-63.9375,162.562,150,102,93,55,3,1,8,12,-15,18,2,-1,-0.199219,-0.391602,0.941895,-15.25,1.0625,-16.9375,81,91,123
"35",5,13,5,0,1,1,1,3,0.0727539,0.302734,1.04639,-27.3125,136.688,128.625,102,97,61,-2,-5,-5,3,20,4,21,1,-0.363281,-0.368652,0.804688,-31.4375,15.875,-66.125,80,92,121
"36",-11,-9,-12,4,-6,-11,-2,-1,-0.104004,0.240723,1.05273,-45.375,113.25,94.3125,101,99,64,0,-2,0,13,5,4,8,1,-0.254395,-0.429688,0.881836,-24.8125,53.9375,-113.875,79,93,118
