"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.500977","X0.0332031","X0.935547","X59.625","X.43.5625","X.20.375","X94","X104","X87","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.257812","X.0.210449","X1.04883","X.20.5625","X7.375","X5.375","X83","X101","X73"
"39",2,7,33,6,3,1,-4,-1,-0.183594,0.273926,1.04395,-4.125,112.375,56.75,99,96,83,0,2,-1,-1,3,-9,1,2,0.352051,-0.046875,0.954102,-38.75,82.0625,-102.5,90,73,81
"40",0,-7,-5,-7,1,-6,-4,-5,-0.0644531,0.402832,1.12402,-5.75,91.5,51.375,99,99,84,-1,-1,-1,-3,12,6,2,0,0.120117,-0.0390625,0.988281,-26.75,106.688,-86.125,90,79,78
"41",6,-11,-22,-9,-6,-3,4,12,-0.304199,0.223145,1.06934,-45.3125,63.8125,39.625,99,102,86,1,0,-2,-3,-10,-2,-5,2,-0.0219727,-0.0268555,1.01367,-48.4375,100.875,-62.5625,89,86,76
"42",-3,-15,-26,-7,-5,-5,-2,-11,-0.375,0.304688,0.947266,-48.75,47.375,36.9375,97,105,88,-3,-5,-3,-8,-17,2,4,-2,-0.0756836,0.0336914,1.00684,-17.0625,83.6875,-43.9375,88,89,75
"43",-3,-9,5,5,1,1,2,5,-0.490723,0.258789,0.905273,-43.3125,23.25,19.25,97,106,89,2,0,-3,-2,-8,-1,14,8,0.0131836,0.0693359,1.09619,-36.125,50.75,-29.75,88,93,74
"44",-3,9,9,-7,-9,-5,-2,-6,-0.347656,0.23877,0.84668,-34.8125,18.3125,13.375,96,107,89,-1,-3,-1,-2,-6,-7,-5,-2,-0.183105,-0.0712891,1.04346,-7.8125,55.5625,-21.4375,87,96,73
"45",-5,-16,-17,-2,-2,-3,-4,1,-0.530273,0.164551,0.983398,11.875,-16.125,-0.1875,96,108,89,-2,-7,1,-8,-23,-20,2,2,-0.263184,-0.0371094,0.953125,-1.75,51.5625,-11.25,87,98,73
"46",5,-5,-4,8,5,7,4,-3,-0.291016,0.200195,1.07422,27.9375,11.1875,-1.4375,97,108,89,0,2,-1,7,23,27,-17,-2,-0.288086,0.0488281,0.926758,-19.5,52.375,-10.9375,87,101,72
"47",-4,-10,-13,-1,0,6,14,2,-0.319336,0.226562,1.00635,67.25,8.4375,-5.75,98,108,89,-2,-1,2,-4,-13,-10,-10,-4,-0.339844,-0.191406,0.934082,-26.6875,29.3125,0.625,86,104,72
"48",-9,11,-9,-1,0,0,-3,-30,-0.286621,0.294434,0.816406,-8.9375,-0.75,3.5625,98,108,89,3,3,3,-7,-18,16,14,5,-0.250977,-0.065918,0.94043,5.125,-15.8125,12.9375,86,104,72
"49",-11,-19,-10,-6,-4,-4,-4,-2,-0.294434,0.301758,0.825195,-41.625,-16.125,11.375,97,107,89,-1,-1,-3,5,2,9,0,0,-0.335449,0.00830078,0.895996,5.8125,-13.4375,6.6875,86,104,73
"50",5,1,-5,-3,-2,2,4,1,-0.269043,0.259277,1.0127,-55.8125,-16.25,7.0625,96,107,89,0,-2,-1,3,-13,-5,-3,-2,-0.251953,-0.163574,1.09717,-9.625,-2.8125,1.4375,86,104,72
