"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.383301","X.0.081543","X0.921387","X113.5","X.44.9375","X.107.438","X94","X105","X65","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.288574","X.0.357422","X0.979492","X.10.25","X7.9375","X2.3125","X79","X102","X85"
"11",1,-5,11,46,19,2,-11,-7,0.52832,0.410156,0.79541,3.3125,-152.25,242.75,106,61,41,-16,-48,-2,-5,-1,-8,0,-8,0.152832,0.158691,1.13525,-77.125,19.5,22.5625,90,78,118
"12",2,-5,7,31,14,-17,1,-4,0.529785,0.149414,0.609863,-54.9375,-214.812,276.5,103,48,45,4,11,-3,-7,-10,-2,-6,6,0.284668,-0.396484,1.2207,-77.75,12.5,33,88,78,118
"13",9,16,33,17,20,-6,-2,-2,0.758301,-0.182617,0.303223,-34.9375,-229.375,285.562,94,30,54,1,-5,-5,-4,-2,1,5,1,0.34082,0.0146484,0.909668,14.0625,5.5,50.75,88,78,120
"14",-1,-8,-9,0,-11,4,46,4,0.827637,-0.19043,0.141602,20.9375,-229.5,269.625,82,21,68,0,10,-1,-5,-2,-9,-4,-2,0.297363,-0.0786133,0.860352,-75.5625,22.8125,21.4375,87,79,120
"15",-13,5,91,1,3,6,-10,-2,0.879883,-0.318848,0.104492,40.9375,-181.375,173,58,19,94,4,36,-1,-8,-4,5,-3,1,0.103516,-0.268555,1.06543,-43.625,22.5625,28.5,84,80,121
"16",22,14,-6,-9,0,1,-9,13,0.956543,-0.483398,-0.00537109,-2.25,-93.0625,101,51,22,102,3,-4,-2,2,0,0,-6,0,0.116211,-0.200195,0.961914,-9.1875,0,34.625,84,81,122
"17",-13,-28,-41,-23,-15,9,-3,16,1.0874,-0.490723,-0.0849609,-10.3125,61.375,-20.125,50,24,102,-10,-29,1,-9,0,1,-7,-7,0.223633,-0.296875,0.916016,-30.875,0.25,7.5,83,81,122
"18",23,2,-11,-8,-13,-8,-8,28,1.14355,-0.432129,-0.0336914,-86.3125,129.75,-90.75,55,22,96,-5,-6,-2,-12,-4,-4,0,-2,0.0800781,-0.305176,0.943359,-21.75,3.6875,-3.6875,82,81,122
"19",13,30,2,3,5,2,3,-29,1.23389,-0.323242,0.217773,-62.625,202.062,-161.188,69,21,78,-4,-8,-7,1,-3,-1,-1,12,0.0283203,-0.21875,0.916992,-11.75,-2.5625,-6,82,81,122
"20",-6,-7,14,24,-3,9,8,-6,1.20361,-0.272949,0.403809,-26.5,239.312,-220.812,81,25,64,9,8,1,7,1,-3,3,3,0.131348,-0.220215,0.942383,-5.625,9.25,-11.625,82,82,122
"21",13,29,23,5,-12,6,11,19,0.932617,-0.0825195,0.560547,21.6875,251.125,-280.75,94,40,49,10,5,0,1,-1,-5,-10,-4,0.217285,-0.213379,0.970703,4.9375,8.75,-7.25,82,82,121
"22",7,-48,-35,-5,-3,2,1,14,0.567383,0.0214844,0.612793,55.4375,230.625,-267.562,99,51,43,-8,-34,0,4,1,0,-8,4,0.238281,-0.265137,0.942383,-5.125,23.25,7.5625,82,82,121
"23",4,6,-24,-20,-8,10,4,12,0.158691,0.289062,0.57373,61.4375,204.438,-225.562,103,69,38,-3,5,-4,-6,-3,-5,-7,1,0.119141,-0.322754,0.977539,-8.4375,24.1875,15.1875,82,83,121
"24",-19,-19,3,-1,-5,7,-18,-28,-0.26123,0.290039,0.611328,58.25,150.062,-155.812,105,79,37,1,6,2,-1,1,1,6,2,0.123535,-0.319336,1.02051,0.25,18.375,7.375,82,84,121
"25",4,32,15,10,24,8,-5,1,-0.0556641,0.488281,0.789062,-21.375,71.9375,-71.0625,105,87,36,-1,3,-2,1,1,6,-1,-1,0.128418,-0.32666,1.01367,-1.8125,18.375,13.1875,82,85,122
"26",-19,-11,-8,-10,-5,-9,-18,44,0.0307617,0.52002,0.934082,0.875,6.9375,-5.75,105,89,36,-1,-4,0,-3,-1,0,-4,-3,0.0561523,-0.36377,1.00879,-10.125,8.625,12.8125,81,86,122
"27",-4,4,-32,-31,-12,3,3,-8,-0.0405273,0.701172,0.925293,9.8125,-5.9375,-1.375,105,89,35,-1,2,-3,-2,-1,-1,-3,-2,0.0419922,-0.316895,1.00781,-1.1875,-10.8125,-1.625,81,86,122
"28",-9,-14,-9,5,3,4,5,-3,-0.0380859,0.558594,0.871582,-33.125,-17.125,14.3125,104,89,35,0,-2,1,2,4,21,3,3,-0.00439453,-0.256348,0.953125,-0.375,-14.875,-11.6875,81,85,122
"29",-2,6,1,-2,-1,0,-2,-7,-0.0424805,0.532227,0.82666,-45.6875,-24.4375,51.125,104,87,36,-4,-3,0,-2,-11,-18,-5,-2,0.0107422,-0.224609,0.937012,-2.125,-7.1875,-14.1875,81,85,122
"30",-6,-18,-5,1,-5,-4,0,-3,-0.065918,0.620117,0.808594,-1.375,-24.5625,76.4375,104,85,37,-4,-9,0,-1,7,0,4,0,0.0991211,-0.291016,0.893555,6.5625,4.125,-11.4375,81,84,121
"31",-6,-1,-2,-1,1,-1,-5,2,0.0390625,0.492676,0.77832,-19.25,8.5,123.312,103,82,40,-3,-2,-2,-2,13,0,-1,-1,0.128906,-0.319824,0.769531,76.1875,13.0625,-1.0625,83,84,121
"32",-18,1,2,0,1,3,-1,-1,0.130371,0.456543,0.789062,-24.6875,68.8125,155.5,102,81,44,-1,-6,-4,-3,-2,-3,1,0,0.171387,-0.143066,1.02832,-2.9375,23,8.125,84,85,121
"33",-7,3,12,22,10,8,-4,-6,0.268066,0.26416,0.939453,-58.5625,113.375,171.062,100,83,50,3,9,3,1,9,2,-1,-1,0.0839844,-0.388184,1.09912,-19.0625,7.75,11.8125,83,86,121
"34",9,5,2,2,5,-1,-3,-4,0.0844727,0.20752,0.986328,-61.375,108.438,151.812,98,85,54,-2,-4,-7,-7,-4,-6,0,-3,-0.0175781,-0.387695,1.04736,7.625,-18.375,-20.9375,83,85,121
"35",-7,1,-2,2,0,-8,-7,-5,0.229004,0.148926,1.08887,-6.875,107.062,149.438,97,88,59,-3,-2,-10,3,-3,-17,-5,-2,-0.0722656,-0.339355,0.985352,-11.0625,-30.9375,-52.8125,83,84,120
"36",-20,-21,-11,-15,-7,-4,2,-7,0.0356445,0.135742,1.06787,-29.3125,111.125,116.188,96,91,62,-8,18,5,5,-11,-3,-1,-6,-0.0649414,-0.353516,0.965332,5,-31.625,-96.25,82,82,118
"37",16,17,20,9,5,10,0,2,-0.196777,0.144043,1.01562,-33.375,98.0625,72.4375,96,96,65,-1,1,3,0,-1,-2,-9,-5,0.137695,-0.274414,0.945801,-29.8125,-12.4375,-140.125,83,79,115
"38",-2,0,-2,-8,-2,-2,1,-1,-0.317383,0.0908203,1.01221,-59.1875,61.5,77.375,95,99,67,2,4,-1,-4,-3,-3,-7,-3,0.158203,-0.365234,0.890137,1.75,17.6875,-152.75,83,78,111
"39",6,-10,-19,-7,-5,-2,-1,13,-0.26709,0.0771484,0.946777,-67.875,24.8125,36,93,101,69,0,1,-1,0,-1,-2,0,-1,0.300781,-0.206543,0.871094,32.375,43.875,-168,84,78,108
"40",6,19,-6,-10,3,2,1,-4,-0.236328,-0.0327148,1.00049,-66.75,6.875,22.25,91,101,70,2,1,1,1,7,-7,4,0,0.402832,-0.146484,0.950684,-24.25,99.5625,-204.062,85,81,102
"41",-6,-3,9,1,-3,-17,-12,-2,-0.295898,-0.130859,1.1499,-19.1875,-18.6875,11.375,90,101,70,-2,2,1,-1,-29,-15,13,1,0.259277,-0.00634766,1.05908,-14.375,135.625,-173.125,85,86,96
"42",3,2,-1,-3,-9,-17,-9,-9,-0.0917969,0.100098,1.08887,-21.25,-1.125,-3.1875,90,100,70,-1,1,1,6,18,22,6,-2,-0.0976562,0.0913086,1.07129,-13.1875,135.25,-149.688,85,91,92
"43",-7,-3,1,1,0,7,-10,-13,-0.252441,-0.0908203,1.0293,5.6875,-2.75,-1.0625,90,100,70,2,6,7,6,1,3,-8,-1,-0.335938,-0.199219,1.00293,-18.125,92.9375,-108.188,84,96,88
"44",-12,-2,1,-2,-1,-1,0,-4,-0.19873,0.0561523,1.00977,22.75,-1.9375,-6.8125,90,100,70,2,-1,2,0,-12,10,19,9,-0.449707,0.0893555,0.971191,40.4375,54.5,-70.0625,85,99,86
"45",-1,0,3,0,-1,-3,3,11,-0.166016,0.015625,1.02637,7.9375,1,-4.75,90,100,70,-4,-6,-4,-2,-17,-10,3,-5,-0.321777,-0.133301,0.964844,21.1875,24,-40.875,85,101,85
"46",8,-5,-4,-2,-1,20,8,6,-0.150879,0.00927734,1.02148,9.1875,-0.3125,-1.625,91,100,70,-1,-8,-2,-3,-17,9,-10,0,-0.314941,0.0136719,0.930664,36.0625,8,-15.4375,86,102,84
"47",-8,-8,-4,-1,-1,-7,17,7,-0.168945,0.0244141,1.00928,-5.75,-3.9375,3.1875,91,100,70,1,2,-2,-3,-14,10,14,2,-0.291992,0.0810547,1.0166,11.125,2,4.625,87,102,84
"48",3,4,1,-1,0,0,-15,13,-0.165527,0.00585938,1.01416,-14.25,-4.5,2.8125,90,99,70,1,-12,-1,-4,-13,-33,1,5,-0.203613,-0.145996,1.06592,-40.375,0.75,14.4375,86,102,84
"49",0,3,4,2,0,8,-5,0,-0.151367,0.0258789,1.01904,-1.5625,-3.25,2.25,90,99,70,-10,-58,-11,-5,-11,3,19,1,-0.213867,-0.28125,1.02783,-7.75,-9.4375,-2.8125,86,102,84
"50",-1,0,3,1,-2,-5,7,3,-0.166992,0.0249023,1.02588,-5,-1.4375,0.5625,90,99,70,1,3,2,1,-8,3,3,-1,-0.247559,-0.0786133,1.04102,21.0625,-5.4375,-6.75,86,101,84
