"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.675293","X.0.282715","X0.760254","X.11.6875","X.19","X6.75","X81","X127","X58","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.304688","X.0.204102","X1.02783","X.8.125","X.1.125","X.0.4375","X85","X101","X83"
"11",0,27,-10,-21,-15,-5,-31,-12,-0.246582,-0.476074,0.853516,-38.6875,-27.3125,-35.3125,75,104,60,-90,-36,-36,-36,28,-15,27,-44,-0.236328,-0.136719,0.388184,49.75,71.875,-6.25,89,39,110
"12",2,75,-11,13,19,-71,22,19,-0.222168,-0.590332,0.921875,-23.5,-24.875,-44.9375,74,102,59,104,44,16,7,1,38,-17,33,-0.495117,0.726074,0.481445,76.8125,155.25,-50,92,44,109
"13",-7,-101,-22,2,6,-8,-2,-1,0.0141602,-1.23389,0.719238,-54.125,-84.875,-80.5,72,96,58,4,-47,2,-7,2,6,28,36,0.366699,0.210938,0.759766,123.75,270.25,-183.375,97,60,106
"14",-6,-17,-14,-8,-4,-5,-22,-35,-1.33057,-0.37207,0.522949,195.5,45.875,143.562,74,102,59,51,21,5,-15,-11,19,2,-11,1.10742,0.340332,1.32812,99.6875,270.688,-206.312,100,72,103
"15",-4,-110,39,-42,-16,-2,-5,2,0.10498,-1.41064,1.26172,34.25,-14.25,-3.9375,70,100,59,1,-20,-5,-4,-5,50,16,32,0.441406,0.66748,1.63623,27.1875,79.3125,-77,102,82,102
"16",2,4,-13,14,2,5,-3,-7,-0.0302734,-0.309082,0.996582,113.5,4.6875,23.375,73,101,60,-1,3,-7,-10,-19,-26,-26,-30,0.38916,0.515625,1.47705,-13.9375,-16.375,-44.0625,102,83,101
"17",-22,-7,1,-20,-14,-21,-25,5,-0.0429688,-0.48584,0.916504,49.25,-14.875,3.3125,74,100,60,-22,20,0,-4,20,63,-13,-71,0.319824,0.36377,1.05518,-61.75,-94.8125,-45.1875,101,79,99
"18",20,17,17,-15,3,15,-8,-3,-0.222168,-0.547363,0.860352,68.625,-7.875,-23.5,76,99,60,38,22,10,3,-2,-27,3,-16,0.304688,0.0786133,0.819336,-102,-92.5625,-31.9375,98,75,97
"19",-72,18,-14,12,-12,4,9,30,-0.438477,-0.290039,1.08643,117.688,-16.375,8,79,99,59,11,-14,-5,-3,-8,-3,2,-10,0.387207,0.273438,0.744141,-44.5625,-50.5625,9.3125,97,72,96
"20",-100,-18,26,13,-10,-3,-1,-41,-0.119629,-0.243652,1.07568,38.8125,-70.0625,-28.0625,80,97,60,-9,-4,2,-5,-30,-2,2,19,0.251953,0.256348,0.759277,-55.0625,14.4375,3.6875,96,71,97
"21",-104,-5,-4,-23,-16,-12,-13,-54,-0.125488,-0.546875,0.929688,28.9375,-93.4375,-58.375,80,91,59,-4,-11,0,3,-14,-59,6,-14,0.325195,0.240234,0.642578,-33.1875,77.75,6.875,95,73,97
"22",-12,-23,-18,-3,-4,8,-61,-21,0.0541992,-0.21875,0.858398,0.1875,-48.9375,-1.625,81,87,59,-54,22,-9,-3,-42,-35,-25,13,0.286621,0.140625,0.686523,-22.5625,182.812,-16.4375,94,82,97
"23",-52,-21,-4,17,-7,17,-21,-33,-0.0600586,-0.0791016,0.791016,10.4375,-11.0625,-4.25,81,86,59,-35,-36,-6,-12,-4,-20,9,-10,0.0429688,-0.0883789,0.450195,-21.3125,302.438,31.25,94,92,99
