"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.425781","X0.0991211","X1.02979","X.29","X.186.938","X7.125","X83","X67","X73","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.173828","X.0.114746","X1.02295","X6.375","X.6.1875","X.0.625","X86","X97","X81"
"27",-1,-30,-41,-1,-3,0,2,7,0.398926,-0.0732422,1.04199,89.25,191.438,-2.4375,84,73,79,-50,41,3,11,83,52,8,-43,0.850098,0.3125,0.270508,-64.9375,-160.125,-151.312,105,27,70
"28",-1,23,56,-1,-6,-12,-2,-6,0.09375,-0.160645,1.06689,80.5,161.812,4.125,86,79,78,-38,-14,-6,2,-71,-57,11,23,0.80127,0.528809,0.000976562,-39.75,-134.625,-145.312,113,26,60
"29",-14,-11,-5,-22,-4,3,5,-1,0.00341797,0.0136719,1.1543,55.25,111.375,2.1875,88,87,78,-6,-55,7,5,11,30,-4,-81,0.777344,0.57373,0.0195312,-14.125,-41.125,-61.4375,120,28,51
"30",-19,-41,-59,-11,-2,-4,-11,-11,-0.125488,-0.0791016,1.0332,13.5,77.9375,5.75,88,91,78,1,0,0,0,10,-6,3,18,0.816406,0.507812,0.0556641,13.375,58.0625,35.75,119,28,53
"31",5,-12,-26,0,-4,-4,-11,-1,-0.164551,-0.0117188,1.04199,17.4375,48.0625,14.0625,89,94,78,1,-8,2,11,13,0,-14,-1,0.794434,0.460938,0.097168,28.6875,82.5625,47.5625,117,28,56
"32",-15,-3,-3,-2,3,3,2,0,-0.174316,0.0146484,0.989258,13,34.4375,13.9375,89,96,78,-1,-3,1,4,-2,5,-2,4,0.799805,0.394043,0.245117,43.875,95.1875,50.25,114,30,61
"33",-17,-21,-7,-6,-5,8,4,-14,-0.289551,-0.289062,1.19092,12.4375,-15.625,11.25,89,97,79,-2,-3,-3,-4,-2,0,-5,-3,0.905273,0.327637,0.35498,17.625,114.375,27.25,109,33,67
"34",-30,-25,-25,-3,0,-3,-4,-3,-0.0805664,-0.11084,1.00439,-57.9375,9.3125,-2.0625,89,97,79,-2,-2,0,-1,0,-15,-7,-4,0.806641,0.291016,0.438965,-3.5625,162.812,29.8125,106,37,71
"35",13,5,13,4,3,1,5,4,-0.117188,-0.125488,1.08984,21.3125,14.875,0.9375,88,97,79,-3,-2,-2,6,19,8,-4,1,0.72998,0.237793,0.509766,-32.9375,188.188,19.3125,103,42,75
"36",-5,-23,-21,-3,-3,-16,-4,-6,-0.0830078,-0.000976562,1.04688,23.125,14.75,-0.875,89,98,78,-2,-1,-1,-3,-6,-4,-6,0,0.584961,0.214844,0.727051,-58.625,225.5,9.375,99,54,79
"37",21,21,9,1,0,-2,5,5,-0.143555,0.0263672,0.981445,2.4375,11.1875,0.5,89,99,78,4,1,2,12,85,30,11,5,0.371094,0.208008,0.927734,-93.25,190.5,-18.4375,96,66,80
"38",2,2,2,-2,-1,-5,0,9,-0.125,0.0185547,1.00098,3.0625,5.8125,5.875,90,99,79,0,-3,2,9,54,-4,1,0,0.20459,0.145996,1.07227,-83.875,152.688,-4.6875,94,72,80
"39",-15,-10,0,-3,-4,-2,-5,2,-0.119141,0.00634766,0.995605,7.75,4.875,-0.6875,90,99,79,0,4,5,-2,-27,-12,-11,-4,0.117188,0.0952148,1.07324,-36,125.312,4.375,92,80,81
"40",7,7,-2,-4,0,11,1,-5,-0.161133,-0.00244141,0.981934,11.4375,1.0625,-0.125,90,99,79,0,10,2,-5,-4,23,-5,1,-0.0678711,0.142578,0.992676,-50.375,100.625,-1.4375,91,85,81
"41",6,6,-2,0,1,-5,-3,-7,-0.14209,-0.00537109,0.995117,5.125,-1,0,90,99,79,0,0,-2,0,62,32,-6,-3,-0.0415039,-0.00488281,1.07959,-17.5,68.6875,0.6875,90,90,81
"42",4,2,0,-2,-3,0,6,31,-0.148926,0.0151367,0.996094,-4.375,-2.5,1.4375,90,99,79,-3,-2,10,5,-21,12,-5,-1,-0.0673828,-0.0869141,0.999512,-13.625,60.375,-7.5625,90,92,81
"43",11,6,1,-1,0,5,-3,-1,-0.14502,0.00195312,1.00635,-7.0625,-3.375,1.3125,90,99,79,-3,6,-9,-11,5,-32,-8,-4,-0.591797,0.254395,1.5708,-36.375,-10.625,-31.9375,90,95,81
"44",6,-11,-4,-4,-2,2,1,10,-0.144043,0.0146484,1.01904,-2.0625,-3.125,0.875,90,98,79,0,7,-1,-2,-5,-9,3,1,0.0366211,-0.220703,1.23242,-12,0.125,9.75,89,94,81
"45",-6,-2,-2,-1,1,-4,-1,-15,-0.134277,0.00292969,1.03174,-3.25,-2.9375,-1.375,90,98,79,1,-3,3,3,-3,-2,2,-1,-0.125,0.0810547,0.999023,-35.9375,13.5625,-5.625,90,95,81
"46",-8,5,-1,2,0,2,4,-7,-0.14209,-0.000976562,1.02734,2,-0.0625,-0.875,90,98,79,-2,-1,1,3,13,15,5,-1,-0.133789,-0.00195312,1.01807,-1.875,3.625,-5.5,89,96,81
"47",0,-3,-2,-2,-4,-6,-4,-1,-0.13623,-0.00341797,1.00195,-0.8125,-0.375,-1.3125,90,98,79,-3,-1,0,-1,-23,-7,5,-1,-0.0522461,-0.0556641,1.05469,11.125,3.375,-5.8125,89,96,81
"48",11,-5,-3,-4,-3,2,1,8,-0.141602,-0.00439453,1.00586,1.125,-0.8125,-0.375,90,98,79,1,1,-2,2,3,-7,-3,-2,-0.0888672,-0.0229492,1.04443,-5.5,8.125,-3.1875,89,96,80
"49",2,2,0,-2,0,-2,5,6,-0.138672,0.00439453,1.01514,-0.9375,-1.3125,-0.125,90,98,79,-1,0,1,1,1,17,7,0,-0.137207,-0.0141602,1.01074,-12,7.625,3.9375,89,96,81
"50",7,14,4,5,3,0,3,-20,-0.128906,0.000976562,1.02295,-3.75,-0.625,-0.6875,90,98,79,0,0,0,-4,-9,3,1,3,-0.126953,-0.0634766,1.01562,-19.1875,4.8125,0,88,97,81
