"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.231934","X.0.541016","X1.17822","X.60.5625","X.178.125","X.118.688","X85","X95","X64","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.252441","X.0.104492","X0.974121","X.1.9375","X0.6875","X0.8","X86","X104","X84"
"1",0,0,0,0,0,0,0,0,0.575684,-0.258789,1.17578,-26.4375,-181.5,-204.812,84,82,59,0,0,0,0,0,0,0,0,-0.256836,-0.123047,1.04053,-18.625,6.25,-1.625,85,104,84
"2",0,0,0,0,0,0,0,0,0.647949,-0.157227,1.1792,-18.4375,-164.875,-227.438,84,78,57,0,0,0,0,0,0,0,0,-0.267578,-0.179688,1.03809,-24.3125,11.9375,-1.125,85,104,84
"3",4,-4,-1,4,3,0,3,1,0.674805,-0.0288086,1.10889,1.875,-117.938,-244.75,86,67,51,-1,4,-4,-3,-11,-2,2,-1,-0.801758,-0.376953,0.674316,51.5,10.0625,32.8125,86,107,84
"4",-3,11,13,3,19,8,0,2,0.333496,0.257324,0.98291,55.0625,-80.5625,-199.688,91,62,43,4,-9,6,12,5,5,18,3,-0.597656,0.0620117,0.692383,25.75,-8.8125,26.9375,87,107,85
"5",0,-1,-20,10,-3,-2,-2,-3,-0.119629,0.543457,0.991211,75.1875,-87.875,-91.4375,95,59,38,12,5,9,12,2,0,18,7,-0.550293,0.194824,0.828613,11.3125,-57.625,78,88,106,87
"6",-7,0,-11,24,-77,-4,1,-3,-0.1875,0.57959,0.98584,70.5625,-103.688,24.75,98,56,37,-3,5,12,-4,2,3,-15,-11,-0.0947266,0.276367,1.1875,-12.3125,-97.3125,105.688,89,102,90
"7",-14,-10,2,-11,-11,18,24,6,0.827637,-0.384277,0.460449,208.938,-98.5,320.625,92,34,58,3,-5,0,-1,-2,-1,-6,1,0.102539,-0.0107422,1.25244,-20.1875,-90.125,141.938,89,98,93
"8",12,-1,12,13,14,17,1,1,1.03564,-0.495605,-0.105469,167.875,-59.5625,279.312,82,30,77,21,12,8,8,3,-7,-4,0,0.19873,-0.0839844,1.14355,4.25,-92.375,141,89,92,97
"9",8,-7,-34,-35,-24,-68,5,5,0.993652,-1.0166,0.0712891,50.3125,-37.625,141.062,77,31,84,7,2,3,7,-16,2,10,0,0.104492,-0.32666,1.12354,-24.8125,-94.9375,117.375,89,88,100
"10",3,21,8,-12,-7,-1,-2,5,1.07373,-0.674316,0.288086,-24.1875,22.5625,-32.3125,74,31,87,-8,-59,11,11,14,17,13,0,-0.14502,-0.4375,0.992188,-12.625,-82.8125,80.8125,88,83,103
