"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.185059","X0.0864258","X0.977051","X5.75","X.0.75","X0.1875","X92","X101","X78","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.242676","X.0.0214844","X0.901367","X11.1875","X1.0625","X.2.875","X85","X99","X78"
"18",2,-2,-5,-3,-2,-2,-1,6,-0.192871,0.0844727,0.994629,-7.25,2.75,1.0625,92,101,78,38,8,6,10,-12,25,-27,-9,0.935059,-0.469238,0.689941,-0.9375,-64.25,-103,75,49,114
"19",-11,-4,-2,-2,-1,-1,-2,-4,-0.197754,0.0917969,0.988281,0,0.4375,1.125,92,101,78,27,-16,-6,-9,-23,-29,-18,-23,1.18457,-0.5,0.553711,-16.375,-51.75,-87.3125,76,42,111
"20",4,4,0,-2,-3,-1,0,-2,-0.208008,0.0991211,0.995605,-0.9375,-0.375,0.4375,92,101,78,32,6,5,10,19,-23,33,18,1.25537,-0.448242,0.441895,-28.25,-28.25,-16.5625,75,38,111
"21",-4,-6,-2,-1,-1,-1,-1,1,-0.192871,0.0986328,1.00049,-0.8125,0.3125,-1.125,92,101,78,54,-5,8,1,-10,-19,-22,-14,1.0498,-0.375,0.436523,-10.4375,-11.375,37.3125,73,37,112
"22",0,3,-2,-1,-2,0,-1,-2,-0.194824,0.081543,0.99707,2.4375,-0.125,-1.6875,92,101,78,66,2,2,0,2,23,-4,1,0.630859,-0.270508,0.444824,7.375,21.1875,66.4375,72,40,114
"23",-28,-13,-4,-2,-2,-2,-4,-4,-0.206055,0.0942383,1.01611,6.4375,-0.625,-2.375,92,101,78,-44,6,-16,-1,-16,9,6,-8,0.369629,-0.223145,0.45752,21.8125,27.9375,66.5,72,42,115
"24",1,-3,-1,0,1,-1,-2,-3,-0.189453,0.0756836,1.00439,6.8125,1.375,-1.8125,92,101,78,-44,-2,-8,-16,8,11,-5,-19,0.246094,-0.270508,0.510254,45.375,41.25,43.4375,72,47,116
"25",6,-2,-1,0,0,-1,-1,-2,-0.200195,0.0883789,0.976562,4.75,0.25,-1,92,101,78,24,-5,16,30,-21,-33,-16,0,0.289062,-0.297852,0.632324,62.6875,40.125,27.4375,73,49,116
"26",0,-2,-2,-1,-2,-1,-1,4,-0.21875,0.0913086,0.986816,-1.1875,-2.0625,0.5625,92,101,78,-27,35,25,22,44,-21,1,7,0.447266,-0.389648,0.812988,62.4375,-2.5,-20.75,76,51,116
"27",0,-4,-4,-2,-2,-2,-1,-2,-0.209473,0.0830078,1.01953,-6.3125,-1.1875,1.1875,92,101,78,51,-22,-7,-2,-21,-20,3,7,0.675781,-0.389648,0.840332,35.125,-48.5625,-56.375,77,49,115
"28",6,1,0,-1,-1,-1,0,-3,-0.186523,0.0869141,1.01025,-1.5,1.3125,2.375,92,101,78,44,-39,-16,-8,13,9,-1,-9,1.0708,-0.460938,0.769531,-9.6875,-73.8125,-92,78,43,113
"29",-7,-5,-2,-4,1,-1,0,1,-0.199707,0.105957,0.996094,-2.5625,2.0625,2.1875,92,101,78,-38,5,2,7,-13,17,-9,-9,1.24756,-0.416992,0.622559,-46.0625,-71.9375,-70.75,78,39,112
"30",-1,-2,-2,0,-1,-2,0,-3,-0.203613,0.0932617,0.986328,-3.875,1,1.3125,92,101,78,11,-26,-4,-3,14,5,-20,-6,1.20215,-0.374023,0.397461,-60.0625,-38.5625,6.4375,76,34,112
"31",1,0,1,-1,-1,-2,0,-1,-0.210938,0.107422,0.984375,-2.5625,0.1875,0.625,92,101,78,-20,13,2,-5,-9,5,17,12,1.05566,-0.352539,0.342773,-38.5625,-5.875,30.75,74,34,114
"32",0,-5,-1,-3,-2,0,-2,-1,-0.187012,0.0839844,0.996582,-1.375,-2.6875,-2.0625,92,101,78,8,-14,-4,-11,-1,23,6,-8,0.811523,-0.248535,0.376465,-8.8125,35.1875,60.625,72,36,116
"33",6,4,-1,1,-1,-2,-1,0,-0.191895,0.0878906,1.02002,9.75,-1.75,-2.625,92,101,78,50,-13,-1,-5,23,-3,6,5,0.524902,-0.250488,0.464844,1.0625,55.25,73.3125,71,41,117
"34",2,1,-2,-3,-1,0,-1,-1,-0.219238,0.074707,1.01221,3.75,2.25,-1.75,92,101,78,-20,0,-2,3,-2,21,10,10,0.381836,-0.229492,0.530273,24,64.125,72,71,45,117
