"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.148438","X0.203125","X0.955566","X15.8125","X.142.75","X.168.562","X96","X87","X50","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.269043","X.0.251953","X0.996094","X.2","X1.25","X2.5","X82","X103","X84"
"27",-14,1,-13,-6,-14,-25,-21,-4,0.110352,0.5625,0.919922,-16.625,-6.75,34.5625,107,87,34,1,-2,-1,0,-2,-7,-9,-2,0.0742188,-0.409668,1.03467,2.8125,21.125,18.5625,79,86,124
"28",24,24,48,-3,-7,34,8,2,0.0332031,0.62793,0.854492,1.625,-2.875,-19.6875,107,86,34,-5,8,-4,1,-1,-5,-10,18,0.0776367,-0.481934,1.02588,7.1875,13,15.75,79,86,125
"29",14,5,11,-3,5,9,-2,-14,0.0234375,0.564941,0.832031,-8.5625,-1.5625,0.75,107,86,34,-6,-5,-1,-1,0,-5,4,7,-0.00390625,-0.348145,0.979004,3.0625,13.75,4.375,79,87,125
"30",-5,-11,7,-5,-12,-72,-5,7,0.0693359,0.532227,0.825684,-7.75,-0.875,-8,106,86,33,0,0,0,0,-8,1,-3,-45,-0.0229492,-0.347168,0.947754,16.4375,25.3125,8.1875,79,89,125
"31",4,-24,-15,10,4,18,-8,8,0.0541992,0.560547,0.841309,-7.1875,2.125,6.8125,106,86,34,1,-2,1,6,16,9,1,-3,-0.078125,-0.258301,0.990234,-5.5625,21.875,1.375,80,90,125
"32",-14,-9,-30,2,-2,5,-9,-4,0.0415039,0.546875,0.853516,0.0625,-0.3125,6.375,106,86,34,6,-5,-11,-9,-16,-70,5,2,0.372559,-0.504395,0.212891,398.75,34.375,-106.938,83,91,123
"33",-8,5,21,-4,-1,4,1,-3,-0.0371094,0.666504,0.797363,-24.3125,2.4375,48.4375,106,86,34,-11,-18,-1,-2,-6,30,10,-3,0.247559,-0.0219727,0.817383,-152.25,5.8125,75.4375,83,92,124
"34",3,15,15,0,1,6,0,-3,-0.168945,0.464355,0.757812,-38.6875,25.1875,92.5,105,85,36,-1,-5,3,2,-11,-15,-2,10,-0.181152,-0.625,1.16064,22.375,26.625,-32.5625,81,93,124
"35",5,-5,7,1,3,1,1,0,0.100098,0.81543,0.647461,61.0625,94.0625,172.625,106,84,41,-1,-14,-4,-1,12,8,5,1,-0.0234375,-0.307129,0.883789,29.625,-9,21.3125,82,93,124
"36",-2,3,4,0,-1,2,-3,-2,0.0820312,0.559082,0.72168,-31.875,146.062,187.5,106,84,45,-3,-5,2,2,2,5,-7,-2,-0.0078125,-0.344727,1.02539,-18.125,8.875,0.5625,81,93,125
"37",-20,-46,-21,-9,-5,-6,-6,8,0.151855,0.268555,0.92041,-53.8125,191.688,185.188,104,88,53,4,-4,-1,-1,-14,-29,-6,13,-0.0307617,-0.349609,0.955566,-27.8125,-6.75,1.8125,80,93,124
"38",25,0,-6,3,8,13,5,6,-0.090332,0.16748,0.975098,-48.125,203,157.188,102,94,60,-1,3,5,6,34,31,22,24,-0.00830078,-0.361328,0.993652,-5.75,-1.9375,4.75,80,92,125
"39",15,28,-2,16,12,-6,-1,-6,-0.376465,0.181152,0.998535,-31.25,155.375,105,102,98,64,-2,-4,-4,-3,-4,-10,0,-10,-0.0292969,-0.385742,0.963379,5.5,-3.625,-0.5625,80,92,124
"40",4,-2,-25,-1,-5,-4,1,-2,-0.282715,0.276855,1.07812,-72.875,74.3125,51.1875,101,102,67,1,7,2,0,0,-1,-1,7,-0.0141602,-0.374023,0.992676,10.75,-0.4375,4.3125,80,92,125
"41",5,-23,-10,-6,-6,-4,-4,1,-0.276367,0.195312,1.03955,-60.625,34.75,39.75,99,103,68,-2,-6,-9,0,-20,10,1,-1,-0.0893555,-0.42041,1.05078,12.375,-0.5,11.625,81,92,125
"42",-6,-9,-17,-3,1,-5,-4,-1,-0.258301,0.213379,0.927246,-103.375,23.375,31.5625,97,104,69,9,11,15,-7,5,1,-1,-2,-0.331543,-0.437988,1.0835,-9.375,-12.4375,-44.375,80,92,124
"43",27,-5,-20,0,0,4,9,14,-0.388184,0.152344,0.980957,-64.9375,-36.0625,16.625,95,104,70,-1,-4,-6,-7,10,-3,5,3,-0.269531,-0.503906,0.98291,8.5625,-77.75,-150.438,80,87,122
"44",1,-4,-7,-3,-1,-3,-12,-1,-0.276367,0.182617,1.04883,-81.6875,-12.3125,9.125,93,103,70,0,10,2,-3,-4,-6,1,-4,-0.0952148,-0.157227,0.807617,0.875,-83.4375,-191.75,81,82,119
"45",4,9,13,3,2,2,-1,-8,-0.26123,0.101562,1.05566,19,-4.5,4.375,92,103,70,0,-3,-3,-1,2,1,-5,-2,0.347168,-0.413574,0.760254,-37.5,-14.4375,-192.562,80,75,113
"46",-4,-2,-3,-1,-3,1,-6,2,-0.222656,0.115234,0.990234,25,-2.4375,-5.4375,93,103,70,-2,-3,-2,-1,-2,-12,-1,-2,0.506836,-0.266113,0.687012,-21.0625,76.9375,-225.875,81,75,109
"47",3,3,0,-2,-3,4,-3,1,-0.198242,0.133789,0.958496,11.625,-7.0625,-4.1875,93,103,70,-3,-8,-5,-1,-3,0,-6,-2,0.509277,-0.210938,0.953613,-65.3125,186,-234.938,81,79,100
"48",6,7,7,0,0,4,2,-2,-0.211914,0.097168,0.974609,-20.5,-11.875,-3.0625,93,102,70,-4,0,-3,-5,-12,-32,0,-4,-0.0883789,-0.0478516,0.904785,31,215.938,-153.812,81,89,93
"49",2,-2,0,-3,-2,6,1,1,-0.195801,0.102051,1.01172,14.875,-11.8125,0.4375,93,101,70,1,4,4,3,-24,13,9,5,-0.245605,0.194336,1.15723,5.6875,167.188,-117.25,82,95,90
"50",3,2,-2,-2,-1,5,-2,-1,-0.212891,0.169922,1.02588,-0.3125,-8.75,-0.75,93,101,70,0,2,2,-3,11,4,1,-1,-0.435059,-0.279785,1.09033,-11.4375,91.5,-46,80,101,87
