"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.105469","X0.160645","X1.15674","X11.25","X18.875","X.23","X89","X94","X72","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.298828","X.0.146484","X0.932617","X4.5","X.2.25","X5.1875","X84","X106","X85"
"19",15,16,-17,45,37,75,2,15,0.69873,0.0810547,0.553223,-75.25,28.5,10.3125,96,39,54,55,-18,3,2,7,-22,-34,-46,0.358887,-0.524902,0.587402,114.875,12.75,-0.8125,67,67,110
"20",-42,-79,-65,4,6,101,-21,-90,0.563477,-0.0341797,0.657227,-72.5625,20.9375,-3.8125,94,41,54,-33,5,2,7,3,28,8,80,0.538086,-0.546875,0.738281,120.562,-40.4375,10.125,70,67,111
"21",6,-86,-81,7,6,-23,2,21,0.827637,0.0498047,0.65918,-31.75,-16.5625,-3.9375,92,40,54,1,39,-22,-86,-32,-32,-14,-10,0.64502,-0.390137,0.848633,132.625,-68,9.9375,74,64,113
"22",-7,-77,-43,-5,2,21,-15,-5,0.729492,0.101074,0.624512,-50.5625,-2.375,-0.5625,91,40,54,-3,-24,-30,-70,-90,31,15,-14,0.553711,-0.413086,0.775879,138.75,-117.625,-8.75,76,60,114
"23",-16,64,99,-30,-17,-105,-25,-80,0.842285,0.130859,0.762695,-29.5,8.5625,5.625,91,40,54,50,13,-13,-19,-128,-54,-4,38,0.743164,-0.439453,0.724121,142.5,-125.875,-50.375,78,55,114
"24",-24,-67,12,-19,-18,-33,12,3,0.631836,0.151367,0.730957,-11,3.1875,44.5625,90,41,55,-9,0,-28,-44,-91,19,-9,-1,0.842773,-0.324219,0.879395,115.875,-92.125,-83.875,83,47,112
"25",2,15,31,23,3,-111,-5,46,0.381348,-0.229492,0.781738,18.125,1.25,38.8125,88,42,57,14,5,13,37,-103,-5,-11,4,0.76123,0.235352,0.806641,69.0625,-96.5625,-26.3125,87,42,111
"26",-3,9,7,7,15,-107,-49,-104,0.788574,0.133789,0.685059,31.0625,-21.0625,-30.125,90,41,56,-5,-27,-12,70,72,0,39,15,0.881836,-0.416016,0.84082,24.25,-49.6875,17.75,87,40,112
"27",-9,-30,-33,-38,-19,116,0,43,0.976074,0.149414,0.603516,-1.875,2.5,-2.0625,90,40,56,1,6,18,-12,-128,17,-69,-21,0.837891,0.171875,0.630371,36,-31,43.25,87,38,113
"28",-16,-31,-78,-27,-13,5,-9,-6,0.707031,-0.0888672,0.691895,-2.75,36.3125,17.8125,90,42,57,-1,1,10,7,18,76,-2,24,1.10254,-0.109863,0.315918,-71.5,16.75,22.75,85,37,114
"29",-13,33,-31,10,13,49,-26,-46,0.782715,-0.138672,0.676758,6.8125,8.75,-5.5625,89,43,57,10,21,7,29,58,-97,25,55,0.117188,-0.427246,1.05127,-186.125,64.8125,-51.5625,83,42,112
"30",-2,-27,-30,-5,-9,17,-1,-20,0.78418,0.0473633,0.669434,10.75,-0.4375,-1.3125,90,42,57,-3,-9,-2,-5,-14,-47,-35,-18,0.819336,-0.544922,0.632812,38.1875,21.0625,-3.1875,82,44,111
"31",0,-14,-22,-4,0,2,-1,-7,0.666504,-0.0185547,0.686035,1.3125,1.6875,-1.5,90,43,57,18,-3,28,4,0,25,6,30,0.80127,-0.263184,0.76709,-50.25,23.0625,-14.6875,82,45,111
"32",19,4,-13,5,9,6,-13,14,0.668457,0.0141602,0.669434,6.5,5.4375,3.5,90,43,57,9,-2,-3,-2,13,27,18,5,0.721191,-0.307129,0.674316,33.125,20.4375,20.5625,81,47,111
"33",3,-5,-1,0,0,3,5,2,0.551758,0.0336914,0.633301,14.9375,31.125,23.3125,90,44,58,2,0,3,1,5,-8,0,-5,0.704102,0.0112305,0.670898,3.5625,4.125,2.0625,82,47,111
"34",-9,-21,-30,-3,-2,-2,-7,5,0.512695,0.0830078,0.652832,14.8125,53.1875,29.6875,90,46,59,2,-9,3,2,2,4,4,2,0.655762,-0.353027,0.678223,-1.5625,4.0625,7.4375,81,47,111
"35",-7,-3,9,4,-4,0,2,3,0.439453,0.0966797,0.698242,0.625,83.625,61,89,51,60,0,0,1,-1,15,0,1,7,0.546875,-0.212402,0.670898,1.25,8.1875,-8.25,81,47,111
