"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.17627","X0.0273438","X1.10889","X14.125","X13.875","X3.4375","X91","X100","X84","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.338379","X.0.338867","X1.02441","X.18.3125","X.6","X.9.5625","X82","X103","X76"
"38",0,-2,0,0,1,30,5,-14,-0.154785,0.03125,1.13428,-19.6875,-5.9375,4.5625,93,101,84,-1,-3,-2,-5,19,-23,1,-2,-0.765625,-0.379395,0.0766602,131.625,79.5625,-116.75,85,94,81
"39",0,-1,0,0,-3,-9,-3,-1,-0.21875,0.12207,1.05127,-8.125,0.875,0.6875,92,101,84,-4,-1,-3,-7,-4,13,21,42,-0.401855,-0.00732422,0.961914,89.9375,50.5,-49.625,88,98,78
"40",2,0,0,0,-3,-3,-6,23,-0.174805,0.144531,0.933594,-7.4375,-2.875,-2.1875,92,101,84,-5,0,0,1,-7,-26,-13,4,-0.226074,0.175781,1.26709,-36.4375,78.5625,-26.875,89,102,77
"41",-1,-2,-2,-4,0,8,11,-4,-0.214844,0.0766602,0.971191,-2.1875,-7.375,0,92,100,84,-5,-2,0,0,0,-15,-26,0,-0.206055,-0.240234,1.15625,-60.625,45.75,12.4375,88,104,77
"42",-6,-5,-3,-3,0,-20,-12,1,-0.180176,0.0908203,0.986816,-13.125,-11.375,-2.0625,92,100,84,2,4,2,4,3,-1,-11,44,-0.00537109,-0.043457,1.00098,-14.25,27.6875,4.75,87,106,77
"43",9,1,-1,0,-2,-1,6,-7,-0.155762,0.0229492,1.09863,-14.25,-8.1875,-0.375,92,99,84,-6,-3,-3,-2,-2,3,-6,1,-0.484863,-0.154297,0.94873,-52.8125,23.0625,10.625,86,108,77
"44",-1,0,-3,-3,-3,-7,-8,-11,-0.196289,0.0825195,1.01807,-2.6875,0.5,1.1875,91,99,84,-5,-2,0,-2,0,15,-10,-13,-0.385742,-0.123535,0.914551,-51.6875,18.9375,7.875,85,109,78
"45",-1,0,-1,-1,-2,-5,-5,-2,-0.171875,0.0664062,1.02148,-1.1875,2.875,-0.375,91,99,84,-2,-2,-3,-3,-8,-40,-5,-1,-0.344727,-0.105957,0.884277,-25.9375,10.4375,-5.6875,84,110,78
"46",-5,0,-2,0,0,-11,-3,-4,-0.21875,0.0864258,1.00977,8.4375,4.375,-1.375,92,100,84,-1,-4,0,1,-3,-13,-22,-10,-0.335938,-0.114746,0.924316,1.9375,0.4375,-6.625,84,110,77
"47",1,-1,0,1,0,-22,13,30,-0.168945,0.0878906,1.00732,2.75,5.3125,-2.0625,92,100,84,30,2,0,0,0,10,18,12,-0.294922,-0.0546875,0.981934,22.6875,-5.375,-0.625,85,109,77
"48",2,0,-2,-1,-2,4,0,5,-0.180176,0.0966797,0.98584,4.5,1.875,-2.25,92,100,84,6,4,0,-5,-5,-10,-15,6,-0.352539,-0.130371,0.98291,23.3125,-6.25,-6.0625,85,109,77
"49",7,5,0,-1,-2,-2,2,10,-0.191406,0.0805664,0.966797,0.875,0.0625,-1.75,92,100,84,-2,-3,0,-1,-1,-2,-16,-16,-0.335938,-0.15625,0.994629,31.3125,-5,-5.1875,86,109,77
"50",-9,-4,-1,1,2,14,29,46,-0.18457,0.0698242,1.01221,-1.1875,-1.875,-0.75,92,100,84,13,5,1,0,4,14,47,21,-0.349121,-0.154785,0.988281,15.5625,-3.8125,-4.0625,86,108,77
