"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.222656","X.0.00537109","X0.98291","X9.6875","X.3.5","X.2.8125","X90","X102","X74","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.144531","X.0.14209","X1.01855","X.1.5","X2.0625","X8.875","X85","X99","X81"
"1",0,0,0,0,0,0,0,0,-0.239746,0.00244141,1.04004,-1.5625,-0.5625,-2.625,90,102,74,0,0,0,0,0,0,0,0,-0.271973,-0.30957,1.0835,-3.6875,22.6875,12.6875,85,100,81
"2",0,0,0,0,0,0,0,0,-0.232422,0.00146484,1.01758,-4.1875,0.4375,-2.6875,90,102,74,0,0,0,0,0,0,0,0,-0.414551,-0.270996,0.916504,27.25,27.9375,52.625,85,102,82
"3",19,4,3,2,2,-1,1,-1,-0.227051,0.00146484,0.98877,-1.0625,0.5,-2.625,90,102,74,-10,-17,-19,-10,8,5,4,-6,-0.631348,-0.0439453,1.08691,-4.375,-130.312,49.25,86,100,85
"4",-8,-4,-2,-2,-2,-2,-1,-2,-0.232422,0.00390625,0.996094,-3.375,-0.6875,-1.5,89,102,74,-4,-4,-15,-14,-8,4,-2,-9,-0.245117,-0.165039,1.29834,54.25,-208.25,41.5,86,93,86
"5",-2,-1,0,-1,-4,-1,-2,-1,-0.222168,-0.0234375,1.00684,-5.1875,-0.375,-0.3125,89,102,74,-1,-4,-3,3,3,0,-4,-3,0.388184,-0.0654297,1.10791,34.75,-244.438,44.4375,88,79,88
"6",-2,-2,-2,0,0,0,0,0,-0.230957,-0.00830078,1.00293,-2.9375,0.6875,0.625,89,102,74,-1,-4,-4,-2,-1,-3,1,4,0.66748,-0.193848,1.05322,-2.0625,-247.938,26.6875,88,69,89
"7",3,-1,-2,-1,-1,-2,-1,1,-0.217285,-0.00878906,0.998047,-2.75,1.5,0.75,89,102,74,-9,-6,-11,-27,37,16,-12,-15,0.866699,-0.0605469,0.771484,-69.6875,-256.438,-21.4375,86,53,89
"8",-2,-3,0,-2,-2,-1,0,0,-0.216309,-0.019043,0.999023,1.0625,0.6875,0.875,89,102,74,-11,-21,-1,8,-22,12,3,-6,0.76416,-0.0834961,0.592285,-132.812,-238.75,-28.125,84,43,89
"9",0,-3,-1,-1,-1,0,-2,-2,-0.236328,-0.0151367,0.994629,-1.5,1.125,1.125,89,103,74,-7,-21,-9,-8,51,10,-5,-8,0.835938,-0.0854492,0.29248,-121.125,-215.188,-54.75,79,29,90
"10",-4,-4,-3,-1,-1,-2,0,1,-0.237793,-0.0263672,0.992188,-2,0.8125,1,89,103,74,11,0,24,23,21,67,17,12,0.763672,-0.0195312,0.249512,-157.438,-182.062,-72.5,76,21,91
"11",4,-3,-3,-3,-1,-1,-3,1,-0.230469,-0.0126953,1.01221,2.4375,1.875,1.3125,89,103,74,21,43,32,45,-24,31,-9,-54,0.807129,-0.00146484,0.0327148,-112.438,-144.188,-95.5,70,10,93
"12",-3,-1,-1,-2,-3,0,-1,-2,-0.233887,-0.0151367,1.00781,0.25,3.375,0.4375,89,103,74,6,-11,0,10,29,-97,5,4,0.612793,0.0761719,0.0117188,-96,-115.25,-121.625,73,3,88
"13",1,-1,0,-2,0,1,-1,-2,-0.239258,-0.00878906,0.991211,4.9375,3.6875,0.375,89,103,74,27,34,60,73,71,-101,59,47,0.432617,-0.263672,-0.0244141,-12.3125,37.0625,-70.875,135,3,24
"14",3,5,2,0,1,0,0,-2,-0.244141,-0.00390625,0.97998,1.125,2.5,0.125,89,103,74,-16,-12,-8,-13,-80,72,-30,-20,0.831543,0.104004,0.0488281,-25,33.6875,-12.1875,130,5,29
"15",0,3,-2,-2,0,0,0,-3,-0.232422,-0.00537109,0.974121,-1,0.1875,-0.125,89,103,74,8,13,22,32,-56,62,-3,9,0.83252,0.228516,0.0419922,-34.5,30.5,-59.125,127,10,32
"16",-19,-7,-3,0,-1,-1,-1,-2,-0.23877,-0.00585938,0.995605,2.1875,-1.6875,-0.0625,89,103,74,23,26,17,27,29,25,1,-4,1.00928,0.296875,-0.00341797,13.0625,24.75,-30.3125,126,13,33
"17",1,-4,1,0,-2,-2,0,-1,-0.23877,-0.00634766,1.00586,0,-0.5625,0.0625,89,103,74,1,0,6,8,25,-26,-42,-2,1.25928,0.443359,-0.074707,17.4375,16.4375,-22.1875,126,14,34
"18",-1,6,2,2,0,-1,-4,-9,-0.239746,-0.015625,0.999023,1.375,0.4375,0.625,89,103,74,-13,-21,-18,-14,0,70,-16,7,1.03809,0.150391,0.473633,35.5,7.0625,-2.625,126,14,34
"19",-2,-2,-1,-1,-3,-3,-1,3,-0.241211,-0.00146484,0.993652,2.8125,0.8125,1.375,89,103,74,6,1,7,6,2,-81,-15,-36,0.766602,0.317383,-0.320312,16.125,-4.5,5.875,124,14,36
"20",2,2,0,-1,-1,-1,0,-3,-0.229004,-0.00244141,0.995117,-2.3125,0.0625,1,89,103,74,-3,-5,1,-6,-21,23,-9,23,1.00439,0.209473,0.0327148,13.5625,-11.9375,20.25,125,14,36
"21",-1,-3,-2,-4,1,-3,-1,0,-0.233887,-0.012207,0.985352,1.0625,-1.375,1.75,89,103,74,20,-3,-3,4,10,39,1,5,1.00293,0.175781,-0.0229492,20.6875,28.875,58.25,123,11,39
"22",2,0,0,-1,-1,-1,0,-1,-0.234375,0.00195312,0.993652,-0.6875,-2.75,-0.5,89,103,74,-3,27,3,-2,-2,-52,-12,-9,0.568848,0.164551,-0.408203,34.625,70.25,80.8125,116,10,47
"23",1,1,-1,-1,-1,-2,0,-2,-0.220703,-0.012207,1.03125,8.125,-1.4375,-0.125,90,103,74,-5,-5,4,-1,-5,-2,-7,-47,0.935059,0.0410156,0.196289,36.875,69.875,100.562,98,9,66
"24",-17,-5,-3,-2,-3,0,1,-1,-0.246582,0.00927734,1.00391,1.4375,1,-0.5,90,103,74,24,100,10,12,3,-20,0,-30,0.937012,0.0244141,0.217285,35.375,82.3125,109.25,87,12,78
"25",3,-2,-1,-2,-1,-2,-2,-1,-0.245605,-0.0107422,1.00684,3.1875,2.375,1,90,103,74,0,0,9,-4,-3,2,0,21,0.75,0.0888672,0.398438,27.625,55.9375,41.3125,83,17,83
"26",8,6,2,0,-1,-1,0,-4,-0.234863,0.0151367,1.00488,3.0625,3.5625,1.3125,90,103,74,16,61,5,-4,7,31,-20,23,0.629883,-0.0830078,0.185059,15.5,71.4375,113.25,80,21,87
"27",-16,-1,-2,-2,-2,-2,0,0,-0.240234,0.00976562,0.98584,2,3.6875,1.9375,90,103,74,1,-11,2,4,8,-2,-3,32,0.827148,-0.0913086,0.268555,61.625,56.3125,99.5,76,27,93
"28",-1,1,0,2,-1,-2,-2,-5,-0.237793,0.0112305,0.994629,3.5625,2.9375,2.3125,90,103,74,2,-12,0,0,-4,5,-4,6,0.797363,-0.166992,0.301758,77.9375,71.75,90.75,76,31,95
"29",-4,-1,-1,-2,-1,-2,-2,-2,-0.246094,0.0209961,1.00586,3.625,3.875,2.8125,90,104,74,-4,-6,-2,-1,-5,5,12,3,0.853516,-0.288574,0.398926,84.75,114.625,67.375,77,37,96
"30",-6,-4,-2,-1,-3,-1,-2,-1,-0.257812,0.0283203,0.970215,2.25,3.375,1.875,90,104,75,0,0,0,1,0,0,0,0,0.823242,-0.314941,0.530762,85.0625,150.938,47.5625,79,43,96
"31",13,5,0,1,0,0,3,2,-0.25,0.0385742,0.952637,1.4375,-0.875,0.4375,90,104,75,0,-1,-4,-2,-8,-6,-2,2,0.757324,-0.269531,0.695312,59.75,171.5,0.5,82,53,95
"32",-4,-6,-2,-2,-2,-1,-2,2,-0.23291,0.0385742,0.976074,3,-4.875,-2.1875,90,104,75,-6,-6,-5,-7,-11,-5,-5,-4,0.679199,-0.260254,0.886719,31.625,184.062,-33.125,84,62,92
"33",-4,-1,-1,0,0,-2,-1,0,-0.246094,0.0454102,0.944336,-0.875,-7.125,-4.1875,90,103,74,-3,-9,-5,-9,-30,11,18,1,0.494141,-0.179199,0.904785,12.125,195.438,-63.3125,85,70,91
"34",4,-1,-1,1,1,0,-2,-1,-0.185059,-0.012207,1.04492,1.0625,-16.9375,-5.9375,90,103,74,-1,1,-2,-4,45,9,-6,-3,0.265625,-0.118164,1.07764,-21.1875,197.438,-86.1875,86,77,88
