"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.201172","X0.501953","X1.00049","X37.875","X17.4375","X17.875","X103","X86","X33","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.277344","X.0.193848","X1.02637","X.5.375","X1.5625","X1.125","X84","X104","X83"
"12",2,3,0,-10,-9,-9,1,11,0.146484,0.543945,0.869629,-2.5,-4.6875,-2.0625,106,81,34,-6,-3,-3,-1,-5,0,-4,-7,1.20508,-0.422363,-0.157227,21.1875,52.4375,-118.312,72,12,122
"13",-3,3,1,-1,-5,-3,6,-39,0.147461,0.52832,0.846191,-6.5625,-0.9375,-3.3125,105,81,34,-7,-6,2,1,-7,2,3,-11,1.32227,-0.252441,0.185547,69.5,148.75,-271.375,94,17,102
"14",0,-2,1,6,1,-3,11,18,0.127441,0.521973,0.86377,-3.25,0.125,-3.5,105,81,34,-1,0,-3,-3,-5,-25,-18,-10,0.812988,-0.0302734,0.121582,-10.125,190.188,-249.25,103,28,92
"15",-14,10,10,2,2,4,7,5,0.121094,0.553711,0.819824,-3.3125,-4.75,7.25,105,81,34,1,-14,1,3,-14,-25,8,0,0.816406,0.206055,0.459473,-52.9375,249.25,-275.625,106,47,86
"16",1,-5,35,26,4,1,2,1,0.0756836,0.499512,0.704102,-14,3.9375,27.75,105,80,34,-6,3,6,5,0,46,5,55,0.147949,0.150879,0.543457,3.6875,256.75,-272.25,107,62,84
"17",13,-13,0,27,5,2,3,4,0.0546875,0.46582,0.766113,-15.75,-3.875,45.25,105,80,35,29,-4,1,-6,-6,-5,-31,-16,-0.187988,0.839355,0.664551,-16.3125,157.375,-188.375,108,79,83
"18",-4,-8,-38,-4,-4,-4,-2,3,0.108887,0.491211,0.726074,-13.125,0.125,74.25,104,78,36,9,-3,0,0,-6,-10,-32,5,-0.0327148,0.505859,0.821289,-90.1875,130.438,-128.812,106,87,82
"19",-15,-2,-14,-12,-3,-1,0,-5,0.245605,0.534668,0.730469,8.3125,25,114.812,104,77,38,-62,35,13,12,4,6,6,10,-0.144531,0.627441,0.943848,-0.3125,73.4375,-80.5625,105,95,81
"20",-11,2,-8,3,1,1,1,-3,0.44043,0.543457,0.797363,-23.3125,107.875,148.438,102,77,43,-5,-11,-12,-10,-11,12,6,-7,-0.195312,0.473145,0.952637,-33.375,45,-54.0625,105,98,80
"21",10,9,1,12,1,3,1,-1,0.338867,0.485352,0.935547,-36.6875,174.062,163.875,100,81,50,5,-2,-2,-3,5,19,-9,-40,-0.209961,0.642578,0.961426,-11.9375,14.375,-29.875,104,100,80
"22",2,-12,-12,-2,-1,-2,1,4,0.181152,0.300781,0.98584,-82.3125,170.75,154.75,98,86,54,0,-9,1,3,0,6,17,7,-0.246582,0.501465,0.893066,1.5625,-3.6875,-11.3125,104,101,80
"23",-4,42,-6,0,0,-6,-3,-5,-0.0761719,0.0581055,1.05127,-54.75,143.625,123.312,96,92,59,-2,-8,-11,-14,-4,6,-1,-3,-0.230469,0.509277,0.861328,-5.3125,-10.6875,-0.5,104,101,79
"24",-8,-26,-7,-4,-2,1,-3,1,-0.218262,0.144531,1.16309,-33,119.75,101.938,96,96,62,-6,-6,-1,3,2,-3,-7,-22,-0.186523,0.504883,0.817383,7.8125,-18.0625,10.0625,104,100,79
"25",-8,25,5,-14,-5,-1,0,11,-0.33252,0.120117,1.02637,-32.8125,85.5625,57.4375,95,101,65,-4,-4,1,0,-3,2,-9,-9,-0.176758,0.480957,0.867188,13.25,-32.5625,28.1875,105,98,79
"26",5,-19,2,11,0,0,1,4,-0.425781,0.090332,1.00049,-41,61.875,46.625,94,104,66,1,3,3,6,8,-3,-7,-7,-0.146973,0.484375,0.80957,8.5,-22.25,15.625,105,96,80
"27",-19,-15,-13,0,0,2,-4,-9,-0.403809,0.219238,0.881836,-24.625,37.9375,27.25,94,107,67,-4,-16,-13,-13,-9,-9,13,-6,-0.197266,0.402344,0.722656,16.6875,-44.9375,38.875,105,95,80
"28",9,7,19,0,-1,1,-1,-4,-0.444336,0.106934,0.907715,-24.5,23.125,17.75,94,108,68,5,11,10,9,4,5,4,9,-0.196289,0.428223,0.733398,47.5,-89.4375,81.8125,106,89,80
"29",-4,2,-10,-3,3,3,3,-6,-0.329102,0.108398,0.929199,-22.375,-26.5625,-4.5625,93,108,68,11,-6,1,1,1,0,-9,-4,0.0209961,0.501465,0.825684,29.625,-108.625,100.125,107,84,81
"30",-7,-6,-11,2,0,-1,6,2,-0.194336,0.0249023,1.07959,-34.8125,3.75,6.0625,92,107,68,-1,-5,-2,-5,-2,-6,-7,-3,0.213379,0.480469,0.809082,-20.1875,-98.125,87.5625,107,78,81
