"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.30957","X.0.666504","X1.1709","X6","X.170.062","X.98.625","X86","X94","X63","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.27002","X.0.248047","X1","X.6.5","X.2.3125","X.1.4375","X83","X104","X84"
"11",-10,-25,-10,-19,0,23,3,-6,1.01562,-0.5,0.535645,6.875,-40.6875,41.1875,90,44,69,2,3,-10,1,-32,-21,-8,3,-0.394043,-0.246094,0.932617,47.4375,-82.375,-217.062,88,84,102
"12",-2,2,-10,2,-2,-9,0,-3,0.935547,-0.195801,0.624023,-45.5625,31.5625,-99.6875,91,43,67,-15,53,-16,-16,-20,-10,-22,-16,-0.129883,-0.0244141,0.973633,27,-133.688,-329.188,89,79,96
"13",-6,-4,2,7,-8,4,-1,-6,0.859375,-0.229004,0.69043,-70.8125,63.375,-163.688,92,46,63,-18,16,9,-3,53,8,-12,-5,0.401855,0.429199,0.939453,-4.8125,-151.75,-395.75,91,74,88
"14",2,-2,-15,-13,-13,-7,2,-10,0.698242,-0.248535,0.670898,-92.0625,41.625,-221.625,94,50,55,-31,64,-5,-2,25,12,3,-4,0.61377,0.881836,0.594238,-47.8125,-144.75,-352.875,95,67,75
"15",-14,-19,-3,7,7,7,5,3,0.179688,0.115723,0.906738,-72.0625,29.9375,-248.938,97,55,47,-45,-17,8,2,-18,-27,-3,-9,0.570801,0.910645,0.628418,-13,-37.125,-81.375,97,64,68
"16",-12,-11,9,-2,-15,2,-1,-8,0.727051,0.533203,1.97363,-43.125,39.375,-210.875,98,60,42,-15,2,11,7,10,-11,-5,-7,0.592285,0.72168,0.692383,3.9375,33.75,74.1875,98,64,69
"17",-11,-6,1,-3,-5,10,-1,19,-0.191406,0.608887,0.604492,41.4375,21.1875,-117.562,101,65,38,11,1,8,5,15,-7,-2,0,0.680176,0.525391,0.731934,32.9375,95.75,214.25,96,66,75
"18",7,-2,5,7,4,-31,-5,9,-0.20752,0.522461,0.949707,4.375,-9.875,28.5625,102,68,37,-11,-21,-7,-1,-1,-1,15,18,0.675781,0.520508,0.861328,32.125,110.375,292.062,94,69,84
"19",-7,4,-1,-16,-10,-3,-8,-10,-0.138672,0.664062,1.04004,52.125,-11.5625,117.25,102,67,38,-8,-20,17,16,-24,-16,-8,-6,0.635742,0.29541,0.940918,4.875,87.25,296.375,92,71,90
"20",4,10,10,28,18,23,46,56,-0.0224609,0.366699,1.55322,64.1875,-27,234.125,101,62,44,-1,-15,-9,-1,-1,16,6,0,0.201172,0.180176,1.125,-25.0625,59.625,256.75,90,73,96
