"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.217773","X0.00146484","X0.91748","X8.875","X6","X.1.3125","X89","X101","X77","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.326172","X.0.175781","X0.913086","X.11.0625","X32.9375","X15.375","X84","X101","X80"
"16",18,-5,-3,-1,1,-8,-1,7,-0.21875,0.0576172,0.955078,-19.5625,-7.5,-9.375,89,102,76,2,-23,-8,-12,33,-22,-45,-26,0.603027,-0.219727,0.48877,-14.9375,-6.75,-27.375,79,41,113
"17",-5,-2,-1,0,-2,11,1,4,-0.151855,-0.0463867,0.979004,15.3125,-3.25,0.0625,89,101,76,-1,2,-17,-12,-1,14,-3,-5,0.622559,-0.24707,0.562012,43.5,74.9375,-40.25,81,42,112
"18",4,-1,-1,1,0,0,-4,1,-0.203125,-0.0234375,1.02588,23.25,3.5625,-3.375,90,101,75,1,-8,-17,-22,-12,-53,26,49,0.194336,0.0507812,0.658691,81,135.188,-213.812,89,49,104
"19",-7,-1,0,0,1,-7,-6,-2,-0.21875,0.00537109,0.996582,-16.9375,-6.6875,-4.9375,90,101,75,17,2,-7,-6,-7,18,-4,-23,0.472656,-0.124512,1.13672,-4.4375,139.438,-81.4375,90,54,101
"20",2,1,2,0,2,-11,0,-3,-0.255371,-0.0136719,1.01123,-7.25,-6.25,-5.25,89,101,75,1,9,0,-1,-6,30,-10,-17,0.521973,0.385254,0.898438,41.5625,100.5,-12.875,92,61,100
"21",0,15,-2,-2,3,0,-2,-2,-0.23584,0.0214844,1.02881,-18.625,-10.75,-8.5,89,101,75,-1,16,3,-5,-11,-19,-8,-27,0.459473,0.0888672,1.01025,51.5625,73,5.5625,93,66,100
"22",0,-9,1,9,14,5,-3,-1,-0.279297,-0.0541992,0.94873,-41.3125,-23.75,-7.875,88,100,75,-17,-5,-11,6,-10,-33,6,-14,0.42334,0.17627,0.987305,89,58.6875,12.5625,95,68,100
"23",-2,-2,-2,-1,-5,-2,-3,-3,-0.120605,-0.133789,0.850586,-50,-37.8125,-10.25,86,98,75,6,-52,-37,-83,-34,1,-6,-4,0.412598,0.201172,1.00439,47,36.875,21.875,96,69,101
"24",-2,2,-1,-4,6,3,-1,-1,-0.0385742,-0.329102,0.98584,-31.4375,-26.5625,-2.9375,85,97,75,11,52,-67,-36,-45,-72,-1,0,0.309082,0.263672,1.10205,42.875,-7.4375,15.6875,97,70,102
"25",-1,-10,-1,0,-3,-1,-2,0,-0.184082,-0.108887,1.03955,-20.375,-30.5625,-3.375,85,95,75,2,-47,-15,-48,-19,-17,-12,1,0.525879,0.109863,1.12158,48.25,-15.9375,17.9375,97,69,102
"26",-1,-5,-2,-1,3,1,-1,0,-0.142578,-0.160645,1.03027,-51.4375,-35.6875,-7.3125,84,94,75,9,-27,6,9,8,-10,-14,-41,0.973633,0.235352,0.91748,56,-4.0625,94.6875,98,66,104
"27",0,-1,2,10,4,1,1,0,-0.0981445,-0.126465,1.01855,-27.6875,-41.375,-6.6875,83,92,75,4,14,5,2,12,7,11,46,0.62793,0.0825195,0.706055,25.375,2.875,187.125,98,63,109
"28",-1,-1,-4,-10,-7,-2,0,-3,-0.0249023,-0.181152,1.02295,-25.625,-38.0625,1.4375,83,90,75,-26,34,8,-7,-7,-11,-2,0,0.227051,-0.0620117,0.825195,14.9375,45.3125,137.625,97,63,113
"29",-2,-3,0,-10,5,-11,-11,-2,0.0932617,-0.176758,0.92627,-27.0625,-21.8125,2.375,82,89,75,-3,56,-31,-37,-14,7,15,-3,-0.231445,0.419922,0.908691,-26.1875,87.4375,-0.1875,96,68,115
"30",-2,0,-4,-3,-2,-5,-2,-3,0.134277,-0.335449,0.952637,-32.875,-16.375,-1,81,88,75,0,-58,33,23,0,21,-5,2,-0.265137,0.245605,0.991211,31.1875,6.375,-58.1875,96,73,114
"31",-4,-3,-1,16,9,-9,2,-1,0.132812,-0.509766,0.971191,-60.5,-19.625,-10.4375,79,86,75,-69,-39,-42,-102,-33,33,-11,-19,0.184082,0.487305,1.13721,20,-53.75,-118.062,98,73,112
"32",-2,-7,-10,-9,-14,-5,-6,-5,0.124023,-0.459473,0.973145,-64.5,-38.125,-67.9375,77,83,74,1,33,32,-4,0,-16,-6,1,0.549805,0.303711,1.05957,-8.375,-83.9375,-178.188,99,72,108
"33",3,26,16,20,2,-13,-1,4,0.225098,-0.529297,0.978027,-69.8125,-36.1875,-102.125,76,80,73,19,8,-17,-18,-21,4,11,3,0.965332,0.361816,0.734375,-41.625,-108.5,-51.375,99,68,103
"34",-11,-13,9,-11,-11,-8,-7,-9,0.285156,-0.472168,0.983398,-10.75,-17.125,-127.062,76,75,70,-2,-5,-1,-8,0,-15,-18,-6,0.684082,0.0664062,0.684082,-25.875,-104.25,44.3125,98,61,103
"35",-4,-19,2,19,-3,-11,-10,-53,0.260254,-0.360352,0.914551,-13.5,-20.5625,-120.75,76,73,68,2,1,-14,-6,-1,12,1,6,0.631348,0.0141602,0.649902,-42.25,-96.375,29.875,97,56,103
"36",-23,-6,-2,-2,-39,-75,-61,37,0.33252,-0.805176,0.303711,-73.8125,-21.125,-90,76,69,65,-9,-17,-5,-1,-6,-39,-4,-3,0.379395,0.059082,0.65625,-32.625,-4.1875,-42.4375,97,55,102
