"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.484375","X.0.106445","X1.021","X66.75","X.88.6875","X.68.1875","X94","X105","X65","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.268066","X.0.20166","X0.999512","X.0.1875","X1.375","X0.125","X84","X105","X84.1"
"20",19,1,-8,-4,-5,1,-4,10,0.275391,0.543945,0.8125,-5.875,8.625,-10.625,107,77,34,-6,50,-7,3,18,37,-24,-2,-0.152832,0.567383,0.777344,-62.3125,162.125,-165.875,106,85,82
"21",-2,0,-22,-7,2,1,-6,2,0.197266,0.55127,0.803711,-4.75,-19.75,7.5625,107,76,34,-7,-78,-1,-11,7,-31,-28,53,-0.208008,0.30127,0.751465,-70.875,121,-92.9375,105,92,81
"22",-2,1,-52,21,3,1,3,-7,0.200684,0.574219,0.756836,-3.5625,-16.75,17.1875,107,75,34,-4,-12,-4,7,-11,-33,-13,-4,-0.104492,0.557617,1.13525,-25,17.375,-19.9375,104,96,81
"23",-22,-58,-29,-8,-8,-2,-6,-4,0.161621,0.505371,0.709473,7.3125,-16.4375,46.75,107,74,35,8,16,2,0,9,11,-3,-14,-0.0732422,0.785156,1.11963,10.1875,-10.5625,8.5625,104,95,81
"24",-6,-7,8,3,0,-2,-1,-7,0.19043,0.597656,0.683594,-4.125,-14.6875,62.8125,106,72,35,13,9,2,0,10,-5,14,12,-0.137695,0.562988,0.95752,4.8125,-11.375,3.5,104,95,81
"25",14,-5,-8,-8,-1,-1,0,7,0.276855,0.524414,0.687988,-12.1875,20.1875,113.812,105,69,38,-10,-27,-5,-4,39,-5,-8,-23,-0.0996094,0.508789,0.871582,2.5625,-11.9375,2.25,105,94,81
"26",-7,3,5,3,3,4,1,-1,0.342285,0.591797,0.72168,-12.875,57.5625,148.938,104,68,41,0,2,-2,-2,-1,3,-1,8,-0.115723,0.358398,0.788574,9.4375,-26.5,15.125,105,93,81
"27",-15,0,1,-1,-2,4,-1,-5,0.469727,0.414062,0.836426,-53.875,126.062,170.062,101,69,47,-3,1,2,1,-6,6,-3,-3,-0.0908203,0.40332,0.790527,2.1875,-46.625,34.375,105,91,81
"28",19,-1,-4,-15,-9,-12,-5,5,0.346191,0.30127,0.933594,-47.375,161.875,164.188,98,73,52,-1,4,-2,-1,-2,-30,-8,-3,-0.0566406,0.289551,0.823242,-61.625,-62.125,65.625,103,87,82
"29",21,22,3,6,4,6,3,-4,0.153809,0.125977,0.975586,-23.375,173.5,145.812,96,81,58,-2,-7,-3,-3,-2,5,-9,0,0.0498047,0.327637,0.873535,-95.5,-50.375,58.125,101,83,83
