"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.518066","X0.0463867","X0.746582","X.19.8125","X49.8125","X.175.438","X91","X63","X66","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.213379","X.0.146973","X1.02148","X.12.1875","X0.6875","X2.3125","X83","X100","X72"
"15",51,-12,75,51,16,6,-4,24,0.401855,0.256836,0.557129,24.9375,62.3125,123.375,108,60,65,1,4,13,10,17,0,-7,-5,0.363281,-0.234375,0.697266,-31.25,38.8125,17.25,76,53,102
"16",76,-1,39,18,-28,12,25,40,0.419922,0.0117188,0.651855,-41.125,112.688,-4.5,105,63,69,4,5,4,2,-19,5,-8,1,0.419922,-0.431641,0.674805,8.125,12.75,-4.875,76,54,102
"17",19,-46,6,-45,-51,-21,-4,45,0.360352,0.201172,0.867188,-21.1875,161.375,-202.125,105,74,67,-1,-3,-6,-8,-6,16,6,-1,0.707031,-0.214844,0.741699,-22.375,-47.8125,-16.375,77,52,102
"18",16,19,2,-5,12,4,-17,-13,-0.0180664,0.632812,1.05566,-11,112.25,-216.5,105,83,65,6,-1,-1,1,2,-23,-25,-5,0.814453,-0.508789,0.709961,-60.875,-81.6875,-26.25,75,49,102
"19",12,-34,-84,43,19,0,-2,28,-0.241211,0.981445,1.2207,-23.625,-21.3125,-16.9375,105,88,63,0,0,1,6,-12,4,-1,-1,0.935547,-0.360352,0.46875,-44.3125,-88.9375,-24.3125,73,43,103
"20",24,9,-5,23,6,12,12,-18,0.0649414,0.749512,1.06152,4.875,-78.1875,77.1875,105,85,63,-7,-3,-4,-1,4,11,-13,-23,1.04492,-0.453613,0.369629,-57.875,-53.1875,-14.5625,71,39,104
"21",-24,-1,15,-5,5,5,6,-9,0.435547,0.431152,0.605469,39.75,-22.8125,38.3125,106,80,64,-3,0,2,4,6,-4,-12,-5,0.930664,-0.544922,0.286621,-32.75,65.75,-22.625,70,39,103
"22",-20,8,-28,-15,-6,-7,1,-9,0.291504,0.392578,0.60791,3.625,44.875,-27.4375,106,80,64,3,3,5,6,43,0,40,4,0.814453,-0.432617,0.421387,-47.625,174.875,-27.1875,71,43,100
"23",8,-5,2,6,-7,-9,-5,9,0.161621,0.541992,0.780273,-8.125,37.75,-21.25,106,82,64,7,1,3,7,17,69,-28,11,-0.154297,-0.251953,0.575684,9.625,244.625,9.3125,74,55,95
"24",34,-4,5,-12,-3,2,-8,16,0.0722656,0.592773,0.894043,-0.8125,9.0625,3.0625,106,83,64,-10,1,1,-13,-2,12,19,-19,-0.37793,-0.0537109,0.631836,-43.75,186.062,68.1875,75,68,92
"25",8,-15,2,-3,1,-2,-35,-10,0.138672,0.59668,0.820801,-5.9375,7.875,31.1875,106,83,65,16,9,20,61,-25,9,-8,1,0.0214844,-0.45166,0.964355,-12.5625,120.812,79.0625,74,74,92
"26",6,14,-9,-7,-4,-2,5,-13,0.323242,0.550293,0.717773,-6.5625,32.25,80.9375,105,81,67,1,-4,1,-15,29,-3,13,2,0.0727539,-0.490234,1.2002,65.8125,61.75,112.812,75,82,94
"27",20,-6,-1,0,-2,-2,0,34,0.289551,0.495117,0.681641,9.875,88.8125,67.75,105,82,69,-17,-32,-12,-34,-36,8,-8,4,0.274414,-0.486328,1.36133,74.75,-7.3125,118.75,77,85,96
"28",-17,4,25,4,3,7,9,-17,0.242676,0.390137,0.817383,20.125,146.188,85.9375,105,86,73,-3,-2,4,13,-23,-27,11,-16,0.643066,-0.790039,1.2749,19.25,-126.25,84.6875,78,82,100
"29",1,20,11,10,-15,-16,-1,5,0.00927734,0.512695,0.694824,21.125,174,53.4375,106,90,76,5,12,1,-2,6,25,0,20,0.533203,-0.907227,1.0332,-59.4375,-211.688,45.1875,76,76,102
"30",-41,-27,37,-11,-6,-3,2,-7,-0.194336,0.374023,0.806152,-53.1875,150.625,56.5,105,96,80,-14,-25,-6,-2,1,-11,10,-20,0.263672,-0.76416,0.655762,-113.062,-147.312,-66.25,72,65,105
"31",-4,-26,-88,-1,4,0,-3,-5,-0.347168,0.641113,0.895508,-22.375,92.5,42.8125,105,101,83,3,-1,-1,-9,22,-26,2,-8,0.119629,-0.40625,0.412109,-26.1875,60.1875,-70.5625,71,63,103
"32",3,-4,-25,-20,-16,-21,-14,0,-0.338867,0.491699,0.983887,-104.438,91.5,42.1875,104,103,85,7,12,-2,-2,-9,29,3,4,-0.0668945,-0.0244141,0.575684,5.125,101.062,-31.6875,72,66,101
