"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.0712891","X0.340332","X0.900879","X.5.625","X48.75","X.65.3125","X101","X81","X36","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.26416","X.0.196777","X1.01953","X.7.8125","X1.3125","X3.3125","X84","X103","X84.1"
"25",31,1,-1,2,-5,-5,-1,10,0.17041,0.128906,1.06396,-59.6875,144.875,123.5,94,82,59,1,13,0,-7,-4,-6,-2,12,-0.146484,0.698242,1.05908,11.3125,5.8125,-12.3125,105,96,81
"26",-13,-4,12,1,2,1,-5,-8,-0.000976562,-0.138672,1.11865,-11.125,126.875,104,93,87,62,5,15,0,2,4,-18,-7,0,-0.203125,0.621094,0.94043,3.0625,-12.875,6.9375,106,96,81
"27",-36,-28,-3,5,9,5,-7,-19,-0.151367,0.0131836,1.07666,-27.4375,112.75,70.1875,93,93,65,-3,-1,3,5,4,-5,6,-4,-0.0957031,0.658691,0.962402,7.625,-32.5,23.5625,106,93,81
"28",5,-9,-11,5,6,3,-3,-17,-0.291504,0.012207,1.05322,21.4375,87.5,40.6875,93,97,66,0,-5,1,10,4,1,-2,-4,-0.171875,0.337402,0.776367,-25.9375,-54.25,47.5625,105,90,81
"29",-22,4,15,1,-3,-4,-5,-14,-0.461914,0.0639648,0.983887,8.125,48.375,28.125,93,102,67,0,-15,-1,-1,-5,12,-3,-1,-0.0112305,0.496094,0.836426,-22.8125,-68.9375,71.1875,105,87,82
"30",-18,-21,-22,-24,-9,-8,-4,-11,-0.302246,0.180664,0.939453,7.125,27.75,18.5,93,103,67,-2,1,2,1,1,8,-8,-3,0.0620117,0.244141,0.791016,-86,-64.375,79.3125,103,82,83
"31",17,6,-4,1,1,3,2,2,-0.324707,0.0258789,0.893555,-28.375,24.625,12.75,93,105,68,3,0,2,4,0,-4,27,3,0.128906,0.229492,0.80957,-63.6875,-64.625,77.8125,101,78,84
"32",-16,-12,-3,-2,-4,-12,-9,0,-0.408691,-0.0981445,1.12695,-1.5,-10.875,11,92,105,68,-1,1,-3,-4,-2,6,-15,-2,0.235352,0.153809,0.837402,-63.625,-29.375,47.625,98,74,85
"33",5,2,-3,-2,0,3,5,-1,-0.273438,0.165527,1.21729,-15.125,7.5625,-1.8125,93,105,68,-1,3,0,-3,-1,3,-9,-6,0.314453,0.168945,0.851074,-72.5625,-0.8125,45.5625,97,74,86
"34",-7,-7,-1,-1,0,3,1,3,-0.291016,0.100586,1.02246,26.625,19.125,0.8125,93,105,68,6,-1,-4,-5,-2,2,-2,1,0.329102,0.155762,0.823242,-84.4375,37.6875,24.875,94,74,87
"35",-7,-4,-2,-4,-1,-1,-2,-1,-0.307617,0.269531,0.906738,30.375,17.9375,8,94,106,68,-2,4,3,6,1,1,12,-1,0.319824,0.263184,0.980469,-78.375,68.125,11.0625,92,76,87
"36",11,-4,-4,-1,-4,-7,-3,6,-0.283203,0.199707,0.876953,9.375,8.875,2.3125,94,107,69,-1,-2,-10,-19,-4,-2,12,3,0.344238,0.225586,1.0874,-66.8125,107.5,-8.125,91,82,87
"37",-22,-1,-1,-1,1,5,-1,0,-0.299316,0.163086,0.908203,20.375,2.3125,1.875,95,107,69,1,6,2,3,-6,6,-1,-3,0.212402,0.163574,1.09912,-54.8125,118.312,-14.4375,90,86,87
"38",-6,-3,-2,-1,0,0,-2,-1,-0.278809,0.15332,0.975586,4.375,-3.25,0.875,95,107,69,-2,-4,2,2,-10,-4,-13,-4,-0.0688477,0.0415039,1.10547,-48.6875,93.875,-18.4375,88,92,87
"39",7,1,0,-1,0,11,7,-2,-0.298828,0.150391,0.991211,-4.0625,-0.4375,2.6875,95,107,69,1,-2,0,1,-8,0,-9,-2,-0.222168,-0.0131836,1.04248,3.25,53.375,-13.8125,88,97,86
"40",-6,-4,-3,-2,-1,14,-2,0,-0.28418,0.196289,0.958984,-7.125,-0.125,2.25,95,107,69,-2,-1,-2,-8,-12,3,-3,-2,-0.253418,-0.0234375,0.979492,36.125,36.5,-14.9375,88,98,86
"41",-9,-5,-1,-2,-2,9,5,-1,-0.285645,0.178711,0.975098,2.625,0,1,95,106,69,-3,-3,-1,-2,-5,3,1,-4,-0.213379,0.00292969,0.924316,39.25,34.25,-11.4375,90,101,85
"42",-3,10,5,0,1,20,5,-11,-0.289062,0.175781,0.950195,1.5625,-0.4375,-0.4375,95,106,69,1,-11,-1,3,2,-3,5,5,-0.504395,0.117676,1.26172,25,2.9375,-32.6875,90,102,85
"43",-7,-7,-3,-1,-1,7,3,4,-0.281738,0.152344,0.974609,0.25,-0.1875,-0.5625,95,106,69,3,-8,-3,2,-2,-1,7,0,-0.0600586,-0.379883,1.36035,24.625,-21.5625,-5.1875,90,100,84
"44",3,-3,-3,0,0,-8,-4,0,-0.283691,0.188965,0.964355,0.4375,-0.25,-0.875,95,106,69,0,2,-2,-1,1,0,-7,-3,-0.13916,0.240234,1.06396,73.125,-5.3125,-18.3125,92,99,84
"45",23,6,-2,-5,-4,-20,-9,10,-0.285156,0.180176,0.971191,-2.25,0.25,-1.1875,95,106,69,0,-8,-3,-3,-2,-3,0,-5,-0.225586,0.0917969,1.0166,-24.9375,-1.0625,-11.875,92,99,84
"46",-7,-2,-2,0,-2,-15,-5,-4,-0.290039,0.172363,0.962402,3,-0.4375,-1,95,106,69,0,2,-1,-3,-6,-4,0,2,-0.216309,-0.0395508,0.994629,-5.5,1.8125,-7.3125,91,99,84
"47",-4,1,0,0,-2,-15,-6,-6,-0.277344,0.17041,0.966797,1.625,-0.25,-1.25,95,106,69,1,-2,-2,0,1,-1,-5,-2,-0.146484,0.0625,1.02637,-18.1875,6.6875,2.875,91,100,84
"48",9,0,-1,-1,0,2,2,1,-0.287109,0.170898,0.964355,1.625,0.375,-0.625,95,106,69,-1,-6,-3,0,-1,-6,-8,-1,-0.175781,-0.0507812,1.04688,-17.8125,5.875,2.8125,90,100,84
"49",-2,-1,0,-2,-1,-1,-1,-3,-0.286133,0.170898,0.958008,-0.5625,-0.1875,-0.1875,95,106,69,-5,-4,-2,-1,-2,-4,3,2,-0.199707,0.0375977,1.00342,-0.5625,1.9375,0.9375,90,100,84
"50",-1,-1,-1,-1,0,-4,-3,-3,-0.28418,0.182617,0.960938,0.0625,-0.75,0,95,106,69,0,-3,2,2,0,-2,1,14,-0.185059,0.0288086,1.01514,-2.75,2.625,0.5625,90,100,84
