"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.0419922","X.0.142578","X0.964355","X.88.75","X.86.375","X.8.625","X86","X92","X80","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.149414","X.0.152832","X1.11621","X.16.625","X6.625","X3.6875","X86","X97","X76"
"1",0,0,0,0,0,0,0,0,0.247559,-0.317871,1.07031,-74.875,-60.125,-17.0625,84,89,80,0,0,0,0,0,0,0,0,-0.349121,-0.115234,1.01416,92.1875,2,27.375,87,98,76
"2",0,0,0,0,0,0,0,0,0.160156,-0.381836,1.16162,17.1875,-46.0625,-29.625,84,86,80,0,0,0,0,0,0,0,0,-0.458984,0.0966797,0.840332,64.75,-35.3125,41.75,89,98,77
"3",-9,-1,-3,-5,-1,1,-1,-14,-0.0146484,-0.0449219,1.04883,-17.125,-46,-9.1875,85,83,79,-5,-13,-2,1,14,7,31,10,-0.488281,0.0922852,0.907227,82.3125,-82.3125,58.75,91,96,78
"4",5,-7,-4,-3,3,2,-3,5,0.0415039,-0.0532227,1.05078,-41.4375,-59.125,0.1875,84,82,79,14,11,2,2,-3,-2,0,-11,0.229004,0.198242,1.08057,107.938,-102.75,34.625,94,90,79
"5",2,3,3,3,-8,4,14,15,0.203125,-0.243652,0.993164,-25.0625,-65.3125,1.875,83,78,80,11,7,-9,-8,-11,-5,-21,-17,0.398438,0.334961,1.1665,3.5625,-54.625,52.875,96,84,80
"6",0,-1,-1,-3,-2,2,-1,-9,0.410645,-0.270508,0.939453,-19.625,-55.5,-3.9375,83,74,80,2,-1,2,4,-3,10,5,-3,0.237793,0.0136719,1.27344,-43.4375,-74.8125,10.625,94,79,81
"7",-9,-3,-5,-10,-4,-5,0,-3,0.425293,-0.253906,0.874512,5.375,-36.9375,-8.25,82,71,80,-14,-11,7,16,4,-2,-5,40,0.315918,0.108398,1.38086,18.6875,-127.938,6.1875,94,75,80
"8",18,6,1,8,0,-5,1,-2,0.401367,-0.271484,0.863281,-0.25,-29,-12.5,82,69,80,29,15,3,-1,1,-6,4,-16,0.553223,0.305664,1.13281,-99.6875,-199.062,38.875,93,64,80
"9",2,1,2,6,1,3,0,-9,0.400391,-0.272461,0.857422,-4.1875,-23.3125,-10.5,82,68,80,-1,-6,0,-7,-9,-34,15,0,0.659668,0.0693359,0.900879,-140.562,-221.5,52,90,55,81
"10",-11,0,2,1,-3,-9,6,-9,0.356934,-0.285645,0.889648,-8.8125,-20.125,-6.9375,82,66,80,23,4,-4,-11,-2,15,-2,8,0.438965,-0.0478516,0.401367,-47.125,-188.125,68.5625,86,43,84
