"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.191895","X.0.0898438","X1.01807","X.63.9375","X.64","X.11.8125","X86","X92","X80","X0","X0.1","X0.2","X0.3","X0.4","X0.6","X0.7","X0.8","X.0.074707","X.0.0771484","X1.03223","X.1.75","X1.5625","X0.5","X88","X93","X80"
"25",10,-3,-1,3,6,-2,-16,20,0.901367,-0.0517578,0.634277,0.3125,3.6875,12.0625,85,36,60,-15,-49,2,0,-2,17,37,56,1.14258,0.0756836,0.861816,-58.125,-41.8125,53.8125,94,45,103
"26",-13,-1,-2,-2,-7,-6,11,24,0.833496,-0.0566406,0.587402,8.4375,-0.375,-3.1875,86,36,60,-6,19,8,5,4,-2,9,-31,0.946289,0.273438,0.834961,-56.5,-33.5625,51,92,44,104
"27",-13,-3,1,1,-1,4,9,-1,0.808594,-0.0996094,0.572754,7,0.9375,-3,86,36,60,-20,-21,4,-3,-1,0,-8,-50,0.481934,0.0722656,0.121094,-20.25,-17.25,15.125,91,41,105
"28",-3,-3,-3,-3,-2,-2,-1,-3,0.751465,-0.0668945,0.595703,5.875,7.375,-1.6875,86,36,60,20,10,12,12,4,-3,4,53,1.08838,0.097168,0.776367,0.625,-8.8125,-19.0625,91,40,105
"29",-15,3,10,7,3,0,-6,0,0.723145,-0.0581055,0.594727,7,17.375,11.125,86,37,60,-1,-4,-9,-13,-7,0,1,3,0.789062,0.0332031,0.726074,13.0625,9.3125,-16.5,92,41,104
"30",7,0,-8,-1,1,1,-4,-10,0.70166,-0.065918,0.585938,7.25,37.875,51.75,85,39,62,-11,2,-1,-8,-4,-1,-7,-8,0.760254,0.0415039,0.743164,9.25,12.625,-9,92,42,104
"31",-13,2,2,0,-3,0,-3,4,0.669922,-0.0820312,0.622559,13.875,63.5625,101.875,83,43,65,37,4,1,8,4,-2,8,54,1.08838,0.212402,0.884766,-6.8125,-1.6875,2.8125,92,42,104
"32",-11,-12,-8,-6,-8,-16,-14,41,0.597168,-0.161621,0.654785,14.875,93.125,141.125,81,48,68,1,1,-1,3,-7,-3,-11,-15,0.660156,0.0742188,0.722656,-10,0.75,0.375,92,43,104
"33",17,4,0,-5,-3,-44,-20,103,0.556152,-0.178711,0.695312,26.5,101.188,162.75,80,53,71,1,1,2,4,-5,3,1,-4,0.651855,0.043457,0.674805,-14.0625,6.1875,-8.8125,92,43,103
"34",1,-2,1,3,1,10,2,-5,0.429199,-0.306641,0.766602,13.25,130.75,164.188,78,64,75,-1,-9,-10,-12,-10,-3,-7,6,0.632324,0.0244141,0.653809,-9.5625,29.4375,-25,92,44,103
"35",-1,4,4,2,1,5,33,2,0.277344,-0.458008,0.868652,39.4375,163.312,147.562,78,76,78,-9,5,3,0,0,2,21,3,0.555176,0.0942383,0.666016,-18.5625,47.25,-87.0625,93,47,100
"36",-2,2,2,-4,-2,-4,-6,5,0.165039,-0.446289,0.902832,22.8125,169.375,118.75,79,84,79,18,2,0,-2,-1,4,-8,22,0.589844,0.123535,0.660645,-7.1875,64.25,-141.25,96,52,96
"37",-2,-3,-17,-4,1,2,-3,2,-0.132812,-0.625,0.971191,25.625,142.062,47,79,94,79,-12,1,7,6,3,1,-1,-9,0.459961,0.139648,0.697754,-2.9375,78.6875,-165.812,98,56,93
"38",-2,-2,-12,-3,-2,8,2,-4,0.0390625,-0.420898,0.901855,4.375,156.562,26.625,79,100,79,-8,6,0,1,0,-6,-5,7,0.394531,0.229492,0.802246,-19.1875,93.3125,-172.5,99,65,88
"39",9,-7,-8,-3,-3,-4,-2,5,-0.52002,-0.364746,1.0752,-1.625,197.188,10,79,111,77,-4,-2,-1,1,-1,4,2,9,0.354004,0.264648,0.899902,17.5,109.625,-153.5,100,71,86
