"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.192871","X0.135742","X0.984375","X2.625","X0.625","X.0.25","X93","X101","X79","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.39502","X.0.0952148","X0.912109","X.21.8125","X5.375","X.1.1875","X85","X100","X78"
"22",-21,-5,-3,0,1,-1,-3,-4,-0.20752,0.114746,1.00293,-4.1875,1.9375,1.9375,93,101,79,-29,0,-23,-30,-5,16,-13,-35,0.45166,-0.280273,0.938965,49.0625,7.8125,-11.125,79,56,114
"23",2,1,-2,-4,-3,-1,0,0,-0.19043,0.106934,0.98877,-3.1875,1.875,2.125,92,101,79,27,-14,-1,0,-2,24,-2,-8,0.774902,-0.390137,0.945312,9.25,-53.3125,-51.9375,80,53,113
"24",-1,2,1,2,1,-2,-1,-2,-0.216797,0.109863,0.967773,-5.375,0.8125,0.5625,92,101,79,25,9,9,10,7,-25,2,3,1.04492,-0.443848,0.836426,-41.75,-72.3125,-69.125,80,50,112
"25",2,-7,-4,-4,-4,-1,-2,2,-0.199707,0.101074,0.983398,-0.5,-3.6875,-0.5625,92,101,79,12,-12,-8,-10,-6,-4,0,21,1.17334,-0.409668,0.666504,-61.3125,-72.4375,-58.8125,79,45,112
"26",-19,-7,-3,0,-2,-2,-1,-4,-0.203613,0.101562,1.0332,10.125,-1.875,-2.3125,93,101,79,-14,-2,-2,3,17,-2,42,36,1.13477,-0.358887,0.408203,-71.9375,-57.3125,-0.375,77,40,112
"27",5,2,2,-2,-3,-2,-2,1,-0.221191,0.102051,1.03906,6.5,2.125,-3.4375,93,101,79,20,-5,1,0,-3,35,24,17,0.875,-0.3125,0.376953,-4.75,-4.6875,29.625,74,38,114
"28",8,2,-4,0,-1,-1,2,1,-0.192871,0.09375,0.977539,2,2.5,-1.75,93,101,79,50,-2,-2,-1,12,-13,-18,13,0.628906,-0.21582,0.445312,2.4375,48.9375,33.375,74,40,114
"29",-1,-1,-1,0,-3,-1,-2,-1,-0.192383,0.0981445,0.971191,0.25,0.8125,-0.375,93,101,79,-6,1,-17,-40,3,-11,14,-4,0.160645,-0.0385742,0.625488,43.25,60.625,70.25,75,46,115
"30",1,-1,-3,-2,-3,-1,-3,-3,-0.211914,0.116699,1.00391,-1.125,-0.4375,0.25,93,101,79,2,18,18,26,21,8,-14,-1,0.105957,-0.125,0.661133,40.6875,32.875,76.6875,75,49,116
"31",-3,0,1,-1,1,-1,-2,-4,-0.209473,0.09375,1.0083,-0.75,1.1875,1.125,93,101,79,-7,-4,-22,-26,-9,2,17,-1,0.361328,-0.302246,0.721191,51.5625,-5.625,57.75,75,51,117
"32",-15,-7,0,0,1,-1,-1,-3,-0.205566,0.103516,0.989258,0.1875,1.5,2.0625,93,101,79,11,0,-3,4,7,-14,1,-5,0.584473,-0.460449,0.740234,39.125,-23.8125,-15.25,76,51,118
"33",4,-11,0,-1,-1,0,0,9,-0.205078,0.117676,0.995117,1,0.625,2.125,93,101,79,0,2,0,1,-8,3,-1,2,0.606934,-0.432129,0.695312,-8.8125,6.875,-82.25,77,49,116
"34",-4,-4,0,2,-3,-2,-3,-5,-0.20752,0.122559,0.994141,1.5,0.3125,1.5,93,101,79,0,-3,0,1,-1,0,4,-5,0.681641,-0.430176,0.650879,-17.75,81.625,-125.312,80,50,111
"35",-1,3,-1,-1,-3,-2,-1,-3,-0.222168,0.111816,0.994629,0.25,0.5625,0.75,93,101,79,0,-1,1,0,0,-8,-1,2,0.861816,-0.35498,0.592285,-22.5,114.375,-155.062,82,52,107
"36",1,3,0,1,0,-2,-1,0,-0.214844,0.112793,1.00195,-1.5,1,-0.5,93,101,79,-1,0,0,-1,-4,-6,-3,-1,0.617188,-0.403809,0.740234,-70.9375,188.25,-199.812,85,60,98
"37",-8,-1,1,-1,1,-2,-1,-5,-0.229492,0.106445,0.978516,-1.125,1.6875,-1.1875,93,101,79,-3,-7,-6,-15,-14,-8,0,1,0.685547,-0.197266,0.919922,-43.6875,179.812,-192.125,86,66,93
"38",1,1,2,-1,-2,1,0,0,-0.211426,0.132812,1.00146,2.8125,0.9375,-1.375,93,101,79,-5,-7,-11,-15,-2,4,25,-1,0.368164,-0.0185547,1.00439,-29.5,197.562,-179.688,87,76,87
