"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.193848","X0.121094","X0.975586","X11.125","X6.5625","X6.625","X94","X104","X84","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.324219","X.0.142578","X0.936523","X1.9375","X7.5","X.17.5625","X85","X100","X78"
"19",3,8,-14,3,2,7,4,-4,-0.316895,0.242676,0.949219,16.5,2.125,3,97,109,86,36,74,7,-5,10,29,32,24,-1.05566,-0.331055,0.87207,27.125,86.625,-36,77,104,99
"20",40,37,64,8,0,7,11,15,-0.349121,0.279297,0.916016,13.5625,0.5625,0.375,97,109,86,43,127,21,-15,-17,-19,3,-1,-0.868164,-0.316406,0.940918,56.3125,63.5,-61.6875,78,109,97
"21",-14,-13,-6,-1,1,-7,-4,-7,-0.362305,0.268555,0.885254,-1.3125,-1.3125,-3.0625,97,109,86,8,58,-5,-28,40,-20,-4,1,-0.51123,-0.0463867,1.13428,67.625,22.3125,-59.875,80,111,95
"22",-6,-21,-15,-7,-3,-5,-8,-15,-0.311523,0.273438,0.95166,6.75,-4,-6.25,97,109,86,16,67,32,26,-18,26,23,14,-0.125,-0.0722656,1.16504,43.125,2.6875,-52.3125,81,109,94
"23",2,25,24,1,2,-13,-5,-1,-0.338379,0.232422,0.920898,4.1875,-4.875,-7.5625,97,109,85,-39,-2,-6,-22,-59,-61,-19,-13,0.31543,-0.191406,1.10645,39,-33.6875,-26.0625,82,106,93
"24",5,23,-13,-1,-1,3,7,-3,-0.328613,0.21875,0.942383,6.125,-5.25,-6.125,97,109,85,21,-11,-11,-18,-33,-25,-24,2,0.538086,-0.441406,0.988281,0.8125,-92.0625,-1,82,101,93
"25",-4,-10,-6,-1,-3,-1,2,5,-0.309082,0.241211,0.911133,-2.8125,-6.6875,-3.9375,97,108,85,-51,-3,-11,-4,-29,-66,-26,-36,0.499023,-0.528809,0.758789,-27.3125,-137,79.375,82,93,96
"26",-4,7,1,-3,-2,-4,-1,-3,-0.34375,0.218262,0.93457,3.875,-5.875,1.625,97,108,85,-46,-101,-20,-29,-25,28,-3,-33,0.372559,-0.432129,0.789062,-6.0625,-112,77.0625,81,89,98
"27",-1,14,6,-1,-3,-21,-8,1,-0.367188,0.257324,0.893555,-5.75,-6.25,2.5,97,108,85,49,3,2,0,-6,-4,27,46,0.0478516,-0.22998,0.887695,-11.75,-29.875,94.5625,81,87,101
"28",-13,-6,-9,-5,-5,-4,-6,0,-0.287598,0.270996,0.94873,1.375,-7,2.4375,97,107,85,3,-26,2,7,20,-7,3,10,-0.163574,-0.277344,0.92334,-35.375,1.1875,82.4375,80,88,103
"29",0,-13,-14,-1,0,-1,-6,2,-0.279297,0.271973,0.955078,5.5,-7.25,2,97,107,85,18,-8,1,12,15,-2,-25,-30,-0.62207,-0.222656,0.995605,-31.9375,63.9375,23.3125,79,92,104
"30",0,-17,-4,-2,-1,2,0,-3,-0.284668,0.270508,0.937012,7.75,-7,0.5625,97,107,85,27,31,-1,-4,-11,7,12,-44,-0.886719,-0.40332,0.963867,-42.6875,99.3125,-21.125,79,98,103
"31",0,-4,-3,0,0,-4,8,1,-0.287598,0.305176,0.866211,-4.6875,-12.1875,-1,97,106,85,-27,-14,-2,-9,-8,-18,-36,3,-0.695801,-0.270508,0.952637,47.0625,100,-35.375,78,103,101
"32",-2,-12,-15,0,0,-12,-15,-10,-0.310547,0.240234,1.02783,-13.1875,-13.625,-2.75,97,105,85,-25,-55,-14,-8,-28,-9,-14,-2,-0.368164,-0.216309,0.906738,20.0625,69.75,-70.625,79,107,98
"33",-4,11,16,1,1,1,3,-3,-0.262207,0.248535,0.95166,-8.9375,-14.25,-0.8125,97,105,85,-33,20,6,11,26,44,-4,13,-0.140625,-0.282715,1.16309,54.25,55.5625,-35.8125,80,108,97
"34",6,-27,-18,-2,-2,2,-10,34,-0.190918,0.193359,1.04736,-24.125,-15.4375,-10.375,96,104,84,10,-4,3,-3,-3,-19,1,9,0.209961,-0.307617,0.979492,12.5,-1.4375,-21.25,81,107,96
"35",0,-10,-4,0,0,-2,0,-5,-0.267578,0.24707,0.88623,-4.75,-16.75,-5.875,96,103,84,-6,-1,1,7,19,-40,-9,-1,0.0913086,-0.433105,0.904785,3.6875,-18.8125,-9.125,80,105,96
"36",-3,10,21,1,-2,-2,-12,-6,-0.195801,0.216797,0.927734,-27.375,-24.1875,-5,95,102,84,-5,-2,2,2,-6,0,11,3,0.0737305,-0.398438,0.840332,9.6875,3.875,-13.3125,81,103,96
