"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.0371094","X0.294922","X1.12549","X.11.5625","X.163.438","X59","X99","X82","X90","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.207031","X.0.396484","X0.938965","X9","X.2.75","X2","X78","X100","X76"
"13",-12,3,-5,-1,8,-5,-29,-18,0.845215,0.701172,0.107422,-76.625,53,8.1875,130,43,64,7,0,5,3,-14,-11,25,7,0.73584,-0.619629,0.23584,-114.438,-112.875,9.0625,53,55,93
"14",18,2,10,2,3,-10,-14,6,0.929688,0.712891,0.130371,-89.875,43.625,47.9375,127,42,66,-10,-3,-2,-4,-9,-14,3,0,0.706055,-0.59375,0.0893555,-95.5,-105.125,18.75,49,55,95
"15",-23,-15,1,2,-1,-8,-11,-17,0.975586,0.551758,0.297852,58.5,24.25,9.0625,125,41,68,-9,-2,-3,-4,-3,-5,-34,-18,0.528809,-0.628418,-0.0634766,-84.75,-93.125,16,44,55,99
"16",19,7,-9,-23,-21,-46,-27,3,1.08008,0.411133,0.230957,-18.3125,-0.75,-17,125,41,68,-2,4,3,-3,-6,-1,15,14,0.253906,-0.754395,-0.211426,-29.875,-56.8125,12.5625,41,56,102
"17",4,-10,1,3,-7,-7,-9,19,1.08984,0.388184,0.13916,33.8125,-23.75,-22,126,40,67,-1,1,-3,-8,-8,-14,-21,3,-0.0732422,-0.838867,-0.156738,18,-12.1875,1.5625,41,58,102
"18",49,-1,-16,33,15,26,-31,-4,0.849609,0.563965,0.120117,31,-64.875,-50.75,129,40,65,-7,-7,-2,-5,-3,9,15,6,0.34082,-0.533691,-0.280273,94.75,-21.5,-12.9375,43,57,103
"19",-33,-22,32,-50,-21,-22,-6,-14,0.65625,0.722656,0.0493164,22.8125,-70.9375,-46.5,131,42,63,23,-4,-2,-2,35,13,5,0,0.359375,-0.717285,-0.0712891,-19.4375,0.5625,-36.1875,43,57,103
"20",0,4,3,-19,-15,-18,-16,-8,0.356445,0.790039,-0.0800781,8.6875,-24.625,-16.75,133,45,61,-5,-11,0,3,-32,4,-1,-1,0.576172,-0.788574,-0.0478516,7.1875,31.9375,-24.125,43,55,103
"21",-16,4,28,-15,-17,-7,5,-12,0.275879,0.807617,0.0522461,11.4375,-18.1875,35.125,134,45,60,14,25,2,-3,16,23,-6,23,0.675781,-0.717285,0.0200195,-23.8125,40.5,-13.9375,44,54,102
"22",-47,-17,-6,-2,5,2,-32,0,0.377441,0.620117,0.09375,-46.1875,-25.25,42.4375,133,43,59,-4,-7,-3,2,-32,-17,4,-9,0.831055,-0.743164,0.0419922,-85.8125,52.5625,-16.1875,43,52,100
"23",-7,6,-3,-6,-1,3,19,6,0.539551,0.646973,0.0205078,-55.125,-20.5625,48.375,133,41,59,-1,-3,-3,-10,0,-5,2,-4,0.876465,-0.91748,0.0253906,-109.125,35.25,2.8125,42,52,99
"24",10,-1,-3,-8,-8,0,3,0,0.695801,0.576172,-0.0136719,-114.75,29.75,63.5625,129,39,59,0,-21,-8,-7,1,3,-1,6,0.894531,-0.831055,-0.0429688,-24.3125,8,27.5,41,52,98
"25",6,0,3,3,-3,-2,-5,-1,0.577637,0.0581055,0.276367,-86.625,80.6875,19.5625,123,36,63,-4,-12,-3,-1,5,6,-8,3,0.84082,-0.705078,-0.0708008,-24,-5.375,28.5625,40,53,98
"26",-12,1,4,3,1,3,1,-2,0.655762,0.506836,0.256348,18.25,84.9375,31.875,120,37,66,1,-8,1,-8,-14,-12,6,20,0.609863,-0.757324,-0.0854492,-28.625,-50.6875,25.6875,39,54,99
"27",-11,-8,-6,-3,-2,1,1,-5,0.71875,0.333984,0.361328,-98.75,107.375,0.0625,115,40,71,-2,-4,-5,-3,-13,-19,15,-22,0.458496,-0.782715,-0.146484,-15.9375,-51.5,15.0625,38,55,100
"28",-4,2,-2,0,-2,1,2,-3,0.770508,0.24707,0.459473,-47.625,122.688,6.4375,112,43,73,-10,-7,-4,0,10,-11,-5,6,0.227539,-0.875977,-0.26416,75.5625,-42.0625,-4.5,38,57,102
"29",-14,6,2,4,2,-5,-1,-5,0.819336,0.414551,0.60498,-76.9375,149.375,-16.6875,108,49,77,2,1,1,8,0,30,17,6,0.296387,-0.756348,-0.272949,103.688,-33.5625,-53.625,41,55,103
"30",6,-11,-6,-3,-7,-2,-3,2,0.836914,0.355957,0.793457,-63.1875,168.5,-21.25,105,55,79,13,-3,-2,-3,-8,14,11,2,0.484863,-0.495117,-0.220703,69.3125,9.1875,-23.25,42,54,104
"31",-1,-21,-1,-2,0,-2,-4,-4,0.676758,0.544434,0.871094,-36.8125,182.125,-16.875,103,65,82,-1,3,0,-1,3,1,8,7,0.556641,-0.808594,-0.0947266,47,8.5,-37.6875,42,51,104
"32",4,-1,-1,-2,-1,3,2,3,0.568359,0.349121,1.02295,-22.375,192.188,-16.8125,102,72,83,-3,-2,-1,-1,-15,-18,5,-4,0.58252,-0.5,-0.120605,116.438,15.4375,-34.8125,45,50,103
"33",-9,-11,-20,3,1,0,-2,-3,0.233887,0.401367,1.06445,39.8125,162.875,-13.125,102,81,85,7,-1,1,-2,-1,-2,-2,0,0.515625,-0.566406,0.0673828,78.4375,28,-42,48,47,103
"34",-8,-32,0,-5,-5,-4,-2,1,-0.0317383,0.419434,0.97168,23.125,158.562,-21.1875,102,87,86,-4,-1,0,-3,-7,-7,4,0,0.551758,-0.553711,0.132324,115.125,40.5,-30.5625,50,46,101
"35",22,12,10,-14,-9,-3,-2,3,-0.209473,0.45459,0.95166,63.25,112.25,-14.5,104,95,87,0,2,1,3,16,27,-2,6,0.625977,-0.541016,0.244629,84.0625,65.75,-22.625,55,46,99
"36",0,1,2,4,2,-1,-1,1,-0.447754,0.584473,0.829102,23.625,83.9375,-10,105,101,88,-4,-2,0,-1,-4,0,-1,-1,0.70166,-0.490234,0.39502,118.625,85.5625,-18.8125,59,46,96
