"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.446777","X.0.0761719","X1.12354","X121.688","X.124.688","X.136.188","X92","X102","X62","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.26416","X.0.097168","X1.03955","X.13.0625","X4","X2.5","X86","X104","X84"
"11",0,11,1,-3,-1,-27,0,-9,-0.0366211,0.411621,0.91748,-22.3125,3.4375,-5.625,104,85,33,-1,-5,1,0,-5,43,-4,-1,0.917969,-0.362793,0.0610352,-44.75,-66.25,-38.75,83,12,111
"12",-22,1,-4,-2,-8,-5,-3,9,0.181152,0.532715,0.84668,12,-53.0625,44.1875,104,82,34,-3,2,-4,-7,-14,-8,-10,9,0.831055,-0.39209,0.019043,72.6875,53.1875,-79.9375,89,12,106
"13",10,2,-6,-4,-5,-1,-10,-9,0.154297,0.548828,0.837891,-11.8125,-34.5,33.75,104,80,34,6,0,2,-2,-6,4,1,4,1.06299,-0.0341797,0.119141,-13.125,173,-209.438,102,23,93
"14",0,-2,-4,-2,-5,-20,-13,-25,0.199219,0.495117,0.809082,-21,-0.375,7.8125,104,78,34,7,-5,-5,-4,6,19,3,18,0.879883,0.0390625,0.359375,-48.3125,196.812,-249.875,105,34,88
"15",6,6,2,4,-1,-16,-15,89,0.23291,0.430176,0.877441,9.875,3.4375,3.9375,104,78,34,5,-4,-5,0,-3,-62,1,-13,0.824219,0.106934,0.483887,-43.6875,245.25,-262.25,106,47,85
"16",-30,-11,-6,0,-2,6,-17,-16,0.225586,0.427734,0.847168,-7.3125,5.5,-5.5625,104,78,34,14,8,3,3,16,13,-8,-5,0.20752,0.537109,0.714844,28.375,210.438,-250.438,108,67,83
"17",-4,-13,-11,-17,-10,-5,-7,2,0.216309,0.417969,0.869141,4.5625,6.0625,-4.5625,103,79,34,-6,-6,-4,-1,5,23,-25,8,-0.0698242,0.756348,0.716797,6.75,129.938,-141.938,109,82,82
"18",9,-8,-5,-2,-3,-4,-6,-19,0.170898,0.46875,0.884277,-2.25,-3.625,-3.375,103,79,34,15,-14,-13,-13,-4,15,3,-3,-0.232422,0.428223,0.827637,-66.5,109.812,-114.25,107,92,81
"19",-3,4,3,9,6,-6,2,-4,0.147949,0.431152,0.888184,-2.25,-2.5625,1.5,103,79,34,2,-3,-8,-6,-10,-16,24,-5,-0.137695,0.522949,0.837402,-1.6875,63.9375,-72.375,106,97,81
"20",-2,1,-1,-8,-2,-5,2,2,0.184082,0.48584,0.867676,-3.8125,-1.125,2.125,103,79,34,9,17,13,11,15,-3,19,4,-0.229492,0.495117,0.947754,-13.125,24.9375,-31.5625,106,100,80
"21",0,-1,23,17,7,-1,0,2,0.157227,0.460449,0.794434,-7.1875,10.25,6.125,103,79,34,-3,-8,-13,-18,-14,-23,10,8,-0.199219,0.661621,0.935059,-2.5625,14.9375,-21.375,106,101,80
"22",-11,-21,-8,-3,2,-2,-3,-2,0.121094,0.472168,0.782227,-9.875,9.3125,23.9375,103,79,35,-4,-20,8,13,11,-6,-3,20,-0.193359,0.597656,0.916504,7.5,-10.75,9,106,101,80
"23",6,3,-39,-11,-6,-4,-5,2,0.114746,0.431152,0.829102,-8.125,-2.75,56.1875,102,78,36,-2,-5,-9,-9,-11,17,11,35,-0.206543,0.552734,0.883301,-9.875,-15.125,11.375,106,100,80
"24",7,-29,-23,-8,-5,-4,2,15,0.109863,0.47168,0.82373,-19.625,-0.6875,83.4375,102,77,37,0,2,-2,-3,-3,4,0,-11,-0.214355,0.398438,0.777344,8.6875,-44.125,36.625,106,98,80
"25",-1,-3,-11,-2,-3,-1,-1,-3,0.317871,0.446289,0.850098,1.375,28.3125,130.188,101,75,41,-2,-2,-6,-9,-19,23,-1,-2,-0.14502,0.551758,0.860352,-4.5,-56.9375,61.5625,106,95,80
"26",2,4,-2,0,-2,-3,0,-3,0.30127,0.527832,0.821289,-20.375,66,148.375,100,75,44,3,4,-2,0,-4,-8,1,-1,0.0185547,0.433594,0.89502,-87,-52.3125,72.3125,104,90,81
"27",2,10,5,1,3,3,1,0,0.425781,0.313477,0.956055,-46.8125,117.375,158.438,97,78,49,-3,-10,-2,-2,2,1,8,-1,0.0844727,0.242676,0.910645,-95.25,-34.9375,59.8125,101,86,82
"28",26,-15,-7,-1,-2,-3,-5,9,0.179199,0.222656,1.01514,-46.6875,123.062,159.875,96,81,53,1,3,1,-3,-2,-1,-11,-2,0.0654297,0.249023,0.901367,-115.25,-7.75,42.125,99,85,83
