"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.447266","X.0.390625","X0.839355","X51.875","X12","X.57.6875","X91","X103","X67","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.22168","X.0.17041","X1.02588","X.4.0625","X5","X3.4375","X84","X101","X84.1"
"11",5,5,3,-16,-21,-10,0,-7,-0.0732422,0.678223,0.968262,10.5625,-35.375,72.125,105,82,37,2,-4,-2,2,4,-1,-9,-4,0.12793,-0.239258,1.16455,-60.625,-4.3125,16.4375,88,78,120
"12",-1,10,6,-16,-13,-4,3,-1,-0.106934,0.66748,0.999023,44.5625,-93.875,139.562,105,77,38,-3,6,0,3,2,-5,-3,-2,0.189453,-0.378906,1.06201,-22,-1.75,17.4375,87,78,121
"13",0,-2,15,62,-2,17,0,-3,0.203125,0.616699,0.754883,52.8125,-147.812,208.125,107,65,40,0,4,1,-3,-4,2,-4,-1,0.292969,-0.186035,0.967285,-40.125,17.25,15.625,86,79,121
"14",0,-3,6,-5,-13,-19,-7,-6,0.519043,0.297363,0.665039,-79.5625,-192.25,254.625,104,54,43,-3,2,-7,-8,-1,0,8,4,0.222656,-0.337402,1.02881,-58.875,24.9375,19.0625,84,80,122
"15",0,-9,-4,-21,1,2,42,9,0.612305,-0.00927734,0.378906,-55.625,-270.25,275.562,98,34,49,-2,-2,-2,0,-1,-3,1,-3,0.160645,-0.223633,0.977051,-23.4375,4.8125,19.375,83,81,122
"16",15,-4,5,11,-5,-12,5,-3,0.827637,-0.234863,0.113281,77.125,-286.875,285.188,89,21,60,-2,1,1,6,1,-1,-7,1,0.0966797,-0.320312,0.983398,-45.9375,1.375,5.75,82,81,122
"17",-1,15,19,17,10,2,-6,19,0.861816,-0.334961,0.00390625,34.875,-218.875,217.688,58,15,94,-3,0,3,5,-13,-10,-1,-1,0.0444336,-0.294434,0.949707,-23.25,-14.5,-0.1875,81,81,123
"18",-2,-11,-14,11,4,-16,-10,13,0.894043,-0.419922,-0.00634766,37.25,-117.875,130.188,47,19,106,2,2,-1,0,0,-8,-6,-1,0.0463867,-0.241699,0.870605,-18.5625,-22,-8.8125,81,80,122
"19",-2,3,9,-5,-13,-43,-3,9,1.05664,-0.537598,-0.175293,3.0625,52.0625,-12.3125,46,22,107,-2,-2,-8,-17,-12,-7,0,-2,0.140625,-0.272461,0.817383,-13.3125,-4.625,-14.375,81,80,122
"20",-24,-31,-12,-3,-10,-6,-24,36,1.19873,-0.384766,-0.126953,-19.4375,111.688,-63.625,51,20,102,5,-29,4,6,14,14,6,4,0.239746,-0.320801,0.866211,9.1875,16.6875,-28.0625,81,79,121
