"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.527344","X.0.344238","X0.779785","X2.375","X.15.1875","X10.1875","X79","X121","X59","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.210938","X.0.200195","X1.04688","X.7.3125","X1.6875","X0.6875","X85","X101","X84"
"25",-57,-5,-3,-4,-7,16,-60,-19,-0.12793,-0.174316,0.972656,27.625,-43.9375,-5,81,94,58,23,7,-6,1,3,11,7,-7,0.269531,-0.686523,1.16406,-36,-53.3125,44.75,91,90,101
"26",-64,-4,-9,-2,-17,-37,-87,2,-0.0732422,-0.0844727,0.885254,4.9375,-15.9375,5.375,82,93,58,-11,11,9,10,-31,-2,-11,1,-0.28125,0.125488,1.32275,39.875,-4.5,-38.0625,93,88,100
"27",-21,-22,6,25,20,28,16,14,-0.186035,-0.498047,0.963867,-11.4375,21.375,6.125,81,94,58,-9,4,-2,-22,-45,22,-74,-4,0.254883,0.00244141,1.12988,15,-14.4375,-20.0625,93,87,99
"28",-28,-9,-14,-20,-10,0,-9,-21,-0.187012,-0.275391,0.929199,35.875,20,-0.1875,81,95,58,-7,-3,-3,-9,17,7,2,-2,0.0078125,0.161621,0.950195,61.375,-38.3125,-54.6875,94,86,97
"29",-6,-6,-27,-16,-8,2,7,2,-0.145508,-0.432129,0.98877,-10,10.875,-3.75,81,96,58,0,-2,9,6,-83,-41,-17,-16,0.106934,0.255859,1.03516,59.375,-57.8125,-34.1875,96,83,96
"30",-62,2,16,5,6,1,14,25,-0.126953,-0.270508,0.987305,9.0625,4.4375,-2.625,81,96,58,30,-8,-13,-15,0,24,-18,6,0.161621,0.123047,1.0376,51.5625,-43.8125,-40.5625,97,82,95
"31",-9,-8,-19,-3,3,-11,-10,-27,-0.10498,-0.290527,1.00537,4.125,-0.75,-3.0625,81,96,58,-5,5,-2,-4,-66,-18,1,-1,0.182617,0.233887,0.979492,63.0625,-3.9375,-36.5625,99,81,94
"32",-73,-6,12,-5,-7,-27,8,4,-0.12793,-0.229492,0.984375,1.875,-9.5,-2.5,81,96,58,41,-6,-27,-27,17,7,23,23,0.116699,0.490723,0.951172,-4.8125,48.1875,-21.3125,100,84,93
"33",-29,5,0,0,2,15,-10,-4,-0.097168,-0.260742,0.991211,-7.6875,-20.1875,5.4375,81,95,58,-27,-51,-33,22,47,40,9,-16,-0.00634766,0.334961,1.24854,-6.3125,-61,8.8125,99,84,93
"34",-18,-12,-17,-7,-6,-25,-29,-2,-0.103027,-0.28125,0.989258,-12.0625,-17,11.5,81,94,58,23,-22,14,15,1,-2,-14,7,0.334473,0.567871,1.11084,27.1875,-110.375,41.5,99,80,93
