"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.618652","X.0.264648","X0.767578","X.3","X.8.6875","X0.5625","X80","X126","X58","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.273926","X.0.131348","X1.02686","X.8.0625","X.3.875","X.0.5625","X85","X101","X83"
"32",76,12,10,-27,2,19,121,-9,-0.181641,-0.0869141,0.882324,31,-54.0625,-1.4375,81,95,56,-1,-1,8,1,9,46,-10,0,0.121094,0.243164,0.98877,56.25,-55.875,-40.625,100,81,92
"33",-100,1,31,5,-1,-8,-118,-67,-0.0722656,-0.247559,0.912109,8.1875,-37.8125,16.4375,82,94,57,11,6,1,5,10,-9,-9,-24,0.15332,0.542969,0.791016,18.5625,20,-15.6875,102,81,91
"34",20,2,8,32,14,28,16,67,-0.0922852,-0.215332,0.75,-35.9375,23.375,4.875,82,94,57,-6,-14,-1,-11,3,-3,-1,-2,-0.00927734,0.363281,1.05273,-84.9375,34.9375,10.5,100,84,92
"35",10,1,-14,-11,-3,13,2,16,-0.196777,-0.212891,0.855469,47.875,62.75,12.1875,82,98,57,34,-3,-19,-56,-14,9,-32,6,-0.0683594,0.433594,1.23535,19.625,-61,35.75,99,83,92
"36",-10,-3,-4,1,-9,-6,-32,-36,-0.288574,-0.370605,0.894043,-25.625,65.0625,0.9375,82,101,56,-20,-3,-12,-21,-20,-6,6,3,0.299805,0.605469,1.09277,-4.875,-158.688,91.9375,100,75,92
"37",-14,-10,0,13,-7,-11,22,-8,-0.334961,-0.249512,0.996582,22.25,34.125,7.125,82,104,56,-2,-21,-8,1,7,-9,-9,0,0.657715,0.403809,0.975098,-33.6875,-195.375,134.688,99,66,94
"38",44,6,-7,-4,-12,4,55,15,-0.310059,-0.292969,1.06152,-25,9.25,2.5625,82,104,56,-2,6,2,4,8,3,-2,-1,0.560547,0.0908203,0.75293,-75.5,-221.125,158.125,96,50,96
"39",-28,4,13,0,-1,-15,2,8,-0.23877,-0.191406,1.05273,2.125,-16.3125,-0.4375,82,104,56,-70,-31,-2,14,-15,43,72,-14,0.511719,0.0239258,0.634766,-56.375,-190.188,135.25,93,42,99
"40",-11,6,-22,-27,-19,-20,-29,-26,-0.243164,-0.231445,1.04248,-4.75,-28.75,0.875,82,103,56,-21,23,15,24,-13,-27,-3,-15,0.394531,-0.0522461,0.382812,-56.9375,-118.688,67,87,33,104
"41",-44,2,-1,7,11,3,-26,-32,-0.200195,-0.239258,1.01807,-6.5625,-37.5625,0,82,101,57,8,30,0,2,-25,-56,8,31,0.208984,-0.10791,0.394531,38.9375,107.25,-53.875,88,35,103
"42",35,0,0,7,-4,-10,13,-48,-0.112305,-0.242676,0.990234,-2.75,-36.25,-6.3125,82,98,57,24,3,-9,-7,-16,2,10,13,0.396973,0.136719,0.39209,29.5,159.25,-103.5,91,41,100
"43",-2,7,1,-1,-4,-20,-29,-18,-0.0898438,-0.275879,0.977051,4.875,-29.8125,-8.3125,82,97,57,1,-11,4,-2,3,16,-13,21,0.487793,-0.104004,0.603027,30.25,222,-137.25,94,50,97
"44",-36,-20,12,0,-3,-9,0,-9,-0.103516,-0.000488281,0.77002,-6.875,10.6875,3.375,82,97,57,-46,-36,-15,-10,-16,-1,-15,-14,0.833496,0.375977,0.682617,-11.5,253.375,-178.562,97,66,93
"45",11,14,3,-1,0,3,12,5,-0.198242,-0.27002,0.974609,36.25,31.875,-0.875,82,99,57,11,1,0,-3,-18,9,8,-3,0.0961914,0.0458984,1.25488,-41.375,285.125,-120.438,96,78,92
"46",-19,-5,-1,2,0,2,-4,-5,-0.169922,-0.362305,0.933105,-13.125,9.9375,-5.125,82,100,56,-21,-31,4,1,-20,-4,0,-1,-0.271484,0.573242,1.33057,19.5625,131.188,-25.625,97,90,91
"47",3,-10,-6,-2,-3,4,45,9,-0.175293,-0.245605,0.888672,-9.375,7.8125,-0.75,81,100,56,-20,-6,0,9,35,-3,-12,-10,0.644531,0.310547,1.25781,64.6875,-80.5625,-22.0625,99,88,90
"48",-6,1,0,-1,15,7,2,-2,-0.17627,-0.201172,0.843262,-33.625,41.5625,16.3125,81,102,56,-2,12,13,12,-18,-22,12,0,0.143555,0.124023,1.05322,-17.5625,-7.875,-6.1875,98,86,90
"49",2,0,-1,-1,-4,-4,-1,14,-0.323242,-0.304199,0.839844,-4.8125,83.4375,57.5,80,107,57,-8,-3,-1,1,-7,-13,-7,-2,-0.0551758,0.40625,0.722168,-9.1875,26.4375,2.8125,98,87,90
"50",2,1,1,1,-6,-3,-7,-1,-0.374512,-0.191406,0.852539,7.0625,113.875,65.625,81,111,58,-4,-1,0,-2,22,-1,4,-1,-0.0415039,0.191895,0.721191,-61.9375,61.9375,-28.5625,97,90,90
