"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.228027","X.0.0693359","X1.15234","X.103.562","X.210.812","X.35.75","X87","X82","X73","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.242676","X.0.147461","X0.984375","X.6.8125","X.2.9375","X.1.1875","X84","X100","X81"
"34",-5,-27,-17,-6,-4,-4,-8,5,-0.10498,0.131348,0.905273,-60.9375,-1.9375,-15.375,90,98,77,2,8,9,14,-10,-11,-1,2,0.288086,0.172852,0.975098,-87.3125,178.688,6.4375,92,72,83
"35",30,7,1,-1,0,-1,-8,-9,-0.205566,0.0532227,1.05859,52.625,7.375,6,90,99,77,0,2,-1,0,-3,-7,-10,-1,0.162598,-0.0737305,1.10107,-69.8125,140.438,19.75,89,81,84
"36",-13,6,-5,-2,-3,-4,-1,-22,-0.106445,0.10498,0.984375,-8.3125,8.6875,-5.9375,90,99,77,-3,0,-5,-9,14,3,0,-2,0.0976562,-0.0419922,1.09473,-53.0625,128.812,9.9375,88,86,84
"37",-3,11,6,1,0,-4,11,6,-0.0625,0.0869141,1.02783,27.5625,5.0625,1.875,91,99,77,-2,-7,-2,1,-7,-4,12,2,-0.15625,-0.104004,1.01465,-39.0625,91.5,-1.5625,87,92,84
"38",-7,-12,-3,-5,-3,-4,-3,1,-0.130371,0.0869141,0.95752,6.0625,1.125,0.75,91,99,77,-2,0,0,-2,18,-17,-9,-5,-0.296875,-0.149902,0.978516,-3.6875,55.125,-4.875,86,97,83
"39",7,1,4,1,1,-7,-8,10,-0.15625,0.0244141,0.974609,-2.75,-4.9375,0.375,91,99,77,0,4,1,0,15,30,5,2,-0.249512,-0.0722656,0.942871,24.25,37.6875,-6.5,87,99,83
"40",3,-5,-11,-3,-2,0,7,11,-0.144531,0.0625,1.01855,-3.625,-4.125,3.1875,91,99,77,-3,-23,-5,0,-7,13,-2,-13,-0.483887,0.0830078,1.26025,-17.6875,-20.25,-28.6875,87,100,83
"41",1,-4,2,0,0,-7,-4,4,-0.139648,0.0605469,1.03516,-11.8125,-3.3125,4.75,91,98,77,-2,-4,-5,-4,-6,-20,-8,-8,-0.124512,-0.0483398,1.08252,30.6875,1.5625,-2.25,87,99,83
"42",17,9,3,1,0,-11,9,7,-0.143066,0.0380859,1.00928,-3.3125,-1.625,1.625,91,98,77,-1,3,0,-3,9,-3,-5,1,-0.158691,-0.131836,1.02588,-19.8125,6.9375,-5.9375,87,99,83
"43",-8,-3,-1,-2,1,0,-4,0,-0.137207,0.0654297,1.02881,1.125,-2.3125,1.0625,91,98,77,-4,1,-1,-4,-4,-10,5,1,-0.15332,-0.130371,1.00439,-4.1875,3.375,-1.75,86,99,82
"44",-5,-5,-2,-1,-1,-1,-7,-5,-0.141602,0.0322266,1.01562,-5.625,-0.0625,0.0625,91,98,77,0,3,-1,-1,65,41,2,7,-0.14502,-0.111328,1.02441,-13.8125,3.5,-5.6875,86,99,82
"45",-6,7,1,-1,-1,1,-2,-8,-0.141113,0.0209961,1.0166,-1.1875,-0.625,-0.3125,90,98,77,-1,-5,-3,-2,-8,-8,-2,0,-0.135254,-0.139648,1.01318,-0.9375,0.375,-2.1875,86,99,82
"46",4,-10,-2,-3,-3,-2,-2,18,-0.137695,0.0283203,1.01758,0.25,0.3125,0.1875,90,98,77,-1,1,0,-1,-21,-8,-6,-1,-0.154785,-0.134277,0.98877,1.4375,-1.1875,-3,86,99,82
"47",6,-6,-1,-2,-4,3,2,7,-0.131348,0.0390625,1.01465,-0.5,0.1875,-0.125,90,98,77,-1,3,-1,-2,-6,-18,-1,0,-0.157715,-0.119141,1.00781,-2.375,-1.75,-0.3125,86,99,82
"48",17,-1,2,-2,-1,-7,3,-4,-0.132324,0.0209961,1.01221,-1.4375,-0.0625,0.125,90,98,77,0,0,-2,-3,0,0,3,1,-0.140137,-0.124023,1.0332,-2.625,-2.125,-0.6875,86,99,82
"49",-2,-12,-4,-2,0,12,-7,7,-0.138184,0.0263672,1.01807,1.8125,0.1875,-0.125,90,98,77,-2,-4,-2,-2,-1,0,-8,-1,-0.158203,-0.132324,1.02002,-0.4375,-1,-0.5625,86,99,82
"50",-5,-6,-5,-1,0,7,0,-7,-0.136719,0.0371094,1.01465,-1.75,0.4375,0.5,90,98,77,0,-5,-1,-1,-11,-13,1,0,-0.152832,-0.113281,1.00928,0.625,0,0.1875,86,99,82
