"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.317871","X.0.146973","X0.732422","X7.4375","X.46.625","X.0.0625","X85","X68","X69","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.318848","X.0.25","X0.978027","X.2.9375","X0.0625","X.0.125","X82","X107","X91"
"11",40,-17,-4,5,3,18,7,15,0.40332,-0.179199,0.724609,31.25,-72.375,114.438,83,54,84,-1,0,1,2,0,0,0,-2,0.334961,-0.0454102,0.77002,-23.6875,1.8125,2.3125,88,68,97
"12",-2,-41,-3,11,3,2,-11,-16,0.36377,-0.238281,0.658691,33.75,-65.875,123.438,81,52,89,1,1,-2,-4,-3,24,-3,0,0.3125,-0.0537109,0.802734,-26.875,21.625,1,88,68,97
"13",29,10,-2,-8,-7,-20,-14,-13,0.400391,-0.396484,0.610352,29.125,-58.375,127.625,80,51,93,-3,3,-1,-3,-2,-5,-6,-5,0.312012,-0.125,0.948242,-31.8125,26.25,-5.625,87,70,97
"14",-11,25,4,1,3,26,9,11,0.437012,-0.466309,0.558594,28.5625,-44.4375,128.625,77,52,98,-1,-1,3,0,1,2,5,0,0.307617,-0.248047,1.12744,-35.875,13.5625,-12.5625,86,71,97
"15",11,-13,2,7,5,31,12,13,0.448242,-0.563477,0.554199,21.1875,-36.0625,126.25,76,52,102,2,0,2,0,0,3,-2,0,0.263672,-0.350586,1.20996,-42.5,-7.625,-26.9375,84,72,96
"16",-58,-26,-4,3,-1,3,9,-11,0.462891,-0.641113,0.54834,11.9375,-23.5,121.062,73,55,106,1,-1,-1,1,-3,11,8,-1,0.242188,-0.367188,1.16309,-46.0625,-22.875,-40.8125,84,71,96
"17",5,4,-3,-1,1,-4,-2,2,0.495117,-0.718262,0.555176,-0.125,-13.0625,113.688,72,57,109,-1,0,-3,-5,-1,-7,-11,-4,0.237793,-0.367676,1.08203,-59.3125,-39.875,-65,82,69,94
"18",-1,32,7,2,0,-11,5,10,0.428223,-0.750977,0.561523,-4,-0.625,101.688,70,61,112,-3,-2,-4,-4,0,-8,-5,-3,0.251465,-0.37207,0.995117,-63.8125,-44.9375,-80.8125,81,67,93
"19",9,-25,-6,-8,-14,-30,-9,-14,0.393066,-0.790039,0.583008,-5.1875,13.5625,85.5625,68,65,114,0,0,0,5,0,5,7,0,0.272461,-0.313965,0.883789,-48.8125,-48.6875,-104.25,81,63,90
"20",-24,21,3,5,7,17,6,-1,0.348633,-0.799316,0.601074,-1.9375,20.8125,80.3125,68,68,115,-1,-8,-3,1,-2,-1,4,0,0.311523,-0.255371,0.836426,-48.9375,-46.5625,-116,81,60,88
