"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.22998","X.0.0317383","X1.00049","X0.625","X1.3125","X.0.5625","X89","X103","X143","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.26709","X0.105957","X1.02539","X15.25","X2.8125","X3.5","X93","X104","X61"
"26",10,2,-4,-1,0,-3,5,-1,-0.220215,-0.0112305,0.991699,1.6875,1.375,1.8125,89,103,143,-55,6,0,5,-69,4,1,-13,0.75293,0.139648,0.761719,-113.812,-55.5,-107.312,90,48,64
"27",9,-7,-3,-3,-1,7,0,0,-0.220703,-0.0107422,0.990723,0.625,0.3125,1.625,89,103,143,1,0,-10,-19,-29,-40,-8,-12,0.838379,0.148926,0.632812,-99.1875,-102.188,-105.938,90,41,58
"28",-3,-12,35,1,-4,-7,5,2,-0.224609,-0.0107422,0.991211,-0.375,0.0625,0.75,89,103,143,16,-1,-1,-2,-4,85,25,21,0.860352,0.135742,0.594727,-67.5625,-113.25,-87.6875,91,37,54
"29",2,5,46,5,5,12,-5,4,-0.229492,-0.00976562,1,1.1875,0.3125,-0.4375,89,103,143,18,4,2,12,44,39,-15,-15,0.919922,0.15918,0.501953,-66.375,-111.812,-72.6875,93,31,50
"30",13,4,1,2,-1,-8,3,1,-0.228027,-0.015625,1.00098,0.6875,1,-0.8125,89,103,143,-5,5,7,-2,1,-18,2,-12,0.904785,0.144043,0.467773,-49.1875,-97.625,-63.0625,95,27,46
"31",-3,-14,-32,-2,-2,-8,1,-1,-0.230957,-0.0185547,1.00049,1.25,2.4375,-0.625,89,103,143,-23,-17,9,14,13,-7,-7,-8,0.845215,0.229004,0.374023,-29.4375,-82.4375,-57.4375,100,23,40
"32",-6,-4,10,-3,-1,-7,-2,1,-0.22998,-0.0107422,0.990234,1.75,2.4375,-0.875,89,103,143,9,1,-4,-1,-49,-21,-8,2,0.771484,0.220703,0.327637,-18.4375,-54.5,-52.625,105,21,34
"33",-10,-15,-18,-6,-1,9,-1,-2,-0.233398,-0.0131836,0.983887,0.875,1.8125,-0.25,89,103,143,1,0,1,5,-30,-36,-12,9,0.730469,0.30127,0.272461,-22.9375,-31.4375,-44.375,108,21,30
"34",-14,-14,-21,-3,-4,-5,-3,-8,-0.22998,-0.0141602,0.986816,0.0625,0.6875,0,89,103,143,-7,-2,1,-19,2,20,8,2,0.727539,0.28125,0.239746,-19.375,1.8125,-29.625,110,22,28
"35",5,3,25,-1,-2,-2,-3,-1,-0.233398,-0.0175781,0.988281,0.5,-0.125,0.6875,89,103,143,-1,22,7,7,0,39,2,-6,0.77002,0.325195,0.23291,-32.4375,12,-21.75,110,24,27
"36",-3,7,28,2,-2,0,-1,-1,-0.230957,-0.0102539,0.99707,1.0625,0.125,0.9375,89,103,143,10,-1,4,14,21,34,0,-2,0.80127,0.341309,0.260254,-15.625,19.875,-16.125,110,25,26
"37",2,4,6,2,1,4,-9,-2,-0.22998,-0.00976562,0.991699,0.5625,0.625,0.875,89,103,143,30,18,-12,-23,-3,28,6,7,0.84668,0.315918,0.302734,-19.1875,16.375,-15.6875,109,26,26
"38",-8,4,1,0,2,-2,-6,-1,-0.22998,-0.00830078,0.991211,0.625,0.25,0.8125,89,103,143,33,-12,0,-10,47,14,-4,-4,0.85791,0.373535,0.34375,-1.9375,7.5,-12.0625,110,27,26
"39",4,8,-17,2,-1,3,10,8,-0.230469,-0.00927734,0.992188,0.3125,0,0.6875,89,103,143,8,1,-4,-6,-12,-5,0,-4,0.905762,0.338379,0.364746,-0.625,4.625,-8.5,110,28,25
"40",-6,5,25,6,3,9,8,2,-0.227051,0,0.995605,0.125,0.6875,0.0625,89,103,143,-16,6,0,-13,-21,-55,-14,-8,0.900391,0.347656,0.376465,-0.25,5,-5.5625,110,28,25
"41",-8,-4,2,-4,-3,1,-10,-6,-0.227539,-0.00390625,0.98877,-0.25,0.625,0.125,89,103,143,-7,4,11,16,-17,-21,-7,3,0.862305,0.342285,0.37793,-0.375,3.9375,1.25,110,29,25
"42",-3,-8,38,-1,-1,4,-5,-4,-0.231445,-0.00585938,0.992188,-0.3125,0.25,-0.25,89,103,143,53,1,-1,-3,10,9,-4,11,0.86377,0.345703,0.370605,-3.0625,0.875,2.75,110,29,25
"43",-8,-4,-10,-4,-3,-21,-9,-3,-0.232422,-0.00439453,0.990723,-0.0625,0.375,-0.375,89,103,143,-7,-2,-13,-16,-10,23,2,-4,0.852539,0.330078,0.362305,1.3125,-0.125,4.625,110,29,26
"44",-8,6,-3,2,-1,-1,-1,0,-0.230469,-0.00390625,0.990723,-0.75,0.375,-0.1875,89,103,143,14,-3,0,9,13,-19,-4,-4,0.84082,0.32959,0.365234,-0.9375,0.8125,3.4375,110,29,26
"45",4,-36,-5,-4,-5,-1,2,-2,-0.233398,-0.0112305,0.98877,0.25,0.0625,-0.25,89,103,143,74,7,3,10,-20,-39,-4,4,0.84375,0.329102,0.374023,2.3125,1.8125,2.3125,110,29,26
"46",16,-16,-11,-4,-3,-12,1,-4,-0.224121,-0.00732422,1,0.125,-0.1875,0.0625,89,103,143,-58,6,3,-9,4,8,-4,-19,0.854004,0.308594,0.388184,0.125,2.375,2.0625,109,29,26
"47",-7,9,-17,-1,0,5,3,-3,-0.231445,-0.00439453,0.990723,-0.1875,0.625,0.125,89,103,143,-33,-16,-4,-8,-7,-27,-2,-9,0.862793,0.312012,0.387207,-1.6875,2.0625,2.25,109,29,26
"48",3,8,-6,-1,-2,4,1,0,-0.226562,-0.00292969,0.991699,1,0.25,0.3125,89,103,143,-29,-6,3,-13,92,19,6,5,0.837891,0.324219,0.382812,2.625,2.5625,0.75,109,29,26
"49",8,13,29,1,0,4,-18,2,-0.227539,-0.0112305,0.991211,0.375,0.0625,0.3125,89,103,143,18,-2,-3,4,-34,-31,-6,-2,0.865234,0.307129,0.387207,-4.5625,0.625,0.5,109,29,26
"50",-2,-6,-4,-2,-2,-15,-16,-8,-0.231445,0.00244141,0.989746,0.375,0.625,0.125,89,103,143,7,-2,-5,-9,4,16,9,-3,0.858887,0.314453,0.384277,1.9375,1.4375,1.1875,109,29,26
