"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.136719","X.0.316406","X1.36377","X.64.3125","X.147.125","X.42.625","X86","X98","X69","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.345215","X.0.227539","X0.973145","X2.6875","X.1.5","X3.1875","X84","X108","X92"
"11",-34,-2,4,6,2,-5,5,9,0.514648,-0.0229492,1.00732,36.5,-41.25,60.9375,85,56,70,0,-4,4,4,3,29,5,4,0.292969,-0.0371094,0.695801,-29.125,-77.875,21.375,90,62,101
"12",37,79,7,5,5,6,-5,10,0.504395,-0.0307617,0.951172,50.5,-43.8125,71.8125,85,55,71,7,4,0,-5,-4,3,3,26,0.377441,-0.0283203,0.671387,-29.5625,-17.0625,10.125,89,60,101
"13",28,15,2,0,3,6,2,17,0.510254,-0.137695,0.855957,58.5,-49.5625,91.3125,85,54,74,-1,0,-5,-5,-4,-15,-2,-17,0.42334,-0.0981445,0.777832,-40.8125,9.25,2.125,87,61,102
"14",71,-7,-10,-13,-1,14,-11,-8,0.510742,-0.129883,0.836914,68.25,-49.4375,99.4375,85,52,77,-3,-5,-1,-1,-4,-21,29,-2,0.395996,-0.219238,0.851562,-39.1875,10,-8,86,61,102
"15",15,25,3,-1,0,2,5,4,0.526367,-0.198242,0.770508,84.4375,-41,107.312,85,51,81,-24,-2,-5,-10,-6,5,-5,-19,0.445312,-0.293945,1.00439,-38.6875,5.5,-21.375,85,62,101
"16",-14,1,0,3,1,14,11,-27,0.48291,-0.293945,0.722656,82.625,-30.375,122.062,84,50,86,14,-3,-3,-9,-3,9,19,-2,0.46582,-0.339355,1.06787,-52.6875,1,-40,84,62,101
"17",36,-5,-10,-4,-5,-24,-4,-10,0.481934,-0.356934,0.708008,73.5,-23.5,130.062,84,50,89,18,-2,0,0,4,11,13,12,0.363281,-0.341309,1.02637,-50.625,-12.8125,-62.9375,83,61,99
"18",-14,-41,-7,-8,0,-4,-6,0,0.458496,-0.427246,0.641602,46.0625,-17.25,144.688,82,51,95,1,3,-1,0,1,11,12,7,0.405762,-0.287109,1.00439,-66.8125,-22,-76.6875,83,60,97
"19",29,-10,-13,-8,-4,-18,-8,6,0.436523,-0.478516,0.62207,17.5625,-16.6875,148.188,80,53,99,0,-5,-6,-5,-6,-13,2,-11,0.414551,-0.258789,0.897949,-70.3125,-25.6875,-95.75,82,58,95
"20",5,-26,-6,4,5,11,2,0,0.431641,-0.517578,0.654297,-10.125,-17.9375,143,77,55,104,-8,-21,-6,2,1,-27,-11,-14,0.393555,-0.196289,0.823242,-81.5,-22.375,-109,81,55,91
"21",33,16,-3,-16,-7,-4,3,4,0.47168,-0.578613,0.647949,-6.1875,-8.875,128.312,75,57,107,0,10,0,0,-2,-1,10,6,0.440918,-0.148926,0.773438,-76.75,-13.4375,-117.938,81,53,89
"22",-79,0,2,-4,-8,-16,-6,-2,0.37207,-0.649414,0.62793,5,-0.1875,105.812,73,61,110,12,0,2,-5,-3,12,19,15,0.5,-0.0625,0.764648,-70.875,-5.25,-126.938,82,51,84
"23",11,12,0,2,1,6,4,6,0.361816,-0.720703,0.621094,-7.1875,6.25,94.5625,71,64,113,1,3,-1,-1,-2,-11,1,-5,0.533203,-0.00341797,0.744141,-63.8125,1.6875,-133.75,83,50,81
"24",31,19,12,5,9,25,7,18,0.312012,-0.714355,0.633301,-17.0625,6.6875,90.25,70,67,115,-1,11,4,2,3,10,17,-3,0.544922,0.0219727,0.734375,-53.75,7,-134.188,84,49,77
"25",-15,-2,-5,5,1,19,-12,-3,0.270508,-0.741211,0.665039,-27.625,11.4375,83.6875,68,71,117,8,9,1,-1,-3,-9,15,54,0.58252,0.155273,0.71582,-28.0625,13,-134.375,86,48,72
"26",49,-2,-2,-3,-6,-21,-15,-18,0.222656,-0.791992,0.664062,-28.875,14.375,77.875,67,74,118,2,0,1,2,7,34,22,-3,0.523926,0.157715,0.707031,-28.4375,22.0625,-127.812,88,49,68
"27",7,45,7,3,5,43,23,10,0.185059,-0.8125,0.655762,-13.3125,17.25,68.0625,67,76,119,0,7,0,-2,-1,-5,-18,10,0.50293,0.231934,0.724121,-6.375,25.75,-114.938,91,50,64
"28",26,-30,0,12,12,12,7,5,0.144531,-0.841797,0.691406,-0.875,18.75,49.5,66,80,120,-6,-5,-5,1,3,10,-21,-17,0.518555,0.273926,0.768066,6.4375,29.625,-97.8125,94,53,60
"29",35,-53,-12,-1,-6,-21,-7,12,0.124023,-0.858887,0.722656,3.5,16.875,33.375,66,82,120,-6,-4,-1,-3,0,18,17,11,0.483887,0.293945,0.796387,0.25,33.1875,-85.0625,95,55,58
"30",0,15,0,-9,1,9,-1,-4,0.11377,-0.855469,0.739746,2.875,14.8125,24.8125,66,84,120,6,5,-4,-3,-5,-27,3,-1,0.459473,0.361816,0.817871,-4.6875,36.875,-70.75,97,58,55
"31",-13,-32,4,8,1,0,-16,-9,0.0776367,-0.839844,0.745605,-1.9375,7.1875,12.5,66,85,120,-1,1,-3,-4,2,-1,11,-15,0.387207,0.36084,0.776367,-1.0625,37.6875,-58.75,97,60,54
"32",-1,4,-5,-2,-5,-15,-3,-7,0.0776367,-0.811035,0.71875,4.625,0.25,2.1875,66,85,120,-7,-3,-3,0,-2,-2,-9,-9,0.369141,0.409668,0.834473,-1.8125,37,-41.3125,98,64,52
"33",-37,-96,-20,-19,-10,-2,-3,10,0.0654297,-0.807617,0.712402,1.625,-1.4375,-1.5,66,85,120,3,0,3,2,3,1,1,-10,0.361328,0.404785,0.841797,-0.6875,37,-30.8125,99,66,52
"34",-17,-5,5,4,0,-5,-2,-1,0.0556641,-0.756836,0.693848,2.75,-3.875,-5.1875,66,85,120,-4,-1,-6,-9,-8,-6,4,-14,0.349121,0.42041,0.913086,0.5,32.8125,-17.125,99,68,52
"35",20,13,-3,-2,4,1,-6,1,0.0639648,-0.757324,0.682617,0.75,-4.125,-5.5,66,85,120,4,8,3,6,0,1,9,6,0.331543,0.417969,0.935059,-7.8125,33.625,-9.75,99,70,51
"36",-23,-9,3,6,5,23,6,-7,0.0742188,-0.743652,0.6875,1.875,-2.25,-5.0625,66,84,120,2,0,-4,-2,-1,-3,-4,-4,0.311523,0.39209,1.00293,2.9375,26.0625,-0.375,99,71,52
