"","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.209473","X.0.0375977","X1.01318","X.0.8125","X0.9375","X.1.8125","X89","X102","X142","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X.0.109375","X0.402344","X0.974121","X1.4375","X5.125","X.0.0625","X101","X97","X64"
"35",2,20,-11,-1,-1,1,10,-6,-0.219238,-0.0463867,1.00488,-0.25,-0.5,-0.3125,88,102,142,-9,-4,-2,-4,-6,-17,33,-6,0.692871,-0.34375,0.654297,-3.75,-4.625,-1.875,76,46,95
"36",2,-16,-36,-4,-1,-6,0,2,-0.221191,-0.046875,0.98584,-1,-0.5625,-0.125,88,102,142,55,0,1,-35,2,22,19,-6,0.703125,-0.333984,0.666504,5.375,14.375,-3.8125,76,46,94
"37",-9,-9,-23,-4,-5,-12,-22,-13,-0.222656,-0.0454102,1.00098,-1.125,0,0.0625,88,102,142,-7,-6,21,-47,-47,86,10,-2,0.679199,-0.381348,0.648926,13,7,-7.1875,77,47,94
"38",2,13,-20,-4,-1,5,7,4,-0.220703,-0.0546875,0.994629,-1.0625,-0.125,0.0625,88,102,142,10,15,17,17,18,22,23,23,0.654785,-0.321289,0.696777,4,23.1875,-2.6875,77,47,94
"39",19,-52,-19,-9,-4,-1,-4,3,-0.213867,-0.0375977,0.988281,0.4375,-0.25,0.125,88,102,142,-7,-26,-14,-61,-11,28,-3,-9,0.681641,-0.234863,0.722168,8.25,-9.5625,2.5,77,47,94
"40",-12,8,16,-1,-3,1,4,-2,-0.221191,-0.0458984,0.993652,-0.625,-0.75,-0.3125,88,102,142,30,8,2,-2,2,-23,10,5,0.668457,-0.313965,0.682617,-2.4375,2.375,-2.3125,78,47,94
"41",5,10,-1,1,-1,-2,-4,6,-0.219238,-0.0551758,0.987793,-0.8125,-0.75,-0.0625,88,102,142,-8,-1,1,-2,1,-9,8,-21,0.662109,-0.306641,0.664062,-3.3125,-1.4375,3.25,77,47,94
"42",-6,-15,13,2,-1,2,7,-6,-0.228516,-0.0507812,0.996094,-0.1875,-0.6875,0.375,88,102,142,15,13,1,-2,-1,5,21,-4,0.640625,-0.297363,0.649902,-5.1875,-3.5,3.4375,77,47,94
"43",-4,-7,-31,-3,-2,-3,-5,0,-0.214355,-0.0429688,0.994629,-1.0625,0,-0.125,88,102,142,-4,-2,1,-3,-5,-5,-28,-7,0.603516,-0.284668,0.584473,-6.6875,-7.6875,3,77,47,94
"44",4,-1,-4,-5,-3,-4,2,-2,-0.220215,-0.0478516,0.990723,-0.625,-0.375,-0.875,88,102,142,-10,1,-4,-4,-1,5,-1,2,0.573242,-0.262695,0.54541,-3.4375,0.875,-5.5625,77,47,94
"45",-4,-8,13,2,2,20,14,-25,-0.223145,-0.0585938,1.00439,-0.75,-0.25,0.25,88,102,142,-6,-1,-2,2,0,1,2,2,0.57959,-0.214355,0.545898,21.3125,28.875,-28.625,78,47,93
"46",-13,-14,-11,4,2,-2,-10,-7,-0.210449,-0.0444336,1.00293,-0.25,0.25,0.4375,88,102,142,-1,3,-2,0,4,11,3,0,0.572754,-0.228516,0.567383,45.0625,57.6875,-64.125,80,48,91
"47",15,-17,-14,-4,-1,-3,-4,3,-0.220215,-0.046875,0.98584,0.375,0.6875,-0.125,88,102,142,-1,-1,0,1,-8,0,0,-2,0.494141,-0.126953,0.673828,65.625,81.5625,-88.8125,84,51,87
"48",-2,-17,16,2,1,-3,-3,-7,-0.222656,-0.050293,0.987305,-1.25,-0.1875,-0.875,88,102,142,-1,4,3,5,-4,-3,0,-1,0.476562,-0.0605469,0.785156,70.625,98.375,-111.125,89,56,83
"49",5,-5,-3,0,-3,-3,-10,1,-0.22168,-0.0556641,0.991211,-0.4375,-1.0625,-0.8125,88,102,142,-1,-2,1,-13,-13,14,-1,-2,0.464844,0.0708008,0.894043,75.8125,99.1875,-133.438,92,60,80
"50",11,0,19,-2,-2,-4,7,-3,-0.215332,-0.059082,0.994629,-0.375,-0.375,-1.25,88,102,142,-2,-1,-6,0,1,-6,-1,-1,0.423828,0.115723,0.919922,64.4375,101.562,-154.688,94,65,77
